file,row,field,old,new,why,closes
<local data dir>/release/scores/part22/rows/P22_verified.tsv,line 46 (P22_S1_chunk_length),what (note),Qwen2.5-Omni WhisperFeatureExtractor chunk_length s (Hub preprocessor_config.json:2; loaded object fe.chunk_length) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; not yet verified],"Qwen2.5-Omni WhisperFeatureExtractor chunk_length s (Hub preprocessor_config.json:2; loaded object fe.chunk_length) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives chunk_length 300 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]","stale ""not yet verified"" note on rows that are verified","ledger 6 LEFT me 12 (9 P22_S1 ""not yet verified"" texts); audit_p2223 item 1 left and problem 7"
<local data dir>/release/scores/part22/rows/P22_verified.tsv,line 47 (P22_S1_n_samples),what (note),feature extractor n_samples = audio cap in 16 kHz samples (feature_extraction_whisper.py:91; loaded object) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; not yet verified],"feature extractor n_samples = audio cap in 16 kHz samples (feature_extraction_whisper.py:91; loaded object) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives n_samples 4800000 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]","stale ""not yet verified"" note on rows that are verified","ledger 6 LEFT me 12 (9 P22_S1 ""not yet verified"" texts); audit_p2223 item 1 left and problem 7"
<local data dir>/release/scores/part22/rows/P22_verified.tsv,line 48 (P22_S1_trunc_default),what (note),WhisperFeatureExtractor.__call__ truncation default (feature_extraction_whisper.py:196); Omni processor passes none [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; not yet verified],"WhisperFeatureExtractor.__call__ truncation default (feature_extraction_whisper.py:196); Omni processor passes none [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives feature_extraction_whisper.py:196 ""truncation: bool = True,"" (leftovers_23sep/tables/my_verifier_p22s1_out.json)]","stale ""not yet verified"" note on rows that are verified","ledger 6 LEFT me 12 (9 P22_S1 ""not yet verified"" texts); audit_p2223 item 1 left and problem 7"
<local data dir>/release/scores/part22/rows/P22_verified.tsv,line 49 (P22_S1_tok_300s),what (note),audio tokens at the 300 s cap: code formula processing_qwen2_5_omni.py:151-152 vs measured 5.17.0 processor [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; not yet verified],"audio tokens at the 300 s cap: code formula processing_qwen2_5_omni.py:151-152 vs measured 5.17.0 processor [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives formula 7500 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]","stale ""not yet verified"" note on rows that are verified","ledger 6 LEFT me 12 (9 P22_S1 ""not yet verified"" texts); audit_p2223 item 1 left and problem 7"
<local data dir>/release/scores/part22/rows/P22_verified.tsv,line 50 (P22_S1_tok_900s_off),what (note),audio tokens for 900 s with audio_kwargs truncation False: code formula vs measured 5.17.0 processor [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; not yet verified],"audio tokens for 900 s with audio_kwargs truncation False: code formula vs measured 5.17.0 processor [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives formula 22500 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]","stale ""not yet verified"" note on rows that are verified","ledger 6 LEFT me 12 (9 P22_S1 ""not yet verified"" texts); audit_p2223 item 1 left and problem 7"
<local data dir>/release/scores/part22/rows/P22_verified.tsv,line 51 (P22_S1_formula_match),what (note),E-DAIC full windows whose logged n_audio_tok equals the code formula on win_dur_s (of 275) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; not yet verified],"E-DAIC full windows whose logged n_audio_tok equals the code formula on win_dur_s (of 275) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives formula matches 275 of 275 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]","stale ""not yet verified"" note on rows that are verified","ledger 6 LEFT me 12 (9 P22_S1 ""not yet verified"" texts); audit_p2223 item 1 left and problem 7"
<local data dir>/release/scores/part22/rows/P22_verified.tsv,line 52 (P22_S1_gt300_at_7500),what (note),E-DAIC full windows longer than 300 s that received exactly 7500 audio tokens (of 217) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; not yet verified],"E-DAIC full windows longer than 300 s that received exactly 7500 audio tokens (of 217) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives 217 of 217 windows over 300 s at 7500 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]","stale ""not yet verified"" note on rows that are verified","ledger 6 LEFT me 12 (9 P22_S1 ""not yet verified"" texts); audit_p2223 item 1 left and problem 7"
<local data dir>/release/scores/part22/rows/P22_verified.tsv,line 53 (P22_S1_capped900),what (note),"E-DAIC full windows capped at 900 s (windows_full.csv capped==1, of 275) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; not yet verified]","E-DAIC full windows capped at 900 s (windows_full.csv capped==1, of 275) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives capped 89 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]","stale ""not yet verified"" note on rows that are verified","ledger 6 LEFT me 12 (9 P22_S1 ""not yet verified"" texts); audit_p2223 item 1 left and problem 7"
<local data dir>/release/scores/part22/rows/P22.tsv,(whole file),backup,,<local data dir>/release/scores/part22/rows/P22.tsv.bak_pre_notefix_23sep (md5 503048f5bb76ec6c421ada8de137c1c4),copy before the note fix,
<local data dir>/release/scores/part22/rows/P22.tsv,line 23 (P22_S1_tf_version),what (note),transformers version of the paper E-DAIC scoring run (podA SETUP3.log:15); 3 live Part 20 pods also 5.17.0 [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; not yet verified],"transformers version of the paper E-DAIC scoring run (podA SETUP3.log:15); 3 live Part 20 pods also 5.17.0 [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives tf_version 5.17.0 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]","stale ""not yet verified"" note on rows that are verified","ledger 6 LEFT me 12 (9 P22_S1 ""not yet verified"" texts); audit_p2223 item 1 left and problem 7"
<local data dir>/release/scores/part22/rows/P22.tsv,line 24 (P22_S1_chunk_length),what (note),Qwen2.5-Omni WhisperFeatureExtractor chunk_length s (Hub preprocessor_config.json:2; loaded object fe.chunk_length) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; not yet verified],"Qwen2.5-Omni WhisperFeatureExtractor chunk_length s (Hub preprocessor_config.json:2; loaded object fe.chunk_length) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives chunk_length 300 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]","stale ""not yet verified"" note on rows that are verified","ledger 6 LEFT me 12 (9 P22_S1 ""not yet verified"" texts); audit_p2223 item 1 left and problem 7"
<local data dir>/release/scores/part22/rows/P22.tsv,line 25 (P22_S1_n_samples),what (note),feature extractor n_samples = audio cap in 16 kHz samples (feature_extraction_whisper.py:91; loaded object) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; not yet verified],"feature extractor n_samples = audio cap in 16 kHz samples (feature_extraction_whisper.py:91; loaded object) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives n_samples 4800000 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]","stale ""not yet verified"" note on rows that are verified","ledger 6 LEFT me 12 (9 P22_S1 ""not yet verified"" texts); audit_p2223 item 1 left and problem 7"
<local data dir>/release/scores/part22/rows/P22.tsv,line 26 (P22_S1_trunc_default),what (note),WhisperFeatureExtractor.__call__ truncation default (feature_extraction_whisper.py:196); Omni processor passes none [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; not yet verified],"WhisperFeatureExtractor.__call__ truncation default (feature_extraction_whisper.py:196); Omni processor passes none [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives feature_extraction_whisper.py:196 ""truncation: bool = True,"" (leftovers_23sep/tables/my_verifier_p22s1_out.json)]","stale ""not yet verified"" note on rows that are verified","ledger 6 LEFT me 12 (9 P22_S1 ""not yet verified"" texts); audit_p2223 item 1 left and problem 7"
<local data dir>/release/scores/part22/rows/P22.tsv,line 27 (P22_S1_tok_300s),what (note),audio tokens at the 300 s cap: code formula processing_qwen2_5_omni.py:151-152 vs measured 5.17.0 processor [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; not yet verified],"audio tokens at the 300 s cap: code formula processing_qwen2_5_omni.py:151-152 vs measured 5.17.0 processor [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives formula 7500 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]","stale ""not yet verified"" note on rows that are verified","ledger 6 LEFT me 12 (9 P22_S1 ""not yet verified"" texts); audit_p2223 item 1 left and problem 7"
<local data dir>/release/scores/part22/rows/P22.tsv,line 28 (P22_S1_tok_900s_off),what (note),audio tokens for 900 s with audio_kwargs truncation False: code formula vs measured 5.17.0 processor [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; not yet verified],"audio tokens for 900 s with audio_kwargs truncation False: code formula vs measured 5.17.0 processor [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives formula 22500 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]","stale ""not yet verified"" note on rows that are verified","ledger 6 LEFT me 12 (9 P22_S1 ""not yet verified"" texts); audit_p2223 item 1 left and problem 7"
<local data dir>/release/scores/part22/rows/P22.tsv,line 29 (P22_S1_formula_match),what (note),E-DAIC full windows whose logged n_audio_tok equals the code formula on win_dur_s (of 275) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; not yet verified],"E-DAIC full windows whose logged n_audio_tok equals the code formula on win_dur_s (of 275) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives formula matches 275 of 275 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]","stale ""not yet verified"" note on rows that are verified","ledger 6 LEFT me 12 (9 P22_S1 ""not yet verified"" texts); audit_p2223 item 1 left and problem 7"
<local data dir>/release/scores/part22/rows/P22.tsv,line 30 (P22_S1_gt300_at_7500),what (note),E-DAIC full windows longer than 300 s that received exactly 7500 audio tokens (of 217) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; not yet verified],"E-DAIC full windows longer than 300 s that received exactly 7500 audio tokens (of 217) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives 217 of 217 windows over 300 s at 7500 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]","stale ""not yet verified"" note on rows that are verified","ledger 6 LEFT me 12 (9 P22_S1 ""not yet verified"" texts); audit_p2223 item 1 left and problem 7"
<local data dir>/release/scores/part22/rows/P22.tsv,line 31 (P22_S1_capped900),what (note),"E-DAIC full windows capped at 900 s (windows_full.csv capped==1, of 275) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; not yet verified]","E-DAIC full windows capped at 900 s (windows_full.csv capped==1, of 275) [value restored by the PART 22 verifier from P22_step1_processor_config.sidecar.json results after a rows-file schema clash] [value re-derived by the pod job from the cited source after it blanked this row by mistake; verified afterwards: the PART 22 verifier agrees (agree_4dp True, verify/out/rows_S1_check.json), and a recheck from the cited sources on 23 Sep gives capped 89 (leftovers_23sep/tables/my_verifier_p22s1_out.json)]","stale ""not yet verified"" note on rows that are verified","ledger 6 LEFT me 12 (9 P22_S1 ""not yet verified"" texts); audit_p2223 item 1 left and problem 7"
<local data dir>/release/edaic_rerun/part16/POD1/p14_o25_sftfull.json,(whole file),backup,,<local data dir>/release/edaic_rerun/part16/POD1/p14_o25_sftfull.json.bak_pre_notefix_23sep (md5 d51f428c67d81a57b1f6655abe1fa1d5),copy before the note fix,
<local data dir>/release/edaic_rerun/part16/POD1/p14_o25_sftfull.json,key n,sidecar key,(missing),"n: 966 (rows of p14_o25_sftfull.csv, recounted; 138 speakers)","POD1 verifier required key n was missing (verify/POD1_verify_out.json ""missing:['n']"")",ledger 6 LEFT me 12 (p14_o25_sftfull.json n); audit_p16 item 1 left
<local data dir>/release/edaic_rerun/part16/POD1/out16/p14_o25_sftfull.json,(whole file),backup,,<local data dir>/release/edaic_rerun/part16/POD1/out16/p14_o25_sftfull.json.bak_pre_notefix_23sep (md5 d51f428c67d81a57b1f6655abe1fa1d5),copy before the note fix,
<local data dir>/release/edaic_rerun/part16/POD1/out16/p14_o25_sftfull.json,key n,sidecar key,(missing),"n: 966 (rows of p14_o25_sftfull.csv, recounted; 138 speakers)","POD1 verifier required key n was missing (verify/POD1_verify_out.json ""missing:['n']"")",ledger 6 LEFT me 12 (p14_o25_sftfull.json n); audit_p16 item 1 left
