item_id,line,col,kind,text,value,value2,decimals,decimals2,unit,range_labels,in_red,in_comment,section,table,table_key,table_row,table_col,table_group,clause,context,prev_context,table_caption,para_before
L77_433,77,433,range,0.84 to 0.93,0.84,0.93,2,2,,,no,no,Implementation Details,,,,,,0.68 on the E-DAIC transcripts and 0.84 to 0.93 on the Alzheimer's sets.,"As a measure of how much the words alone carry, a TF-IDF logistic regression on the transcripts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on the E-DAIC transcripts and 0.84 to 0.93 on the Alzheimer's sets.","\sectionImplementation Details\labelsec:impl Datasets. We use seven datasets across Parkinson's disease (PD), Alzheimer's disease (AD) and major depressive disorder (MDD), chosen so that the spoken words carry a different share of the diagnosis in each condition.",,
L79_271,79,271,integer,1100,1100.0,,0,,,,no,no,Implementation Details,,,,,,"1100 clips),","From the Parkinson's disease datasets, we only use material whose words are fixed by the protocol, so the words carry little of the diagnosis, and most of the signal has to come from the voice: PC-GITA (Spanish, ten sentences and one read text per speaker, 1100 clips), NeuroVoz (Spanish, twelve isolated words, 1270 clips from 107 speakers) and MDVR-KCL (English, 37 speakers, most reading one of two passages).",,,
L79_342,79,342,integer,1270,1270.0,,0,,,,no,no,Implementation Details,,,,,,"1270 clips from 107 speakers) and MDVR-KCL (English,","From the Parkinson's disease datasets, we only use material whose words are fixed by the protocol, so the words carry little of the diagnosis, and most of the signal has to come from the voice: PC-GITA (Spanish, ten sentences and one read text per speaker, 1100 clips), NeuroVoz (Spanish, twelve isolated words, 1270 clips from 107 speakers) and MDVR-KCL (English, 37 speakers, most reading one of two passages).",,,
L79_358,79,358,integer,107,107.0,,0,,,,no,no,Implementation Details,,,,,,"1270 clips from 107 speakers) and MDVR-KCL (English,","From the Parkinson's disease datasets, we only use material whose words are fixed by the protocol, so the words carry little of the diagnosis, and most of the signal has to come from the voice: PC-GITA (Spanish, ten sentences and one read text per speaker, 1100 clips), NeuroVoz (Spanish, twelve isolated words, 1270 clips from 107 speakers) and MDVR-KCL (English, 37 speakers, most reading one of two passages).",,,
L79_406,79,406,integer,37,37.0,,0,,,,no,no,Implementation Details,,,,,,"37 speakers,","From the Parkinson's disease datasets, we only use material whose words are fixed by the protocol, so the words carry little of the diagnosis, and most of the signal has to come from the voice: PC-GITA (Spanish, ten sentences and one read text per speaker, 1100 clips), NeuroVoz (Spanish, twelve isolated words, 1270 clips from 107 speakers) and MDVR-KCL (English, 37 speakers, most reading one of two passages).",,,
L81_220,81,220,integer,275,275.0,,0,,,,no,no,Implementation Details,,,,,,"with 275 participants,","We use E-DAIC , the extended dataset released for AVEC 2019, with 275 participants, where the binary label is the dataset's released label based on the eight-item Patient Health Questionnaire (PHQ-8) , stricter than PHQ-8 \geq 10 for 20 participants, rather than a clinical diagnosis.","The depression interviews sit between the Parkinson's and the Alzheimer's sets, since what the participant says carries part of the diagnosis.",,
L81_400,81,400,integer,10,10.0,,0,,,,no,no,Implementation Details,,,,,,"stricter than PHQ-8 \geq 10 for 20 participants,","We use E-DAIC , the extended dataset released for AVEC 2019, with 275 participants, where the binary label is the dataset's released label based on the eight-item Patient Health Questionnaire (PHQ-8) , stricter than PHQ-8 \geq 10 for 20 participants, rather than a clinical diagnosis.","The depression interviews sit between the Parkinson's and the Alzheimer's sets, since what the participant says carries part of the diagnosis.",,
L81_408,81,408,integer,20,20.0,,0,,,,no,no,Implementation Details,,,,,,"stricter than PHQ-8 \geq 10 for 20 participants,","We use E-DAIC , the extended dataset released for AVEC 2019, with 275 participants, where the binary label is the dataset's released label based on the eight-item Patient Health Questionnaire (PHQ-8) , stricter than PHQ-8 \geq 10 for 20 participants, rather than a clinical diagnosis.","The depression interviews sit between the Parkinson's and the Alzheimer's sets, since what the participant says carries part of the diagnosis.",,
L81_551,81,551,integer,15,15.0,,0,,,,no,no,Implementation Details,,,,,,"interviewer turns removed and capped at 15 minutes for the 89 longest,","The model hears the participant's whole interview, interviewer turns removed and capped at 15 minutes for the 89 longest, with the processor's default input limit lifted so that every window is encoded whole.","We use E-DAIC , the extended dataset released for AVEC 2019, with 275 participants, where the binary label is the dataset's released label based on the eight-item Patient Health Questionnaire (PHQ-8) , stricter than PHQ-8 \geq 10 for 20 participants, rather than a clinical diagnosis.",,
L81_570,81,570,integer,89,89.0,,0,,,,no,no,Implementation Details,,,,,,"interviewer turns removed and capped at 15 minutes for the 89 longest,","The model hears the participant's whole interview, interviewer turns removed and capped at 15 minutes for the 89 longest, with the processor's default input limit lifted so that every window is encoded whole.","We use E-DAIC , the extended dataset released for AVEC 2019, with 275 participants, where the binary label is the dataset's released label based on the eight-item Patient Health Questionnaire (PHQ-8) , stricter than PHQ-8 \geq 10 for 20 participants, rather than a clinical diagnosis.",,
L83_189,83,189,integer,468,468.0,,0,,,,no,no,Implementation Details,,,,,,"with 468 segments from 227 participants (one has sessions in both groups and is grouped under two labels),","We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 227 participants (one has sessions in both groups and is grouped under two labels), the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.","For Alzheimer's disease we use picture description, where semantic content and fluency carry most of the diagnosis.",,
L83_207,83,207,integer,227,227.0,,0,,,,no,no,Implementation Details,,,,,,"with 468 segments from 227 participants (one has sessions in both groups and is grouped under two labels),","We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 227 participants (one has sessions in both groups and is grouped under two labels), the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.","For Alzheimer's disease we use picture description, where semantic content and fluency carry most of the diagnosis.",,
L83_427,83,427,integer,237,237.0,,0,,,,no,no,Implementation Details,,,,,,"the ADReSSo recordings from 237 speakers,","We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 227 participants (one has sessions in both groups and is grouped under two labels), the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.","For Alzheimer's disease we use picture description, where semantic content and fluency carry most of the diagnosis.",,
L83_561,83,561,integer,108,108.0,,0,,,,no,no,Implementation Details,,,,,,and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 227 participants (one has sessions in both groups and is grouped under two labels), the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.","For Alzheimer's disease we use picture description, where semantic content and fluency carry most of the diagnosis.",,
L83_578,83,578,integer,48,48.0,,0,,,,no,no,Implementation Details,,,,,,and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 227 participants (one has sessions in both groups and is grouped under two labels), the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.","For Alzheimer's disease we use picture description, where semantic content and fluency carry most of the diagnosis.",,
L83_821,83,821,integer,30,30.0,,0,,s,,no,no,Implementation Details,,,,,,"Models hear the first 30 s,","Models hear the first 30 s, because Qwen2-Audio cannot take more, so the conflict test of Section \refsec:setup runs on the same clips for all six models.","Each Pitt segment starts at the participant's first timed utterance, and the ADReSSo and ADReSS-2020 windows start at the beginning of the recording, so interviewer prompts inside the window are kept.",,
L85_123,85,123,point,0.995,0.995,,3,,,,no,yes,Implementation Details,,,,,,was excluded because recording properties alone separated its groups at 0.995 (Section \refsec:controls).,"%An eighth corpus, an Italian Parkinson's dataset, was excluded because recording properties alone separated its groups at 0.995 (Section \refsec:controls).",,,
L87_110,87,110,integer,1,1.0,,0,,,,no,no,Implementation Details,,,,,,"Probing. The probe in Eq. \refeq:probe is logistic regression with \ell_2 penalty at C=1,","Probing. The probe in Eq. \refeq:probe is logistic regression with \ell_2 penalty at C=1, balanced class weights and 2000 iterations, on features standardized inside the training fold.",,,
L87_141,87,141,integer,2000,2000.0,,0,,,,no,no,Implementation Details,,,,,,"balanced class weights and 2000 iterations,","Probing. The probe in Eq. \refeq:probe is logistic regression with \ell_2 penalty at C=1, balanced class weights and 2000 iterations, on features standardized inside the training fold.",,,
L87_249,87,249,integer,5,5.0,,0,,,,no,no,Implementation Details,,,,,,"5 folds),","Folds are speaker-disjoint (GroupKFold, 5 folds), an inner 4-fold split of the training speakers chooses the layer, and the probe AUC is the mean of the out-of-fold AUCs over five repeats of the fold assignment.","Probing. The probe in Eq. \refeq:probe is logistic regression with \ell_2 penalty at C=1, balanced class weights and 2000 iterations, on features standardized inside the training fold.",,
L87_268,87,268,integer,4,4.0,,0,,,,no,no,Implementation Details,,,,,,"an inner 4-fold split of the training speakers chooses the layer,","Folds are speaker-disjoint (GroupKFold, 5 folds), an inner 4-fold split of the training speakers chooses the layer, and the probe AUC is the mean of the out-of-fold AUCs over five repeats of the fold assignment.","Probing. The probe in Eq. \refeq:probe is logistic regression with \ell_2 penalty at C=1, balanced class weights and 2000 iterations, on features standardized inside the training fold.",,
L87_629,87,629,point,+0.03,0.03,,2,,,,no,yes,Implementation Details,,,,,,"selecting the layer after seeing the test fold inflates AUC by +0.03 on average across 18 cells and by up to +0.14,","The release names the fold file behind every probe value and paired interval. %Where a layer is chosen, it is chosen inside the training folds; selecting the layer after seeing the test fold inflates AUC by +0.03 on average across 18 cells and by up to +0.14, so we quote the nested value wherever both exist.","Folds are speaker-disjoint (GroupKFold, 5 folds), an inner 4-fold split of the training speakers chooses the layer, and the probe AUC is the mean of the out-of-fold AUCs over five repeats of the fold assignment.",,
L87_654,87,654,integer,18,18.0,,0,,,,no,yes,Implementation Details,,,,,,"selecting the layer after seeing the test fold inflates AUC by +0.03 on average across 18 cells and by up to +0.14,","The release names the fold file behind every probe value and paired interval. %Where a layer is chosen, it is chosen inside the training folds; selecting the layer after seeing the test fold inflates AUC by +0.03 on average across 18 cells and by up to +0.14, so we quote the nested value wherever both exist.","Folds are speaker-disjoint (GroupKFold, 5 folds), an inner 4-fold split of the training speakers chooses the layer, and the probe AUC is the mean of the out-of-fold AUCs over five repeats of the fold assignment.",,
L87_677,87,677,point,+0.14,0.14,,2,,,,no,yes,Implementation Details,,,,,,"selecting the layer after seeing the test fold inflates AUC by +0.03 on average across 18 cells and by up to +0.14,","The release names the fold file behind every probe value and paired interval. %Where a layer is chosen, it is chosen inside the training folds; selecting the layer after seeing the test fold inflates AUC by +0.03 on average across 18 cells and by up to +0.14, so we quote the nested value wherever both exist.","Folds are speaker-disjoint (GroupKFold, 5 folds), an inner 4-fold split of the training speakers chooses the layer, and the probe AUC is the mean of the out-of-fold AUCs over five repeats of the fold assignment.",,
L88_81,88,81,integer,32,32.0,,0,,,,no,no,Implementation Details,,,,,,"end-to-end on 32 hidden states in its audio encoder and 29 in its language model,","Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers.",The release names the fold file behind every probe value and paired interval.,,
L88_123,88,123,integer,29,29.0,,0,,,,no,no,Implementation Details,,,,,,"end-to-end on 32 hidden states in its audio encoder and 29 in its language model,","Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers.",The release names the fold file behind every probe value and paired interval.,,
L88_228,88,228,integer,28,28.0,,0,,,,no,no,Implementation Details,,,,,,the projected input and the outputs of its 28 layers.,"Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers.",The release names the fold file behind every probe value and paired interval.,,
L90_96,90,96,sci,10^-4,0.0001,,,,sci,,no,no,Implementation Details,,,,,,"learning rate 10^-4,","Fine-tuning. The projector is trained with AdamW , learning rate 10^-4, three epochs, one clip per update and cross entropy over the ``Yes'' and ``No'' logits only, on the same five speaker-disjoint folds, and is scored on those two tokens.",,,
L92_518,92,518,point,0.02,0.02,,2,,,,no,no,Implementation Details,,,,,,move the Table \reftab:main audio answers by 0.02 on average and 0.07 at most.,"For Qwen2.5-Omni, two other wording options, listed with the release, move the Table \reftab:main audio answers by 0.02 on average and 0.07 at most.","For the transcript-only baseline, ``this recording'' is replaced with ``this transcript of what the person said''.",,
L92_538,92,538,point,0.07,0.07,,2,,,,no,no,Implementation Details,,,,,,move the Table \reftab:main audio answers by 0.02 on average and 0.07 at most.,"For Qwen2.5-Omni, two other wording options, listed with the release, move the Table \reftab:main audio answers by 0.02 on average and 0.07 at most.","For the transcript-only baseline, ``this recording'' is replaced with ``this transcript of what the person said''.",,
L92_621,92,621,integer,966,966.0,,0,,,,no,no,Implementation Details,,,,,,Qwen2.5-Omni's first word is Yes or No on all 966 depression pair clips and matches the logit decision on 99 percent of the conflict clips. %The two score within 0.01 of each other on Pitt.,"Under greedy decoding, Qwen2.5-Omni's first word is Yes or No on all 966 depression pair clips and matches the logit decision on 99 percent of the conflict clips. %The two score within 0.01 of each other on Pitt.","For Qwen2.5-Omni, two other wording options, listed with the release, move the Table \reftab:main audio answers by 0.02 on average and 0.07 at most.",,
L92_681,92,681,percent,99,99.0,,0,,%,,no,no,Implementation Details,,,,,,Qwen2.5-Omni's first word is Yes or No on all 966 depression pair clips and matches the logit decision on 99 percent of the conflict clips. %The two score within 0.01 of each other on Pitt.,"Under greedy decoding, Qwen2.5-Omni's first word is Yes or No on all 966 depression pair clips and matches the logit decision on 99 percent of the conflict clips. %The two score within 0.01 of each other on Pitt.","For Qwen2.5-Omni, two other wording options, listed with the release, move the Table \reftab:main audio answers by 0.02 on average and 0.07 at most.",,
L92_737,92,737,point,0.01,0.01,,2,,,,no,yes,Implementation Details,,,,,,Qwen2.5-Omni's first word is Yes or No on all 966 depression pair clips and matches the logit decision on 99 percent of the conflict clips. %The two score within 0.01 of each other on Pitt.,"Under greedy decoding, Qwen2.5-Omni's first word is Yes or No on all 966 depression pair clips and matches the logit decision on 99 percent of the conflict clips. %The two score within 0.01 of each other on Pitt.","For Qwen2.5-Omni, two other wording options, listed with the release, move the Table \reftab:main audio answers by 0.02 on average and 0.07 at most.",,
L95_154,95,154,integer,25,25.0,,0,,,,no,no,Implementation Details,,,,,,we take every participant segment of at least 25 words and 5 s of speech and score it with the Twitter-RoBERTa sentiment classifier trained on TweetEval .,"Conflict set construction. From the raw E-DAIC transcripts, with the interviewer removed, we take every participant segment of at least 25 words and 5 s of speech and score it with the Twitter-RoBERTa sentiment classifier trained on TweetEval .",,,
L95_167,95,167,integer,5,5.0,,0,,s,,no,no,Implementation Details,,,,,,we take every participant segment of at least 25 words and 5 s of speech and score it with the Twitter-RoBERTa sentiment classifier trained on TweetEval .,"Conflict set construction. From the raw E-DAIC transcripts, with the interviewer removed, we take every participant segment of at least 25 words and 5 s of speech and score it with the Twitter-RoBERTa sentiment classifier trained on TweetEval .",,,
L95_369,95,369,point,0.70,0.7,,2,,,,no,no,Implementation Details,,,,,,A segment is counted as positive or negative if that class has a probability of at least 0.70.,A segment is counted as positive or negative if that class has a probability of at least 0.70.,"Conflict set construction. From the raw E-DAIC transcripts, with the interviewer removed, we take every participant segment of at least 25 words and 5 s of speech and score it with the Twitter-RoBERTa sentiment classifier trained on TweetEval .",,
L95_411,95,411,integer,15,15.0,,0,,,,no,no,Implementation Details,,,,,,"A participant with a PHQ-8 score of 15 or more speaking positively,","A participant with a PHQ-8 score of 15 or more speaking positively, or a healthy control with a PHQ-8 score of 4 or less speaking negatively, constitutes a conflict segment.",A segment is counted as positive or negative if that class has a probability of at least 0.70.,,
L95_486,95,486,integer,4,4.0,,0,,,,no,no,Implementation Details,,,,,,"or a healthy control with a PHQ-8 score of 4 or less speaking negatively,","A participant with a PHQ-8 score of 15 or more speaking positively, or a healthy control with a PHQ-8 score of 4 or less speaking negatively, constitutes a conflict segment.",A segment is counted as positive or negative if that class has a probability of at least 0.70.,,
L95_561,95,561,integer,488,488.0,,0,,,,no,no,Implementation Details,,,,,,"This yields 488 conflict segments,","This yields 488 conflict segments, of which 483 have an agreement segment from the same speaker, giving 483 pairs from 138 speakers.","A participant with a PHQ-8 score of 15 or more speaking positively, or a healthy control with a PHQ-8 score of 4 or less speaking negatively, constitutes a conflict segment.",,
L95_593,95,593,integer,483,483.0,,0,,,,no,no,Implementation Details,,,,,,"of which 483 have an agreement segment from the same speaker,","This yields 488 conflict segments, of which 483 have an agreement segment from the same speaker, giving 483 pairs from 138 speakers.","A participant with a PHQ-8 score of 15 or more speaking positively, or a healthy control with a PHQ-8 score of 4 or less speaking negatively, constitutes a conflict segment.",,
L95_653,95,653,integer,483,483.0,,0,,,,no,no,Implementation Details,,,,,,giving 483 pairs from 138 speakers.,"This yields 488 conflict segments, of which 483 have an agreement segment from the same speaker, giving 483 pairs from 138 speakers.","A participant with a PHQ-8 score of 15 or more speaking positively, or a healthy control with a PHQ-8 score of 4 or less speaking negatively, constitutes a conflict segment.",,
L95_668,95,668,integer,138,138.0,,0,,,,no,no,Implementation Details,,,,,,giving 483 pairs from 138 speakers.,"This yields 488 conflict segments, of which 483 have an agreement segment from the same speaker, giving 483 pairs from 138 speakers.","A participant with a PHQ-8 score of 15 or more speaking positively, or a healthy control with a PHQ-8 score of 4 or less speaking negatively, constitutes a conflict segment.",,
L95_753,95,753,integer,311,311.0,,0,,,,no,no,Implementation Details,,,,,,so the agreement arm holds 311 distinct segments and is scored on those.,"Agreement segments are reused across pairs, so the agreement arm holds 311 distinct segments and is scored on those.","This yields 488 conflict segments, of which 483 have an agreement segment from the same speaker, giving 483 pairs from 138 speakers.",,
L97_430,97,430,point,0.71,0.71,,2,,,,no,no,Implementation Details,,,,,,with speaking rate excluded because it is a timing measure rather than a lexical one (alone it separates the groups at 0.71).,"For Alzheimer's disease, we score the words of each segment in the Pitt dataset with a logistic regression trained on six fluency markers from the CHAT transcription codes : type-token ratio, retraces, fillers, unintelligible tokens, errors and pauses, with speaking rate excluded because it is a timing measure rather than a lexical one (alone it separates the groups at 0.71).",,,
L97_738,97,738,integer,146,146.0,,0,,,,no,no,Implementation Details,,,,,,This leaves 146 segments in conflict and 322 in agreement.,This leaves 146 segments in conflict and 322 in agreement.,"A participant with dementia scored as fluent, or a healthy control scored as impaired, is a conflict segment, and the reverse is an agreement segment.",,
L97_767,97,767,integer,322,322.0,,0,,,,no,no,Implementation Details,,,,,,This leaves 146 segments in conflict and 322 in agreement.,This leaves 146 segments in conflict and 322 in agreement.,"A participant with dementia scored as fluent, or a healthy control scored as impaired, is a conflict segment, and the reverse is an agreement segment.",,
L97_803,97,803,range,30 to 56,30.0,56.0,0,0,s,,no,no,Implementation Details,,,,,,Segments run from 30 to 56 s (median 33 s) and the models hear the first 30 s of each.,Segments run from 30 to 56 s (median 33 s) and the models hear the first 30 s of each.,This leaves 146 segments in conflict and 322 in agreement.,,
L97_823,97,823,integer,33,33.0,,0,,s,,no,no,Implementation Details,,,,,,Segments run from 30 to 56 s (median 33 s) and the models hear the first 30 s of each.,Segments run from 30 to 56 s (median 33 s) and the models hear the first 30 s of each.,This leaves 146 segments in conflict and 322 in agreement.,,
L97_860,97,860,integer,30,30.0,,0,,s,,no,no,Implementation Details,,,,,,Segments run from 30 to 56 s (median 33 s) and the models hear the first 30 s of each.,Segments run from 30 to 56 s (median 33 s) and the models hear the first 30 s of each.,This leaves 146 segments in conflict and 322 in agreement.,,
L101_219,101,219,point,7.5,7.5,,1,,,,no,no,Implementation Details,,,,,,"participants with dementia are 7.5 years older than controls per speaker,","On the Pitt dataset, participants with dementia are 7.5 years older than controls per speaker, so we also report the probe and the answer restricted to the 275 clips of the 129 speakers kept by an age and sex matched selection (81 pairs over the whole dataset).","Checks. As an acoustic baseline, we train a logistic regression on the extended Geneva minimalistic acoustic parameter set (eGeMAPS) .",,
L101_323,101,323,integer,275,275.0,,0,,,,no,no,Implementation Details,,,,,,so we also report the probe and the answer restricted to the 275 clips of the 129 speakers kept by an age and sex matched selection (81 pairs over the whole dataset).,"On the Pitt dataset, participants with dementia are 7.5 years older than controls per speaker, so we also report the probe and the answer restricted to the 275 clips of the 129 speakers kept by an age and sex matched selection (81 pairs over the whole dataset).","Checks. As an acoustic baseline, we train a logistic regression on the extended Geneva minimalistic acoustic parameter set (eGeMAPS) .",,
L101_340,101,340,integer,129,129.0,,0,,,,no,no,Implementation Details,,,,,,so we also report the probe and the answer restricted to the 275 clips of the 129 speakers kept by an age and sex matched selection (81 pairs over the whole dataset).,"On the Pitt dataset, participants with dementia are 7.5 years older than controls per speaker, so we also report the probe and the answer restricted to the 275 clips of the 129 speakers kept by an age and sex matched selection (81 pairs over the whole dataset).","Checks. As an acoustic baseline, we train a logistic regression on the extended Geneva minimalistic acoustic parameter set (eGeMAPS) .",,
L101_395,101,395,integer,81,81.0,,0,,,,no,no,Implementation Details,,,,,,so we also report the probe and the answer restricted to the 275 clips of the 129 speakers kept by an age and sex matched selection (81 pairs over the whole dataset).,"On the Pitt dataset, participants with dementia are 7.5 years older than controls per speaker, so we also report the probe and the answer restricted to the 275 clips of the 129 speakers kept by an age and sex matched selection (81 pairs over the whole dataset).","Checks. As an acoustic baseline, we train a logistic regression on the extended Geneva minimalistic acoustic parameter set (eGeMAPS) .",,
L101_443,101,443,percent,95,95.0,,0,,%,,no,no,Implementation Details,,,,,,"Intervals are 95 percent percentile intervals from 2000 speaker draws,","Intervals are 95 percent percentile intervals from 2000 speaker draws, one draw per replicate for paired differences, and a difference is called significant when its interval excludes zero, without correction for multiple comparisons.","On the Pitt dataset, participants with dementia are 7.5 years older than controls per speaker, so we also report the probe and the answer restricted to the 275 clips of the 129 speakers kept by an age and sex matched selection (81 pairs over the whole dataset).",,
L101_480,101,480,integer,2000,2000.0,,0,,,,no,no,Implementation Details,,,,,,"Intervals are 95 percent percentile intervals from 2000 speaker draws,","Intervals are 95 percent percentile intervals from 2000 speaker draws, one draw per replicate for paired differences, and a difference is called significant when its interval excludes zero, without correction for multiple comparisons.","On the Pitt dataset, participants with dementia are 7.5 years older than controls per speaker, so we also report the probe and the answer restricted to the 275 clips of the 129 speakers kept by an age and sex matched selection (81 pairs over the whole dataset).",,
L107_181,107,181,point,0.995,0.995,,3,,,,no,yes,Experimental Results,,,,,,Six recording measurements containing no speech content separate patients from controls at 0.995 on the Italian dataset;,Six recording measurements containing no speech content separate patients from controls at 0.995 on the Italian dataset; we exclude it.,,,
