line_start,line_end,unit,status,ratio,new_numbers,text,best_base_text
47,48,sentence,added,0.570,,"In this paper, we compare what an Audio LLM's representations hold against what it answers, on the same recordings with the same question, under three conditions in which the spoken words carry different shares of the diagnosis: Parkinson's read-speech, depression interviews and Alzheimer's picture descriptions (Fig. \reffig:gap).","We train linear probes on its frozen hidden states and query it under three conditions that differ in language saliency: Parkinson's read-speech, depression interviews and Alzheimer's picture descriptions."
51,52,sentence,edited,0.735,,"\item We compare what an Audio LLM encodes against what it answers on seven clinical datasets, evaluate six Audio LLMs on the conflict sets to test whether the paralinguistic signal is utilized, and show that the gap is significant on every Parkinson's and Alzheimer's set except MDVR-KCL and reverses on depression.","\item We compare what an Audio LLM encodes against what it answers on seven clinical datasets, and test six Audio LLMs on the conflict sets to test whether the paralinguistic signal is utilized."
52,53,sentence,added,0.522,,"\item We show that the signal survives to the answer position, in directions the Yes/No readout does not use, and that retraining only the projector recovers the overall AUC on five of seven datasets but leaves the conflict segments at chance.",\item We localize the utility gap to the final readout of the LLM from representations and show that retraining only the projector recovers most of the performance.
58,59,sentence,edited,0.962,,We aim to find whether an Audio LLM's answer to speech-based clinical diagnosis is grounded in the auditory evidence its representations hold.,We aim to establish whether an Audio LLM's answer to speech-based clinical diagnosis is grounded in the auditory evidence its representations hold.
59,59,sentence,edited,0.969,,"We first read the diagnostic information from the frozen model's hidden states with a linear probe, trained and evaluated on speaker-disjoint folds probing every layer of the encoder and the language model.","To this end, we first read the diagnostic information from the frozen model's hidden states with a linear probe, trained and evaluated on speaker-disjoint folds probing every layer of the encoder and the language model."
59,63,sentence,edited,0.660,,"For layer \ell we mean-pool the hidden states over time and fit a logistic probe on speaker-disjoint folds, and the area under the ROC curve (AUC) is \beginequation AUC^probe_\ell = AUC\big(\sigma(\mathbfw_\ell^\top\bar\mathbfh_\ell + b_\ell), y\big), \labeleq:probe \endequation where y is the label and \bar\mathbfh_\ell is the mean-pooled activation.",For layer \ell we mean-pool the hidden states over time and fit a logistic probe on speaker-disjoint folds and the AUC is calculated as follows.
63,67,sentence,edited,0.708,0.89,"We then ask the model the same prompt (clinical question) and read its answer from the logits at the first answer position, in one forward pass and with no generation, \beginequation AUC^answer = AUC(p(Y), y), \quad p(Y) = \frac\sum_t\in\mathcalY\pi_t\sum_t\in\mathcalY\cup\mathcalN\pi_t, \labeleq:answer \endequation where \pi is the softmax over the vocabulary at the first answer position and \mathcalY, \mathcalN are the single-token spellings of Yes and No listed in the release, so p(Y) is the probability of Yes given that the answer is one of the two; the two sets hold a median of at least 0.89 of the probability mass in every cell.","We then ask the model the same prompt (clinical question) and read its answer from the logits at the first answer position, in one forward pass and with no generation, \beginequation AUC^answer = AUC(p(Y), y), \:\: p(Y) = \sigma\big(z(Y) - z(N)\big) \labeleq:answer \endequation z(Y) and z(N) are the logits of the first token of Yes and No at the first answer position, so p(Y) is the probability of Yes conditioned on the answer being one of the two."
67,67,sentence,edited,0.702,,"We also train a probe on the hidden state at this position, the vector from which the model reads its answer.",We also train a probe on the hidden state at this position.
71,72,sentence,edited,0.660,,"We ask the same question of six Audio LLMs that share the same design, an audio encoder, a projector that maps the encoder output into the language model's input space, and the language model, to establish whether the utility gap is common across architectures.","We repeat the comparison across six Audio LLMs that share this encoder, projector and LLM design, to establish whether the utility gap is common across architectures."
73,74,sentence,edited,0.896,,"Such a comparison on its own cannot tell if a model relies on paralinguistic or linguistic speech, since the spoken words and the diagnosis usually point in the same direction.","Such a comparison on its own cannot evaluate whether a model relies on paralinguistic or linguistic speech, since the spoken words and the diagnosis usually point in the same direction in clinical recordings."
74,74,sentence,added,0.434,,"Hence, we add two conditions, depression and Alzheimer's disease, in which the words and the diagnosis can point in opposite directions.",We then inspected the audio representations through probing to learn whether the information necessary for correct diagnosis is present.
74,74,sentence,added,0.410,,"A conflict segment is speech whose words point away from the speaker's diagnosis, such as a depressed participant speaking positively or a participant with dementia speaking fluently.",\section*Acknowledgments Research was sponsored by the ARO and was accomplished under Cooperative Agreement Number W911NF-25-2-0040.
74,74,sentence,added,0.448,,An agreement segment is speech whose words point toward it.,Segments whose out-of-fold score falls in the top or bottom third are kept.
74,74,sentence,edited,0.716,,"On E-DAIC each conflict segment is paired with an agreement segment of the same speaker, so the two arms differ mainly in what is said.",Each conflict segment is paired with an agreement segment from the same speaker.
74,74,sentence,added,0.397,47,"On the Pitt dataset the arms are not paired (47 speakers appear in both), and fluency markers such as pauses are heard as well as read, so the Pitt test is the weaker one.","Audio LLMs in particular are able to leverage both auditory and linguistic information from speech as they are very well capable of transcribing speech, even when none is given as prompt."
74,74,sentence,edited,0.942,,"Finally, we ask whether the gap closes when the projector alone is retrained (Section \refsec:ft).","Finally, we ask whether the gap closes when the projector alone is retrained (see Section \refsec:results)."
75,77,sentence,edited,0.776,,"\sectionImplementation Details\labelsec:impl Datasets. We use seven datasets across Parkinson's disease (PD), Alzheimer's disease (AD) and major depressive disorder (MDD), chosen so that the spoken words carry a different share of the diagnosis in each condition.","\sectionImplementation Details\labelsec:impl Datasets. Seven datasets across Parkinson's disease (PD), Alzheimer's disease (AD) and major depressive disorder (MDD), are selected so that the diagnostic content of the spoken words differs between them."
77,77,sentence,added,0.416,0.43 0.62 0.68 0.84 0.93,"As a measure of how much the words alone carry, a TF-IDF logistic regression on the transcripts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on the E-DAIC transcripts and 0.84 to 0.93 on the Alzheimer's sets.","Transcripts. For the Pitt database, ADReSS-2020 and E-DAIC , we use the transcripts provided with the dataset after stripping the annotation codes; ADReSSo and the three Parkinson's sets have no transcripts, so we transcribe them with whisper-large-v3 ."
78,79,sentence,added,0.442,107,"From the Parkinson's disease datasets, we only use material whose words are fixed by the protocol, so the words carry little of the diagnosis, and most of the signal has to come from the voice: PC-GITA (Spanish, ten sentences and one read text per speaker, 1100 clips), NeuroVoz (Spanish, twelve isolated words, 1270 clips from 107 speakers) and MDVR-KCL (English, 37 speakers, most reading one of two passages).","We use the three following corpora: PC-GITA (Spanish, 1100 clips) , NeuroVoz (Spanish, 1270 clips) and MDVR-KCL (English, 37 speakers) ."
80,81,sentence,added,0.451,,"The depression interviews sit between the Parkinson's and the Alzheimer's sets, since what the participant says carries part of the diagnosis.","For Alzheimer's disease we use picture description, where semantic content and fluency carry most of the diagnosis."
81,81,sentence,edited,0.715,10 20,"We use E-DAIC , the extended dataset released for AVEC 2019, with 275 participants, where the binary label is the dataset's released label based on the eight-item Patient Health Questionnaire (PHQ-8) , stricter than PHQ-8 \geq 10 for 20 participants, rather than a clinical diagnosis.","We use E-DAIC , the extended corpus released for AVEC 2019, with 275 participants, where the binary label is the dataset's PHQ-8 based label rather than a clinical diagnosis."
81,81,sentence,edited,0.609,,"The model hears the participant's whole interview, interviewer turns removed and capped at 15 minutes for the 89 longest, with the processor's default input limit lifted so that every window is encoded whole.","The model hears the participant's whole interview, capped at 15 minutes for the 89 longest."
81,81,sentence,added,0.466,,The transcript condition uses the whole transcript.,The major contributions of this work are as follows.
83,83,sentence,edited,0.847,227,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 227 participants (one has sessions in both groups and is grouped under two labels), the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.","We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 228 speakers, the top and bottom third of the fluency score described below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings."
83,83,sentence,edited,0.796,,"Models hear the first 30 s, because Qwen2-Audio cannot take more, so the conflict test of Section \refsec:setup runs on the same clips for all six models.","Models hear the first 30 s, the length Qwen2-Audio accepts, so the conflict test in Table \reftab:conflict runs on the same clips for all six models."
87,87,sentence,added,0.484,4,"Folds are speaker-disjoint (GroupKFold, 5 folds), an inner 4-fold split of the training speakers chooses the layer, and the probe AUC is the mean of the out-of-fold AUCs over five repeats of the fold assignment.","Folds are speaker-disjoint (GroupKFold, 5 folds) and the layer is chosen inside the training folds."
87,87,sentence,added,0.436,,The release names the fold file behind every probe value and paired interval.,"On the Parkinson's sets the transcript sits near chance, since every speaker reads the same sentences."
87,88,sentence,edited,0.723,28,"Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers.","The layer-wise probing is done on Qwen2.5-Omni , which we probe end-to-end: 32 hidden states in its audio encoder, the projector, and 29 hidden states in its language model taken at the audio-token positions."
88,88,sentence,added,0.442,,"We chose this model because it is dense and the smaller of the two Omni models, so every clip passes through the same weights, and we report Qwen3-Omni , a Mixture-of-Experts model, as a check in Section \refsec:gap.","We chose this model due to its simpler architecture allowing for consistent probing, since Qwen3-Omni uses Mixture-of-Experts."
89,90,sentence,edited,0.862,,"Fine-tuning. The projector is trained with AdamW , learning rate 10^-4, three epochs, one clip per update and cross entropy over the ``Yes'' and ``No'' logits only, on the same five speaker-disjoint folds, and is scored on those two tokens.","Fine-tuning. The projector is trained with an AdamW optimizer with a learning rate 10^-4, for three epochs, one clip per update and cross entropy over the ``Yes'' and ``No'' logits only, on the same 5 speaker-disjoint folds."
90,90,sentence,added,0.454,,"No seed is fixed, so Section \refsec:ft reports the range over runs.",Each conflict segment is paired with an agreement segment from the same speaker.
92,92,sentence,edited,0.936,,"Answer with one word, Yes or No'', with X the condition; on the Parkinson's and depression datasets, the phrase ``this recording'' is replaced with ``how this person's voice sounds''.","Answer with one word, Yes or No''; on the Parkinson's and depression datasets, the phrase ``this recording'' is replaced with ``how this person's voice sounds''."
92,92,sentence,added,0.561,0.07,"For Qwen2.5-Omni, two other wording options, listed with the release, move the Table \reftab:main audio answers by 0.02 on average and 0.07 at most.",Two other wordings move the answers by 0.02 on average.
92,92,sentence,added,0.393,966 99,"Under greedy decoding, Qwen2.5-Omni's first word is Yes or No on all 966 depression pair clips and matches the logit decision on 99 percent of the conflict clips.","Zero-shot, Qwen2.5-Omni stays between 0.56 and 0.71 on the Parkinson's and Alzheimer's sets, and only E-DAIC is higher (Table \reftab:main)."
95,95,sentence,edited,0.935,,A segment is counted as positive or negative if that class has a probability of at least 0.70.,A segment counts as positive or negative when that class has a probability of at least 0.70.
95,95,sentence,edited,0.922,,"A participant with a PHQ-8 score of 15 or more speaking positively, or a healthy control with a PHQ-8 score of 4 or less speaking negatively, constitutes a conflict segment.","A participant with PHQ-8 of 15 or more speaking positively, or a healthy control with PHQ-8 of 4 or less speaking negatively, is a conflict segment."
95,95,sentence,edited,0.632,138 483 488,"This yields 488 conflict segments, of which 483 have an agreement segment from the same speaker, giving 483 pairs from 138 speakers.",Each conflict segment is paired with an agreement segment from the same speaker.
95,95,sentence,added,0.408,311,"Agreement segments are reused across pairs, so the agreement arm holds 311 distinct segments and is scored on those.","From the Parkinson's disease datasets, we only used the read-speech (read-aloud) protocol where every speaker reads the same passage, so the words carry almost no diagnostic signals and any signal must come from the voice."
96,97,sentence,edited,0.848,0.71,"For Alzheimer's disease, we score the words of each segment in the Pitt dataset with a logistic regression trained on six fluency markers from the CHAT transcription codes : type-token ratio, retraces, fillers, unintelligible tokens, errors and pauses, with speaking rate excluded because it is a timing measure rather than a lexical one (alone it separates the groups at 0.71).","For Alzheimer's disease, we score the words of each segment in Pitt database with a logistic regression trained on six fluency markers from the CHAT transcription codes : type token ratio, retraces, fillers, unintelligible tokens, errors and pauses, with speaking rate excluded because it alone reaches 0.92 and would make the split trivial."
97,97,sentence,edited,0.708,,"The regression is trained on five speaker-disjoint folds, and segments whose out-of-fold score falls in the top or bottom third are kept.",Segments whose out-of-fold score falls in the top or bottom third are kept.
97,97,sentence,added,0.411,30 33 56,Segments run from 30 to 56 s (median 33 s) and the models hear the first 30 s of each.,The probe and the answer use different directions of that vector.
98,99,sentence,edited,0.689,,"Transcripts. Pitt and ADReSS-2020 come with manual CHAT transcripts and E-DAIC with the challenge's automatic transcripts, used with the annotation codes stripped, and ADReSSo and the three Parkinson's sets are transcribed with whisper-large-v3 .","Transcripts. For the Pitt database, ADReSS-2020 and E-DAIC , we use the transcripts provided with the dataset after stripping the annotation codes; ADReSSo and the three Parkinson's sets have no transcripts, so we transcribe them with whisper-large-v3 ."
100,101,sentence,edited,0.630,,"Checks. As an acoustic baseline, we train a logistic regression on the extended Geneva minimalistic acoustic parameter set (eGeMAPS) .",Checks. As an acoustic baseline we train a separate logistic regression classifier on eGeMAPS features .
101,101,sentence,edited,0.680,7.5 81,"On the Pitt dataset, participants with dementia are 7.5 years older than controls per speaker, so we also report the probe and the answer restricted to the 275 clips of the 129 speakers kept by an age and sex matched selection (81 pairs over the whole dataset).","On the Pitt dataset participants with a positive diagnosis are seven years older than healthy controls on average, so we repeat the probe and the answer on 275 clips from 129 age and sex matched speakers."
101,101,sentence,added,0.365,2000 95,"Intervals are 95 percent percentile intervals from 2000 speaker draws, one draw per replicate for paired differences, and a difference is called significant when its interval excludes zero, without correction for multiple comparisons.",Speaker-level bootstrap intervals for the difference between the two arms exclude zero for all six models.
134,136,sentence,edited,0.908,,\subsectionAudio LLM performance We prompt Audio LLMs with a clinical question and a speech excerpt to perform zero-shot diagnosis.,\subsectionAudio LLM performance We prompted Audio LLMs with a text prompt (clinical question) and a speech excerpt (clip) to perform zero-shot diagnosis.
139,140,sentence,added,0.572,,"On PC-GITA and NeuroVoz the transcript sits near chance, since every speaker produces the same words, while on MDVR-KCL, where speakers read one of two passages, it is above chance.","On the Parkinson's sets the transcript sits near chance, since every speaker reads the same sentences."
140,140,sentence,edited,0.839,,On E-DAIC the audio answer on the whole interview matches the answer from the whole transcript.,On E-DAIC the audio answer on the whole interview matches the transcript alone.
140,140,sentence,added,0.502,,"Qwen3-Omni, which also hears the interviews whole, reaches 0.87, Audio Flamingo 3, which hears the first ten minutes, 0.86, and Qwen2-Audio, which hears 30 s, 0.63.","Qwen3-Omni and Audio Flamingo 3 reach 0.87 and 0.86 on the same interviews, while Qwen2-Audio, which hears 30 s, stays at 0.63."
140,140,sentence,added,0.374,0.63 0.66 0.72 0.81 0.84 30,"The E-DAIC answer rises with the audio it hears: 0.66 on the first 30 s, which is mostly session setup, 0.72 on a middle 30 s, 0.81 on a middle five minutes and 0.84 on the whole interview, while the encoder probe never exceeds 0.63 on any window.","The best probe achieves an AUC of 0.75 to 0.92 on the Parkinson's sets and 0.77 on the Pitt dataset, far above the model's own answers on the same clips (Fig. \reffig:gap)."
148,149,sentence,edited,0.605,0.75 0.77 0.88 0.92,"Size of the gap. The encoder probe, with its layer chosen inside the training folds, reaches 0.75 to 0.92 on the Parkinson's sets and 0.77 to 0.88 on the Alzheimer's sets (Fig. \reffig:gap).","On the age matched clips the age alone falls to 0.39, while the encoder probe, with its layer chosen inside the training folds, reaches 0.80 and the zero-shot answer 0.65."
149,149,sentence,added,0.442,0.05 0.11 0.18 0.33 37,"The paired difference \Delta excludes zero on every Parkinson's and Alzheimer's set except MDVR-KCL (37 speakers), from 0.11 [0.05, 0.18] on Pitt to 0.33 on PC-GITA.","The gap is widest on Parkinson's read-speech, narrower on Alzheimer's picture descriptions and reversed on depression."
149,149,sentence,added,0.494,0.05 0.60 0.76 0.81 0.90,"On Qwen3-Omni the encoder probe reaches 0.90 on PC-GITA and 0.81 on Pitt against zero-shot answers of 0.60 and 0.76, so its Alzheimer's gap is only 0.05.","On all 708 Pitt segments, middle third included, the encoder probe reaches 0.80 and the zero-shot answer 0.67."
149,149,sentence,added,0.506,0.53 0.84,"\par\parAcoustic, channel and age controls. The eGeMAPS baseline reads 0.53 to 0.84.","The encoder probe beats the eGeMAPS baseline on all seven datasets, by 0.06 on PC-GITA to 0.18 on ADReSSo."
149,149,sentence,added,0.475,0.01 0.15 0.27,"The encoder probe is above it on every set, by 0.01 on MDVR-KCL to 0.18 on ADReSSo, and on PC-GITA and NeuroVoz the baseline itself beats the zero-shot answer by 0.27 and 0.15.","The encoder probe beats the eGeMAPS baseline on all seven datasets, by 0.06 on PC-GITA to 0.18 on ADReSSo."
149,149,sentence,edited,0.765,0.67 0.80,"Five recording features from the quietest frames (noise floor, SNR, spectral centroid, roll-off and tilt) separate the NeuroVoz groups at 0.80 and the PC-GITA groups at 0.67, so part of the Parkinson's probe may come from the recording channel.","Recording features from the quietest frames separate the NeuroVoz groups at 0.87 by spectral centroid alone and PC-GITA at 0.69, so part of the Parkinson's probe may come from the recording channel."
149,149,sentence,added,0.341,-0.001 -0.02 -0.03 -0.061 -0.07 -0.12 0.56 0.57 0.60 0.83 0.89,"Normalising loudness and noise floor brings them to 0.56 on PC-GITA, where the encoder probe falls to 0.83 (-0.07 [-0.12, -0.02]) and the answer stays at 0.57, and only to 0.60 on NeuroVoz, where the probe falls to 0.89 (-0.03 [-0.061, -0.001]).","We repeat the comparison across six Audio LLMs that share this encoder, projector and LLM design, to establish whether the utility gap is common across architectures."
149,149,sentence,added,0.436,0.63 0.71 0.90 38 907,"On 38 age and sex matched NeuroVoz pairs (907 clips) the encoder probe reads 0.90 and the answer 0.63, although the recording features still separate that subset at 0.71.","On all 708 Pitt segments, middle third included, the encoder probe reaches 0.80 and the zero-shot answer 0.67."
149,149,sentence,edited,0.806,,"On the age-matched clips age alone falls to 0.39, while the encoder probe reaches 0.80 and the zero-shot answer 0.65.","On the age matched clips the age alone falls to 0.39, while the encoder probe, with its layer chosen inside the training folds, reaches 0.80 and the zero-shot answer 0.65."
149,149,sentence,added,0.506,,\par\parWhere the signal sits. The information also survives past the audio encoder.,We compare the information present in an Audio LLM's audio representations against the answers it generates.
149,149,sentence,edited,0.642,,"On the Pitt dataset the probe on the language model's states at the audio-token positions reaches 0.80, and a probe on the final-layer answer state 0.77.","The information also survives past the audio encoder as probing the language model's representations at the audio-token positions on Alzheimer's rises to 0.80, and the answer state itself achieves 0.77."
149,149,sentence,added,0.468,,The answer state holds more than the readout uses.,Age alone separates the Pitt groups at 0.71.
149,149,sentence,added,0.343,0.01 0.66 0.77,"Projected on the readout direction, the Yes output embedding minus the No output embedding, it separates the groups at 0.66, the level of the answer, while a probe on the same vector reads 0.77 and still reads 0.77 with that direction removed (the cosine between the two directions, 0.01, is at the level of two random directions).","On the age matched clips the age alone falls to 0.39, while the encoder probe, with its layer chosen inside the training folds, reaches 0.80 and the zero-shot answer 0.65."
149,149,sentence,added,0.444,0.62 0.77 0.81 0.82 0.83,"On Qwen2-Audio and Qwen3-Omni the readout direction gives 0.62 and 0.77 and the probe 0.82 and 0.83, and 0.81 and 0.83 with the direction removed.","Zero-shot, Qwen2.5-Omni stays between 0.56 and 0.71 on the Parkinson's and Alzheimer's sets, and only E-DAIC is higher (Table \reftab:main)."
149,149,sentence,added,0.393,-0.03 -0.09 -0.15 -0.16 -0.24 -0.32 0.60 0.74 0.84,"\par\parDepression reverses. On E-DAIC the language model probe reaches 0.74 and the encoder probe 0.60, both below the answer of 0.84 (-0.09 [-0.16, -0.03] and -0.24 [-0.32, -0.15]), while a probe on the answer state matches the answer (0.84).","The information also survives past the audio encoder as probing the language model's representations at the audio-token positions on Alzheimer's rises to 0.80, and the answer state itself achieves 0.77."
149,149,sentence,added,0.448,,"The reversal says that the words carry this task, not that the audio states are empty.","Where the words contradict the diagnosis, four of six models fall below chance."
156,160,sentence,edited,0.618,30,\begintable[t] \setlength\tabcolsep4pt \caption Zero-shot AUC on 30 s segments whose words conflict with the diagnosis and on segments whose words agree with it.,"\begintable[t] \setlength\tabcolsep4pt \caption AUC on segments where the words conflict with the diagnosis and on matched agreement segments from the same speakers, E-DAIC for depression and Pitt for Alzheimer's. \labeltab:conflict"
160,160,sentence,edited,0.696,138 311 483,"Depression, E-DAIC : 483 conflict segments paired with agreement segments of the same speakers (311 distinct), 138 speakers.",Each conflict segment is paired with an agreement segment from the same speaker.
160,160,sentence,added,0.435,100 146 175 322,"Alzheimer's, Pitt : unpaired arms of 146 and 322 segments from 100 and 175 speakers.",The model reads its Yes or No answer from that vector.
160,161,sentence,added,0.478,,Intervals per cell are in the release. \labeltab:conflict,The authors declare no conflict of interest.
179,180,sentence,added,0.440,,Table \reftab:conflict reports the conflict test defined in Section \refsec:setup.,"Hence, we add two conditions that allow a conflict between acoustics and language."
180,180,sentence,edited,0.735,,"A model attending to the voice should score similarly on both arms, whereas a model following the words should invert and fall below chance on the conflict arm.","A model attending to the paralinguistic speech should perform as it does on the matched agreement segments, whereas a model following the words should invert and fall below chance."
180,180,sentence,added,0.453,,"A model reading affect from prosody would also invert, and the transcript-only baseline below shows that the words alone suffice.","For the transcript only baseline, ``this recording'' is replaced with ``this transcript of what the person said''."
180,180,sentence,edited,0.675,,"No such test is possible for PD, since the words are fixed by the protocol.","No such test is possible for PD, since every speaker reads the same passage."
180,180,sentence,edited,0.803,,Speaker-level bootstrap intervals for the difference between the two arms exclude zero for all six models on depression and for the three Qwen models on Pitt.,Speaker-level bootstrap intervals for the difference between the two arms exclude zero for all six models.
180,180,sentence,added,0.365,0.15 0.22 0.95 0.96 86,"On the same pairs the transcript alone scores 0.15 on conflict and 0.96 on agreement for Qwen2.5-Omni and 0.22 and 0.95 for Qwen3-Omni, and for Qwen2.5-Omni the transcript decision matches the audio decision on 86 percent of clips.","For the transcript only baseline, ``this recording'' is replaced with ``this transcript of what the person said''."
180,180,sentence,added,0.482,0.56 0.71,"On the Pitt dataset the transcript alone shows the same arm gap as the audio (0.56 on conflict, 0.71 on agreement).","For AD the transcript alone matches the audio on the Pitt dataset, beats it on ADReSS-2020 and trails it on ADReSSo (Table \reftab:main)."
180,180,sentence,added,0.335,0.19 0.24 0.26 0.34 0.80 281 646,"The conflict arm stays below chance under the two other prompt wordings, at 0.34 and 0.24, and under sentiment thresholds of 0.60 and 0.80 (646 and 281 pairs), at 0.26 and 0.19.",On Qwen3-Omni they obtain AUC scores of 0.77 to 0.94 against 0.60 to 0.78.
180,180,sentence,added,0.449,0.18 10 15 237 4 8 924,"Replacing the severity gates of 15 and 4 with a PHQ-8 cut at 10 gives 924 pairs from 237 speakers, on which the conflict arm scores 0.18.",For layer \ell we mean-pool the hidden states over time and fit a logistic probe on speaker-disjoint folds and the AUC is calculated as follows.
180,180,sentence,added,0.368,0.39 0.42 0.46 0.51 1 2 334,"A second sentiment scorer (DistilBERT fine-tuned on SST-2) selects 1,334 pairs, on which the conflict arm scores 0.46 [0.42, 0.51], at chance rather than below it, and stays 0.39 below the agreement arm.","A participant with dementia scored as fluent, or a healthy control scored as impaired, is a conflict segment, and the reverse is an agreement segment."
180,180,sentence,added,0.417,0.20 0.62 420 855,The inversion holds on the 420 segments both scorers call conflicting (0.20) and not on the 855 the first scorer calls neutral (0.62).,This leaves 146 segments in conflict and 322 in agreement.
180,180,sentence,added,0.406,87 97,"It also answers Yes on 97 percent or more of the clips, and Qwen2-Audio on 87 percent or more, so their AUC reflects ranking rather than decisions.","\item We compare what an Audio LLM encodes against what it answers on seven clinical datasets, and test six Audio LLMs on the conflict sets to test whether the paralinguistic signal is utilized."
180,180,sentence,edited,0.690,0.17 0.53 0.61,"On the Pitt dataset the three Qwen models drop by 0.17 to 0.29 from the agreement to the conflict arm but none falls significantly below chance, Kimi-Audio shows no drop, and the two Audio Flamingo models score 0.53 to 0.61 on both arms (Table \reftab:conflict).","On the Pitt conflict segments the three Qwen models drop by 0.18 to 0.29 against their agreement segments, Kimi-Audio holds, and both Audio Flamingo models sit near chance on both sets (Table \reftab:conflict)."
180,180,sentence,added,0.386,-0.01 -0.04 0.02,"Asking Qwen2.5-Omni to judge the voice alone moves its Pitt answer by -0.01 [-0.04, 0.02].","Zero-shot, Qwen2.5-Omni stays between 0.56 and 0.71 on the Parkinson's and Alzheimer's sets, and only E-DAIC is higher (Table \reftab:main)."
223,225,sentence,edited,0.846,,\subsectionSupervised Fine-tuning\labelsec:ft,\subsectionSupervised Fine-tuning
225,226,sentence,edited,0.849,,"To narrow the gap, we retrain the projector between the audio encoder and the language model so that paralinguistic information becomes more salient to the language model.","Hence, we retrain the projector between the audio encoder and the language model to make paralinguistic information more salient to the LLM."
226,226,sentence,edited,0.893,,"After fine-tuning the projector, AUC improves significantly on every dataset except MDVR-KCL, which has 37 speakers, and E-DAIC, which does not move (Table \reftab:main).","After fine-tuning the projector, AUC improves on every dataset except MDVR-KCL, which has 37 speakers, and E-DAIC, where it drops (Table \reftab:main)."
