id	family	role	draws	draws_sha256	usable_draws	degenerate_draws	draws_source	per_clip	draws_mean	npz_keys
R_edaic_af2	ARMS	claimed	scores/part25/B/draws/B_R_edaic_af2_draws.npz	00ac69027de83c94076a765fe0583734d24f5d2b31c5a1243e8796ed7668b2bd	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_R_edaic_af2_perclip.csv	-0.10264115419726379	diff terms speaker_idx speakers point_diff point_terms
R_edaic_af3	ARMS	claimed	scores/part25/B/draws/B_R_edaic_af3_draws.npz	a943b56a00e2415fd89a828af613a41cfced97c6e76745cbbfa4f08f47a45871	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_R_edaic_af3_perclip.csv	-0.41839228154202773	diff terms speaker_idx speakers point_diff point_terms
R_edaic_kimi	ARMS	claimed	scores/part25/B/draws/B_R_edaic_kimi_draws.npz	819518ac366d1a9fc929a463f631185aa9edffed747afb0b3e08ba3798b20583	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_R_edaic_kimi_perclip.csv	-0.36846757606448644	diff terms speaker_idx speakers point_diff point_terms
R_pitt_q2a	ARMS	claimed	scores/part25/B/draws/B_R_pitt_q2a_draws.npz	6c7de3ac983863daf65b9ddaaf063667f07c302cf83abe7d4258109ae9e0797e	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_R_pitt_q2a_perclip.csv	-0.2795017447204109	diff terms speaker_idx speakers point_diff point_terms
R_pitt_o25	ARMS	claimed	scores/part25/B/draws/B_R_pitt_o25_draws.npz	c0363fcf9854cd36044513b2de4eadfbf4311dc73b9fedf50bf0989c2101b15a	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_R_pitt_o25_perclip.csv	-0.1703620760082338	diff terms speaker_idx speakers point_diff point_terms
R_pitt_q3o	ARMS	claimed	scores/part25/B/draws/B_R_pitt_q3o_draws.npz	66dd01d481d4fb23d88d9024629067008a1b53214d95f384e4179df9dc486ba0	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_R_pitt_q3o_perclip.csv	-0.21481638752379575	diff terms speaker_idx speakers point_diff point_terms
Rs_pitt_af2	ARMS	sensitivity only	scores/part25/B/draws/B_Rs_pitt_af2_draws.npz	04f6119fea5bd775b6e58f1f3b80b048a052cb451f8384162e5a9c5de88cd611	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_Rs_pitt_af2_perclip.csv	0.05159210526589678	diff terms speaker_idx speakers point_diff point_terms
Rs_pitt_af3	ARMS	sensitivity only	scores/part25/B/draws/B_Rs_pitt_af3_draws.npz	f1367ab3529060da24fc62846a0e1f22c02f752bf09850e514c7e8a429806476	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_Rs_pitt_af3_perclip.csv	0.02504142792038376	diff terms speaker_idx speakers point_diff point_terms
Rs_pitt_kimi	ARMS	sensitivity only	scores/part25/B/draws/B_Rs_pitt_kimi_draws.npz	e8ba71f1e6d509d6a31f37f08d9772815eb7444bede7f4cfea86bfda6d33d363	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_Rs_pitt_kimi_perclip.csv	-0.0038543391834275627	diff terms speaker_idx speakers point_diff point_terms
F_pcgita	FINE TUNE	claimed	scores/part25/B/draws/B_F_pcgita_draws.npz	9c7ec2406a119fb80e2efeb7650ab242be1b8035ab918bbd2070aebce37b177d	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_F_pcgita_perclip.csv	0.32260016627479	diff terms speaker_idx speakers point_diff point_terms
F_neurovoz	FINE TUNE	claimed	scores/part25/B/draws/B_F_neurovoz_draws.npz	88733c8871b58941a79a20add68316b9828084c54ce39c244c377c591baa33e2	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_F_neurovoz_perclip.csv	0.2084970392420956	diff terms speaker_idx speakers point_diff point_terms
F_pitt	FINE TUNE	claimed	scores/part25/B/draws/B_F_pitt_draws.npz	f802d0f5d90d490a62fa1b76db4a23a9da7a517655978232080ebfea84566fb2	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_F_pitt_perclip.csv	0.1093546661073259	diff terms speaker_idx speakers point_diff point_terms
F_adresso	FINE TUNE	claimed	scores/part25/B/draws/B_F_adresso_draws.npz	0c3df911eac45ac60ac2b6d19b89bf1ff4a38198fa83f50813150c58a935437c	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_F_adresso_perclip.csv	0.20830157886197975	diff terms speaker_idx speakers point_diff point_terms
F_adress2020	FINE TUNE	claimed	scores/part25/B/draws/B_F_adress2020_draws.npz	06329d333456b956de622a2f20f059905d38bf97b70310b95c2d7c72f9e23f30	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_F_adress2020_perclip.csv	0.14254255879987848	diff terms speaker_idx speakers point_diff point_terms
Fs_kcl	FINE TUNE	sensitivity only	scores/part25/B/draws/B_Fs_kcl_draws.npz	0d9d85e83de4d6dcd669d7c73b30060badb7d09eb9537280be2d627cd21ea05f	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_Fs_kcl_perclip.csv	-0.017271105271566136	diff terms speaker_idx speakers point_diff point_terms
Fs_edaic_seed0	FINE TUNE	sensitivity only	scores/part25/B/draws/B_Fs_edaic_seed0_draws.npz	66b3ac8448983909ed307ff915fc451a2288ac2045fee3093433f19ceec5fbc6	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_Fs_edaic_seed0_perclip.csv	0.022678006463460007	diff terms speaker_idx speakers point_diff point_terms
F_lora_minus_projector	FINE TUNE	claimed	scores/part25/B/draws/B_F_lora_minus_projector_draws.npz	dad6936662f33e14ac67339133e90f37e2422488eb1af67951e4f6c6bdb0414e	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_F_lora_minus_projector_perclip.csv	0.05781306431325862	diff terms speaker_idx speakers point_diff point_terms
C_pg_probe_drop	CONTROLS	claimed	scores/part25/B/draws/B_C_pg_probe_drop_draws.npz	fa36101b648f16ae634b482d2555dcfcf7e9d345c3a8d8dbc4707dda4a72fe05	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_C_pg_probe_drop_perclip.csv	-0.06597627623601414	diff terms speaker_idx speakers point_diff point_terms
C_nv_probe_drop	CONTROLS	claimed	scores/part25/B/draws/B_C_nv_probe_drop_draws.npz	5ea6ee4968023cfecb3f1744a598abc073f6389c8d6a2203d32a8d46f2036dbc	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_C_nv_probe_drop_perclip.csv	-0.03049900366449306	diff terms speaker_idx speakers point_diff point_terms
Cs_pg_answer	CONTROLS	sensitivity only	scores/part25/B/draws/B_Cs_pg_answer_draws.npz	97b965ebb78f03b1d61fca005c9dd6b47be6900cf17e6a93d492879d40b69d35	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_Cs_pg_answer_perclip.csv	-0.005566378466753408	diff terms speaker_idx speakers point_diff point_terms
X_edaic_conf_q2a	EXTRA CHANCE	claimed	scores/part25/B/draws/B_X_edaic_conf_q2a_draws.npz	fcd96bae9da3cf5e60b5fa5648905ce0a2ecea2524e82773950afee618331b6a	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_X_edaic_conf_q2a_perclip.csv	-0.2726842743541006	diff terms speaker_idx speakers point_diff point_terms
X_edaic_conf_o25	EXTRA CHANCE	claimed	scores/part25/B/draws/B_X_edaic_conf_o25_draws.npz	c5b924098506202730f53fd59879d62c59b567b379cb496975f7bb1682b7f4c6	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_X_edaic_conf_o25_perclip.csv	-0.27809201447163123	diff terms speaker_idx speakers point_diff point_terms
X_edaic_conf_q3o	EXTRA CHANCE	claimed	scores/part25/B/draws/B_X_edaic_conf_q3o_draws.npz	1de39b58ed0b07f7e1bbdbe44865f120c6aa798f096da94c457755ff65df69da	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_X_edaic_conf_q3o_perclip.csv	-0.1990166895709532	diff terms speaker_idx speakers point_diff point_terms
X_edaic_conf_af2	EXTRA CHANCE	sensitivity only	scores/part25/B/draws/B_X_edaic_conf_af2_draws.npz	cfe0ee771501602c816b188ccbf27d5233df1c97d046a3ae37463ba613b9ca23	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_X_edaic_conf_af2_perclip.csv	0.026524103049530883	diff terms speaker_idx speakers point_diff point_terms
X_edaic_conf_af3	EXTRA CHANCE	claimed	scores/part25/B/draws/B_X_edaic_conf_af3_draws.npz	e3631348eafb381f69e5b0f0961dd6256ea73228e4498bc9437d78ae27485728	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_X_edaic_conf_af3_perclip.csv	-0.07596894020864044	diff terms speaker_idx speakers point_diff point_terms
X_edaic_conf_kimi	EXTRA CHANCE	sensitivity only	scores/part25/B/draws/B_X_edaic_conf_kimi_draws.npz	e892c728d7fd449b33c3ceafb53e06aaaad057f49dffdd94f378a6c225b80259	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_X_edaic_conf_kimi_perclip.csv	0.024678788326381124	diff terms speaker_idx speakers point_diff point_terms
X_pitt_conf_q2a	EXTRA CHANCE	check only	scores/part25/B/draws/B_X_pitt_conf_q2a_draws.npz	ad79946d53ad8668106865774f01eb0264ea90c27f1f9e19d4f933d2bd3642b7	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_X_pitt_conf_q2a_perclip.csv	-0.0848372292367946	diff terms speaker_idx speakers point_diff point_terms
X_pitt_conf_o25	EXTRA CHANCE	check only	scores/part25/B/draws/B_X_pitt_conf_o25_draws.npz	19510b3e8b11ce186a72c416b1ddbdbf2f342e54f39b1cf37ab7dfecd1f33efe	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_X_pitt_conf_o25_perclip.csv	0.033698681558100116	diff terms speaker_idx speakers point_diff point_terms
X_pitt_conf_q3o	EXTRA CHANCE	check only	scores/part25/B/draws/B_X_pitt_conf_q3o_draws.npz	3e4814f32ec083a57bfb16af7664228b634a59a0c5fc1c0437f1d3b9a54b8adf	2000	0	regenerated here from the per-clip file	scores/part25/B/per_clip/B_X_pitt_conf_q3o_perclip.csv	0.10650877712711071	diff terms speaker_idx speakers point_diff point_terms
