id	what	value	lo	hi	n	n_spk	file	two_dp	vs_half
P20.POD6.B.nvfull.zeroshot_recomputed	NeuroVoz full 1270 Qwen2.5-Omni zero-shot answer AUC recomputed (paper 0.6951)	0.6951	0.6356	0.7519	1270	107	<local data dir>/release/omni_final/omni_neurovoz_zeroshot_scores.csv	0.70 [0.64, 0.75]	above 0.5
P20.POD6.B.nvmatched.chan.noise_floor.raw	NeuroVoz matched subset channel feature noise_floor alone, raw AUC (full-set paper raw 0.459)	0.4640	0.3873	0.5423	907	76	scores/part20/POD6/B_neurovoz_matched/B_channel5_nvmatched.csv	0.46 [0.39, 0.54]	interval includes 0.5
P20.POD6.B.nvmatched.chan.noise_floor.dirfree	NeuroVoz matched subset channel feature noise_floor alone, direction-free max(AUC,1-AUC) (full-set paper 0.541)	0.5360	0.4577	0.6127	907	76	scores/part20/POD6/B_neurovoz_matched/B_channel5_nvmatched.csv	0.54 [0.46, 0.61]	interval includes 0.5
P20.POD6.B.nvmatched.chan.snr.raw	NeuroVoz matched subset channel feature snr alone, raw AUC (full-set paper raw 0.4568)	0.4294	0.3413	0.5181	907	76	scores/part20/POD6/B_neurovoz_matched/B_channel5_nvmatched.csv	0.43 [0.34, 0.52]	interval includes 0.5
P20.POD6.B.nvmatched.chan.snr.dirfree	NeuroVoz matched subset channel feature snr alone, direction-free max(AUC,1-AUC) (full-set paper 0.5432)	0.5706	0.4819	0.6587	907	76	scores/part20/POD6/B_neurovoz_matched/B_channel5_nvmatched.csv	0.57 [0.48, 0.66]	interval includes 0.5
P20.POD6.B.nvmatched.chan.centroid.raw	NeuroVoz matched subset channel feature centroid alone, raw AUC (full-set paper raw 0.2218)	0.2739	0.1946	0.3574	907	76	scores/part20/POD6/B_neurovoz_matched/B_channel5_nvmatched.csv	0.27 [0.19, 0.36]	below 0.5
P20.POD6.B.nvmatched.chan.centroid.dirfree	NeuroVoz matched subset channel feature centroid alone, direction-free max(AUC,1-AUC) (full-set paper 0.7782)	0.7261	0.6426	0.8054	907	76	scores/part20/POD6/B_neurovoz_matched/B_channel5_nvmatched.csv	0.73 [0.64, 0.81]	above 0.5
P20.POD6.B.nvmatched.chan.rolloff.raw	NeuroVoz matched subset channel feature rolloff alone, raw AUC (full-set paper raw 0.1995)	0.2550	0.1819	0.3382	907	76	scores/part20/POD6/B_neurovoz_matched/B_channel5_nvmatched.csv	0.26 [0.18, 0.34]	below 0.5
P20.POD6.B.nvmatched.chan.rolloff.dirfree	NeuroVoz matched subset channel feature rolloff alone, direction-free max(AUC,1-AUC) (full-set paper 0.8005)	0.7450	0.6618	0.8181	907	76	scores/part20/POD6/B_neurovoz_matched/B_channel5_nvmatched.csv	0.74 [0.66, 0.82]	above 0.5
P20.POD6.B.nvmatched.chan.tilt.raw	NeuroVoz matched subset channel feature tilt alone, raw AUC (full-set paper raw 0.298)	0.3363	0.2716	0.4039	907	76	scores/part20/POD6/B_neurovoz_matched/B_channel5_nvmatched.csv	0.34 [0.27, 0.40]	below 0.5
P20.POD6.B.nvmatched.chan.tilt.dirfree	NeuroVoz matched subset channel feature tilt alone, direction-free max(AUC,1-AUC) (full-set paper 0.702)	0.6637	0.5961	0.7284	907	76	scores/part20/POD6/B_neurovoz_matched/B_channel5_nvmatched.csv	0.66 [0.60, 0.73]	above 0.5
P20.POD6.B.nvmatched.chan.five	NeuroVoz matched subset five channel features together, out of fold (full-set paper 0.7977)	0.7112	0.6079	0.7961	907	76	scores/part20/POD6/B_neurovoz_matched/B_channel5_nvmatched.csv	0.71 [0.61, 0.80]	above 0.5
P20.POD6.C.collected.M8.Qwen2.5-Omni.primary.conflict	COLLECTED not rerun: Pitt Qwen2.5-Omni zero-shot answer AUC conflict (primary)	0.5322	0.4216	0.6447	146	100	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv	0.53 [0.42, 0.64]	interval includes 0.5
P20.POD6.C.collected.M8.Qwen2.5-Omni.primary.agreement	COLLECTED not rerun: Pitt Qwen2.5-Omni zero-shot answer AUC agreement (primary)	0.7054	0.6431	0.7658	322	175	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv	0.71 [0.64, 0.77]	above 0.5
P20.POD6.C.collected.M8.Qwen2.5-Omni.primary.conflict_minus_agreement	COLLECTED not rerun: Pitt Qwen2.5-Omni zero-shot answer AUC conflict_minus_agreement (primary)	-0.1731	-0.2958	-0.0392	468	228	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv	-0.17 [-0.30, -0.04]	interval excludes zero
P20.POD6.C.collected.M8.Qwen2-Audio.primary.conflict	COLLECTED not rerun: Pitt Qwen2-Audio zero-shot answer AUC conflict (primary)	0.4132	0.3005	0.5423	146	100	<local data dir>/paper1_local_runs/probe2/pitt_zeroshot_scores.csv	0.41 [0.30, 0.54]	interval includes 0.5
P20.POD6.C.collected.M8.Qwen2-Audio.primary.agreement	COLLECTED not rerun: Pitt Qwen2-Audio zero-shot answer AUC agreement (primary)	0.6985	0.6372	0.7597	322	175	<local data dir>/paper1_local_runs/probe2/pitt_zeroshot_scores.csv	0.70 [0.64, 0.76]	above 0.5
P20.POD6.C.collected.M8.Qwen2-Audio.primary.conflict_minus_agreement	COLLECTED not rerun: Pitt Qwen2-Audio zero-shot answer AUC conflict_minus_agreement (primary)	-0.2853	-0.3950	-0.1485	468	228	<local data dir>/paper1_local_runs/probe2/pitt_zeroshot_scores.csv	-0.29 [-0.40, -0.15]	interval excludes zero
P20.POD6.C.collected.M8.Qwen3-Omni-30B-A3B.primary.conflict	COLLECTED not rerun: Pitt Qwen3-Omni-30B-A3B zero-shot answer AUC conflict (primary)	0.6066	0.4956	0.7123	146	100	<local data dir>/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv	0.61 [0.50, 0.71]	interval includes 0.5
P20.POD6.C.collected.M8.Qwen3-Omni-30B-A3B.primary.agreement	COLLECTED not rerun: Pitt Qwen3-Omni-30B-A3B zero-shot answer AUC agreement (primary)	0.8231	0.7664	0.8720	322	175	<local data dir>/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv	0.82 [0.77, 0.87]	above 0.5
P20.POD6.C.collected.M8.Qwen3-Omni-30B-A3B.primary.conflict_minus_agreement	COLLECTED not rerun: Pitt Qwen3-Omni-30B-A3B zero-shot answer AUC conflict_minus_agreement (primary)	-0.2165	-0.3242	-0.1052	468	228	<local data dir>/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv	-0.22 [-0.32, -0.11]	interval excludes zero
P20.POD6.C.collected.M8.Audio_Flamingo_2.af2_pitt468.conflict	COLLECTED not rerun: Pitt Audio Flamingo 2 zero-shot answer AUC conflict (af2_pitt468)	0.6310	0.5336	0.7260	146	100	<local data dir>/paper1_local_runs/af2_results/af2_pitt468.csv	0.63 [0.53, 0.73]	above 0.5
P20.POD6.C.collected.M8.Audio_Flamingo_2.af2_pitt468.agreement	COLLECTED not rerun: Pitt Audio Flamingo 2 zero-shot answer AUC agreement (af2_pitt468)	0.5544	0.4760	0.6296	322	175	<local data dir>/paper1_local_runs/af2_results/af2_pitt468.csv	0.55 [0.48, 0.63]	interval includes 0.5
P20.POD6.C.collected.M8.Audio_Flamingo_2.af2_pitt468.conflict_minus_agreement	COLLECTED not rerun: Pitt Audio Flamingo 2 zero-shot answer AUC conflict_minus_agreement (af2_pitt468)	0.0766	-0.0307	0.1869	468	228	<local data dir>/paper1_local_runs/af2_results/af2_pitt468.csv	0.08 [-0.03, 0.19]	interval includes zero
P20.POD6.C.collected.M8.Audio_Flamingo_2.af2_pitt_audio.conflict	COLLECTED not rerun: Pitt Audio Flamingo 2 zero-shot answer AUC conflict (af2_pitt_audio)	0.6691	0.5650	0.7654	146	100	<local data dir>/paper1_local_runs/af2_pitt_audio.csv	0.67 [0.56, 0.77]	above 0.5
P20.POD6.C.collected.M8.Audio_Flamingo_2.af2_pitt_audio.agreement	COLLECTED not rerun: Pitt Audio Flamingo 2 zero-shot answer AUC agreement (af2_pitt_audio)	0.4895	0.4182	0.5591	322	175	<local data dir>/paper1_local_runs/af2_pitt_audio.csv	0.49 [0.42, 0.56]	interval includes 0.5
P20.POD6.C.collected.M8.Audio_Flamingo_2.af2_pitt_audio.conflict_minus_agreement	COLLECTED not rerun: Pitt Audio Flamingo 2 zero-shot answer AUC conflict_minus_agreement (af2_pitt_audio)	0.1796	0.0702	0.2825	468	228	<local data dir>/paper1_local_runs/af2_pitt_audio.csv	0.18 [0.07, 0.28]	interval excludes zero
P20.POD6.C.collected.M8.Audio_Flamingo_3.primary.conflict	COLLECTED not rerun: Pitt Audio Flamingo 3 zero-shot answer AUC conflict (primary)	0.6169	0.5188	0.7209	146	100	<local data dir>/release/overnight2/part3/af3_pitt.csv	0.62 [0.52, 0.72]	above 0.5
P20.POD6.C.collected.M8.Audio_Flamingo_3.primary.agreement	COLLECTED not rerun: Pitt Audio Flamingo 3 zero-shot answer AUC agreement (primary)	0.5822	0.5080	0.6528	322	175	<local data dir>/release/overnight2/part3/af3_pitt.csv	0.58 [0.51, 0.65]	above 0.5
P20.POD6.C.collected.M8.Audio_Flamingo_3.primary.conflict_minus_agreement	COLLECTED not rerun: Pitt Audio Flamingo 3 zero-shot answer AUC conflict_minus_agreement (primary)	0.0347	-0.0698	0.1474	468	228	<local data dir>/release/overnight2/part3/af3_pitt.csv	0.03 [-0.07, 0.15]	interval includes zero
P20.POD6.C.collected.M8.Kimi-Audio.primary.conflict	COLLECTED not rerun: Pitt Kimi-Audio zero-shot answer AUC conflict (primary)	0.7197	0.6201	0.8147	146	100	<local data dir>/release/overnight2/part3/kimi_pitt_zeroshot_scores.csv	0.72 [0.62, 0.81]	above 0.5
P20.POD6.C.collected.M8.Kimi-Audio.primary.agreement	COLLECTED not rerun: Pitt Kimi-Audio zero-shot answer AUC agreement (primary)	0.7227	0.6560	0.7896	322	175	<local data dir>/release/overnight2/part3/kimi_pitt_zeroshot_scores.csv	0.72 [0.66, 0.79]	above 0.5
P20.POD6.C.collected.M8.Kimi-Audio.primary.conflict_minus_agreement	COLLECTED not rerun: Pitt Kimi-Audio zero-shot answer AUC conflict_minus_agreement (primary)	-0.0030	-0.1134	0.1065	468	228	<local data dir>/release/overnight2/part3/kimi_pitt_zeroshot_scores.csv	-0.00 [-0.11, 0.11]	interval includes zero
P20.POD6.C.collected.M8.Kimi-Audio.alt_overnight_copy.conflict	COLLECTED not rerun: Pitt Kimi-Audio zero-shot answer AUC conflict (alt_overnight_copy)	0.7078	0.6037	0.8083	146	100	<local data dir>/release/overnight/kimi/kimi_pitt_zeroshot_scores.csv	0.71 [0.60, 0.81]	above 0.5
P20.POD6.C.collected.M8.Kimi-Audio.alt_overnight_copy.agreement	COLLECTED not rerun: Pitt Kimi-Audio zero-shot answer AUC agreement (alt_overnight_copy)	0.7014	0.6309	0.7730	322	175	<local data dir>/release/overnight/kimi/kimi_pitt_zeroshot_scores.csv	0.70 [0.63, 0.77]	above 0.5
P20.POD6.C.collected.M8.Kimi-Audio.alt_overnight_copy.conflict_minus_agreement	COLLECTED not rerun: Pitt Kimi-Audio zero-shot answer AUC conflict_minus_agreement (alt_overnight_copy)	0.0064	-0.1140	0.1224	468	228	<local data dir>/release/overnight/kimi/kimi_pitt_zeroshot_scores.csv	0.01 [-0.11, 0.12]	interval includes zero
P20.POD6.C.collected.T6_s20_text_all468	COLLECTED not rerun: Pitt Qwen2.5-Omni transcript-only answer AUC, all 468 (Sep 20 run)	0.6629	0.5983	0.7245	468	228	<local data dir>/release/overnight2/text_new/o25_pitt_text.csv	0.66 [0.60, 0.72]	above 0.5
P20.POD6.C.collected.T6_s20_text_conflict	COLLECTED not rerun: Pitt Qwen2.5-Omni transcript-only answer AUC, conflict arm (Sep 20 run)	0.5560	0.4516	0.6680	146	100	<local data dir>/release/overnight2/text_new/o25_pitt_text.csv	0.56 [0.45, 0.67]	interval includes 0.5
P20.POD6.C.collected.T6_s20_text_agreement	COLLECTED not rerun: Pitt Qwen2.5-Omni transcript-only answer AUC, agreement arm (Sep 20 run)	0.7078	0.6381	0.7696	322	175	<local data dir>/release/overnight2/text_new/o25_pitt_text.csv	0.71 [0.64, 0.77]	above 0.5
P20.POD6.C.collected.T6_s20_text_conflict_minus_agreement	COLLECTED not rerun: Pitt Qwen2.5-Omni transcript-only PAIRED conflict minus agreement AUC (Sep 20 run)	-0.1518	-0.2665	-0.0271	468	228	<local data dir>/release/overnight2/text_new/o25_pitt_text.csv	-0.15 [-0.27, -0.03]	interval excludes zero
P20.POD6.C.collected.T6_s15_text_all468	COLLECTED not rerun: Pitt Qwen2.5-Omni transcript-only answer AUC, all 468 (Sep 15 run)	0.6975	0.6369	0.7549	468	228	<local data dir>/paper work/paper1_local_runs/omni_pitt_text.csv	0.70 [0.64, 0.75]	above 0.5
P20.POD6.C.collected.T6_s15_text_conflict	COLLECTED not rerun: Pitt Qwen2.5-Omni transcript-only answer AUC, conflict arm (Sep 15 run)	0.4550	0.3412	0.5718	146	100	<local data dir>/paper work/paper1_local_runs/omni_pitt_text.csv	0.46 [0.34, 0.57]	interval includes 0.5
P20.POD6.C.collected.T6_s15_text_agreement	COLLECTED not rerun: Pitt Qwen2.5-Omni transcript-only answer AUC, agreement arm (Sep 15 run)	0.7987	0.7392	0.8535	322	175	<local data dir>/paper work/paper1_local_runs/omni_pitt_text.csv	0.80 [0.74, 0.85]	above 0.5
P20.POD6.C.collected.T6_s15_text_conflict_minus_agreement	COLLECTED not rerun: Pitt Qwen2.5-Omni transcript-only PAIRED conflict minus agreement AUC (Sep 15 run)	-0.3437	-0.4556	-0.2209	468	228	<local data dir>/paper work/paper1_local_runs/omni_pitt_text.csv	-0.34 [-0.46, -0.22]	interval excludes zero
P20.POD6.C.collected.T6_audio_all468	COLLECTED not rerun: Pitt Qwen2.5-Omni audio zero-shot answer AUC, all 468	0.6578	0.6033	0.7125	468	228	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv	0.66 [0.60, 0.71]	above 0.5
P20.POD6.C.collected.T6_audio_conflict	COLLECTED not rerun: Pitt Qwen2.5-Omni audio zero-shot answer AUC, conflict arm	0.5322	0.4216	0.6447	146	100	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv	0.53 [0.42, 0.64]	interval includes 0.5
P20.POD6.C.collected.T6_audio_agreement	COLLECTED not rerun: Pitt Qwen2.5-Omni audio zero-shot answer AUC, agreement arm	0.7054	0.6431	0.7658	322	175	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv	0.71 [0.64, 0.77]	above 0.5
P20.POD6.C.collected.T6_audio_conflict_minus_agreement	COLLECTED not rerun: Pitt Qwen2.5-Omni audio zero-shot PAIRED conflict minus agreement AUC	-0.1731	-0.2958	-0.0392	468	228	<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv	-0.17 [-0.30, -0.04]	interval excludes zero
P20.POD6.C.collected.T6_s20_text_minus_audio_all468	COLLECTED not rerun: PAIRED transcript (Sep 20 run) minus audio AUC, all 468	0.0051	-0.0657	0.0694	468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv	0.01 [-0.07, 0.07]	interval includes zero
P20.POD6.C.collected.T6_s20_text_minus_audio_conflict	COLLECTED not rerun: PAIRED transcript (Sep 20 run) minus audio AUC, conflict arm	0.0238	-0.1147	0.1577	146	100	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv	0.02 [-0.11, 0.16]	interval includes zero
P20.POD6.C.collected.T6_s20_text_minus_audio_agreement	COLLECTED not rerun: PAIRED transcript (Sep 20 run) minus audio AUC, agreement arm	0.0024	-0.0824	0.0779	322	175	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv	0.00 [-0.08, 0.08]	interval includes zero
P20.POD6.C.collected.T6_s20_gap_text_minus_gap_audio	COLLECTED not rerun: PAIRED (transcript Sep 20 run arm gap) minus (audio arm gap), gap = conflict minus agreement	0.0214	-0.1413	0.1806	468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv	0.02 [-0.14, 0.18]	interval includes zero
P20.POD6.C.collected.T6_s15_text_minus_audio_all468	COLLECTED not rerun: PAIRED transcript (Sep 15 run) minus audio AUC, all 468	0.0397	-0.0302	0.1070	468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv	0.04 [-0.03, 0.11]	interval includes zero
P20.POD6.C.collected.T6_s15_text_minus_audio_conflict	COLLECTED not rerun: PAIRED transcript (Sep 15 run) minus audio AUC, conflict arm	-0.0772	-0.2360	0.0680	146	100	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv	-0.08 [-0.24, 0.07]	interval includes zero
P20.POD6.C.collected.T6_s15_text_minus_audio_agreement	COLLECTED not rerun: PAIRED transcript (Sep 15 run) minus audio AUC, agreement arm	0.0933	0.0157	0.1637	322	175	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv	0.09 [0.02, 0.16]	interval excludes zero
P20.POD6.C.collected.T6_s15_gap_text_minus_gap_audio	COLLECTED not rerun: PAIRED (transcript Sep 15 run arm gap) minus (audio arm gap), gap = conflict minus agreement	-0.1705	-0.3440	-0.0049	468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv	-0.17 [-0.34, -0.00]	interval excludes zero
P20.POD6.C.collected.T6_s20_minus_s15_all468	COLLECTED not rerun: PAIRED Sep 20 minus Sep 15 transcript AUC, all 468	-0.0346	-0.0757	0.0003	468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv	-0.03 [-0.08, 0.00]	interval includes zero
P20.POD6.C.collected.T6_s20_minus_s15_conflict	COLLECTED not rerun: PAIRED Sep 20 minus Sep 15 transcript AUC, conflict arm	0.1010	0.0270	0.1766	146	100	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv	0.10 [0.03, 0.18]	interval excludes zero
P20.POD6.C.collected.T6_s20_minus_s15_agreement	COLLECTED not rerun: PAIRED Sep 20 minus Sep 15 transcript AUC, agreement arm	-0.0909	-0.1345	-0.0518	322	175	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv	-0.09 [-0.13, -0.05]	interval excludes zero
P20.POD6.C.collected.T6_s20_minus_s15_armgap	COLLECTED not rerun: PAIRED Sep 20 arm gap minus Sep 15 arm gap (transcript)	0.1919	0.1104	0.2800	468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv	0.19 [0.11, 0.28]	interval excludes zero
P20.POD6.C.collected.T6_perclip_pearson_s20_s15	COLLECTED not rerun: Per-clip p_yes Pearson r, Sep 20 vs Sep 15 transcript run	0.7640			468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv	0.76	no interval
P20.POD6.C.collected.T6_perclip_spearman_s20_s15	COLLECTED not rerun: Per-clip p_yes Spearman rho, Sep 20 vs Sep 15 transcript run	0.7876			468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv	0.79	no interval
P20.POD6.C.collected.T6_perclip_maxabsdiff_s20_s15	COLLECTED not rerun: Per-clip p_yes max abs diff, Sep 20 vs Sep 15 transcript run	0.6147			468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv	0.61	no interval
P20.POD6.C.collected.T6_perclip_meanabsdiff_s20_s15	COLLECTED not rerun: Per-clip p_yes mean abs diff, Sep 20 vs Sep 15 transcript run	0.3019			468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv	0.30	no interval
P20.POD6.C.collected.T6_armgap_ratio_s20	COLLECTED not rerun: Point ratio transcript arm gap / audio arm gap, Sep 20 run	0.8765			468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv	0.88	no interval
P20.POD6.C.collected.T6_armgap_ratio_s15	COLLECTED not rerun: Point ratio transcript arm gap / audio arm gap, Sep 15 run	1.9848			468	228	<local data dir>/release/edaic_rerun/part17/T6_pitt_text_sep20_arms.csv	1.98	no interval
P20.POD6.B.nvmatched.encprobe.mean5	NeuroVoz matched subset Qwen2.5-Omni encoder nested probe, mean of five repeats (full-set paper 0.9213)	0.8986	0.8430	0.9428	907	76	scores/part20/POD6/B_neurovoz_matched/B_encprobe_nested5_nvmatched_oof.csv	0.90 [0.84, 0.94]	above 0.5
P20.POD6.B.nvmatched.encprobe.single	NeuroVoz matched subset Qwen2.5-Omni encoder nested probe, single split (full-set paper 0.9160)	0.8951	0.8359	0.9427	907	76	scores/part20/POD6/B_neurovoz_matched/B_encprobe_nested5_nvmatched_oof.csv	0.90 [0.84, 0.94]	above 0.5
P20.POD6.B.nvcomplement.zeroshot	NeuroVoz 363 clips OUTSIDE the matched subset, Qwen2.5-Omni zero-shot answer AUC (paper file; context)	0.8462	0.7645	0.9144	363	31	scores/part20/POD6/B_neurovoz_matched/B_zeroshot_nv_complement363.csv	0.85 [0.76, 0.91]	above 0.5
P20.POD6.B.nvfull_samepod.encprobe.mean5	NeuroVoz FULL 1270 Qwen2.5-Omni encoder nested probe mean of five, same pod as subset (paper 0.9213)	0.9218	0.8841	0.9525	1270	107	scores/part20/POD6/B_neurovoz_full_check/B_encprobe_nested5_nvfull_samepod_oof.csv	0.92 [0.88, 0.95]	above 0.5
P20.POD6.B.nvfull_samepod.encprobe.single	NeuroVoz FULL 1270 Qwen2.5-Omni encoder nested probe single split, same pod as subset (paper 0.9160)	0.9166	0.8722	0.9516	1270	107	scores/part20/POD6/B_neurovoz_full_check/B_encprobe_nested5_nvfull_samepod_oof.csv	0.92 [0.87, 0.95]	above 0.5
