name,estimator,auc,ci_lo,ci_hi,n,n_speakers,boot_unit,draws,source,note
Qwen2.5-Omni E-DAIC mid30 zero shot,zero shot answer,0.7205,0.6531,0.7917,275,275,speaker,2000,edaic_rerun/variants/o25_mid30_zeroshot_scores.csv,PART10a rerun; degenerate draws 0
Qwen2-Audio E-DAIC mid30 zero shot,zero shot answer,0.6891,0.6130,0.7647,275,275,speaker,2000,edaic_rerun/variants/q2a_mid30_zeroshot_scores.csv,PART10a rerun; degenerate draws 0
Qwen3-Omni-30B-A3B E-DAIC mid30 zero shot,zero shot answer,0.7153,0.6405,0.7899,275,275,speaker,2000,edaic_rerun/variants/q3o_mid30_zeroshot_scores.csv,PART10a rerun; degenerate draws 0
Audio Flamingo 3 E-DAIC mid30 zero shot,zero shot answer,0.6949,0.6158,0.7714,275,275,speaker,2000,edaic_rerun/variants/af3_mid30.csv,PART10a rerun; degenerate draws 0
Qwen2.5-Omni E-DAIC mid30 projector SFT,"projector fine-tune, 5 speaker-disjoint folds, OOF",0.6669,0.5902,0.7426,275,275,speaker,2000,edaic_rerun/variants/sft_mid30_oof.csv,PART10a rerun; degenerate draws 0
Qwen2.5-Omni E-DAIC mid300 zero shot,zero shot answer,0.8122,0.7479,0.8707,275,275,speaker,2000,edaic_rerun/variants/o25_mid300_zeroshot_scores.csv,PART10a rerun; degenerate draws 0
Qwen2-Audio E-DAIC mid300 zero shot,zero shot answer,0.6332,0.5509,0.7117,275,275,speaker,2000,edaic_rerun/variants/q2a_mid300_zeroshot_scores.csv,PART10a rerun; degenerate draws 0
Qwen3-Omni-30B-A3B E-DAIC mid300 zero shot,zero shot answer,0.8217,0.7575,0.8774,275,275,speaker,2000,edaic_rerun/variants/q3o_mid300_zeroshot_scores.csv,PART10a rerun; degenerate draws 0
Audio Flamingo 3 E-DAIC mid300 zero shot,zero shot answer,0.8374,0.7769,0.8909,275,275,speaker,2000,edaic_rerun/variants/af3_mid300.csv,PART10a rerun; degenerate draws 0
Qwen2.5-Omni E-DAIC mid300 projector SFT,"projector fine-tune, 5 speaker-disjoint folds, OOF",0.6595,0.5811,0.7365,275,275,speaker,2000,edaic_rerun/variants/sft_mid300_oof.csv,PART10a rerun; degenerate draws 0
Qwen2.5-Omni E-DAIC full zero shot,zero shot answer,0.8285,0.7708,0.8827,275,275,speaker,2000,edaic_rerun/variants/o25_full_zeroshot_scores.csv,PART10a rerun; degenerate draws 0
Qwen2-Audio E-DAIC full zero shot,zero shot answer,0.6330,0.5588,0.7075,275,275,speaker,2000,edaic_rerun/variants/q2a_full_zeroshot_scores.csv,PART10a rerun; degenerate draws 0
Qwen3-Omni-30B-A3B E-DAIC full zero shot,zero shot answer,0.8741,0.8283,0.9160,275,275,speaker,2000,edaic_rerun/variants/q3o_full_zeroshot_scores.csv,PART10a rerun; degenerate draws 0
Audio Flamingo 3 E-DAIC full zero shot,zero shot answer,0.8565,0.7990,0.9038,275,275,speaker,2000,edaic_rerun/variants/af3_full.csv,PART10a rerun; degenerate draws 0
Qwen2.5-Omni E-DAIC full projector SFT,"projector fine-tune, 5 speaker-disjoint folds, OOF",0.6421,0.5593,0.7188,275,275,speaker,2000,edaic_rerun/variants/sft_full_oof.csv,PART10a rerun; degenerate draws 0
Kimi-Audio E-DAIC mid30 zero shot [EXTRA],zero shot answer,0.6664,0.5914,0.7379,275,275,speaker,2000,edaic_rerun/variants/kimi_mid30_zeroshot_scores.csv,PART10a rerun; degenerate draws 0
Kimi-Audio E-DAIC mid300 zero shot [EXTRA],zero shot answer,0.6581,0.5810,0.7333,275,275,speaker,2000,edaic_rerun/variants/kimi_mid300_zeroshot_scores.csv,PART10a rerun; degenerate draws 0
Qwen2.5-Omni Pitt all-708 zero shot,zero shot answer,0.6695,0.6180,0.7148,708,266,speaker,2000,edaic_rerun/pitt_all/o25_pitt_all_zeroshot_scores.csv,PART10a rerun; tertile from edaic_rerun/pitt_all_segments.csv; degenerate draws 0
Qwen2.5-Omni Pitt middle tertile zero shot,zero shot answer,0.6665,0.5799,0.7479,240,147,speaker,2000,edaic_rerun/pitt_all/o25_pitt_all_zeroshot_scores.csv,PART10a rerun; tertile from edaic_rerun/pitt_all_segments.csv; degenerate draws 0
Qwen2.5-Omni E-DAIC conflict set conflict arm,zero shot answer,0.2684,0.2011,0.3430,195,74,speaker,2000,edaic_conflict_new/o25_edaic_conflict_zeroshot_scores.csv,"PART10b; 20 Sep rerun, voice prompt; paired delta conflict minus agreement -0.6329 [-0.7241, -0.5280], excludes_zero=True; degenerate draws 0"
Qwen2.5-Omni E-DAIC conflict set agreement arm,zero shot answer,0.9012,0.8127,0.9645,195,74,speaker,2000,edaic_conflict_new/o25_edaic_conflict_zeroshot_scores.csv,"PART10b; 20 Sep rerun, voice prompt; paired delta conflict minus agreement -0.6329 [-0.7241, -0.5280], excludes_zero=True; degenerate draws 0"
"Qwen2.5-Omni E-DAIC conflict set paired delta, conflict minus agreement",paired speaker bootstrap of the AUC difference,-0.6329,-0.7241,-0.5280,390,74,speaker,2000,edaic_conflict_new/o25_edaic_conflict_zeroshot_scores.csv,"PART10b; excludes_zero=True; conflict 0.2684 vs agreement 0.9012; 20 Sep rerun, voice prompt"
Qwen2-Audio E-DAIC conflict set conflict arm,zero shot answer,0.3070,0.2196,0.4012,195,74,speaker,2000,edaic_conflict_new/q2a_edaic_conflict_zeroshot_scores.csv,"PART10b; 20 Sep rerun, voice prompt; paired delta conflict minus agreement -0.6182 [-0.7180, -0.5148], excludes_zero=True; degenerate draws 0"
Qwen2-Audio E-DAIC conflict set agreement arm,zero shot answer,0.9252,0.8659,0.9713,195,74,speaker,2000,edaic_conflict_new/q2a_edaic_conflict_zeroshot_scores.csv,"PART10b; 20 Sep rerun, voice prompt; paired delta conflict minus agreement -0.6182 [-0.7180, -0.5148], excludes_zero=True; degenerate draws 0"
"Qwen2-Audio E-DAIC conflict set paired delta, conflict minus agreement",paired speaker bootstrap of the AUC difference,-0.6182,-0.7180,-0.5148,390,74,speaker,2000,edaic_conflict_new/q2a_edaic_conflict_zeroshot_scores.csv,"PART10b; excludes_zero=True; conflict 0.3070 vs agreement 0.9252; 20 Sep rerun, voice prompt"
Qwen3-Omni-30B-A3B E-DAIC conflict set conflict arm,zero shot answer,0.3049,0.2240,0.3893,195,74,speaker,2000,edaic_conflict_new/q3o_edaic_conflict_zeroshot_scores.csv,"PART10b; 20 Sep rerun, voice prompt; paired delta conflict minus agreement -0.5876 [-0.6905, -0.4794], excludes_zero=True; degenerate draws 0"
Qwen3-Omni-30B-A3B E-DAIC conflict set agreement arm,zero shot answer,0.8924,0.8166,0.9534,195,74,speaker,2000,edaic_conflict_new/q3o_edaic_conflict_zeroshot_scores.csv,"PART10b; 20 Sep rerun, voice prompt; paired delta conflict minus agreement -0.5876 [-0.6905, -0.4794], excludes_zero=True; degenerate draws 0"
"Qwen3-Omni-30B-A3B E-DAIC conflict set paired delta, conflict minus agreement",paired speaker bootstrap of the AUC difference,-0.5876,-0.6905,-0.4794,390,74,speaker,2000,edaic_conflict_new/q3o_edaic_conflict_zeroshot_scores.csv,"PART10b; excludes_zero=True; conflict 0.3049 vs agreement 0.8924; 20 Sep rerun, voice prompt"
Audio Flamingo 3 E-DAIC conflict set conflict arm,zero shot answer,0.4709,0.3775,0.5651,195,74,speaker,2000,edaic_conflict_new/af3_edaic_conflict.csv,"PART10b; 20 Sep rerun, voice prompt; paired delta conflict minus agreement -0.3182 [-0.4541, -0.1759], excludes_zero=True; degenerate draws 0"
Audio Flamingo 3 E-DAIC conflict set agreement arm,zero shot answer,0.7891,0.6666,0.8907,195,74,speaker,2000,edaic_conflict_new/af3_edaic_conflict.csv,"PART10b; 20 Sep rerun, voice prompt; paired delta conflict minus agreement -0.3182 [-0.4541, -0.1759], excludes_zero=True; degenerate draws 0"
"Audio Flamingo 3 E-DAIC conflict set paired delta, conflict minus agreement",paired speaker bootstrap of the AUC difference,-0.3182,-0.4541,-0.1759,390,74,speaker,2000,edaic_conflict_new/af3_edaic_conflict.csv,"PART10b; excludes_zero=True; conflict 0.4709 vs agreement 0.7891; 20 Sep rerun, voice prompt"
Kimi-Audio E-DAIC conflict set conflict arm,zero shot answer,0.5486,0.4411,0.6526,195,74,speaker,2000,edaic_conflict_new/kimi/kimi_edaic_conflict_zeroshot_scores.csv,"PART10b; 20 Sep rerun, voice prompt; paired delta conflict minus agreement -0.2860 [-0.3898, -0.1789], excludes_zero=True; degenerate draws 0"
Kimi-Audio E-DAIC conflict set agreement arm,zero shot answer,0.8346,0.7444,0.9128,195,74,speaker,2000,edaic_conflict_new/kimi/kimi_edaic_conflict_zeroshot_scores.csv,"PART10b; 20 Sep rerun, voice prompt; paired delta conflict minus agreement -0.2860 [-0.3898, -0.1789], excludes_zero=True; degenerate draws 0"
"Kimi-Audio E-DAIC conflict set paired delta, conflict minus agreement",paired speaker bootstrap of the AUC difference,-0.2860,-0.3898,-0.1789,390,74,speaker,2000,edaic_conflict_new/kimi/kimi_edaic_conflict_zeroshot_scores.csv,"PART10b; excludes_zero=True; conflict 0.5486 vs agreement 0.8346; 20 Sep rerun, voice prompt"
Audio Flamingo 2 E-DAIC conflict set conflict arm,zero shot answer,0.5022,0.3960,0.6045,195,74,speaker,2000,edaic_conflict_new/af2/af2_edaic_conflict_30s.csv,"PART10b; 20 Sep rerun, 30 s window; paired delta conflict minus agreement -0.0669 [-0.1931, 0.0574], excludes_zero=False; degenerate draws 0"
Audio Flamingo 2 E-DAIC conflict set agreement arm,zero shot answer,0.5690,0.4263,0.7054,195,74,speaker,2000,edaic_conflict_new/af2/af2_edaic_conflict_30s.csv,"PART10b; 20 Sep rerun, 30 s window; paired delta conflict minus agreement -0.0669 [-0.1931, 0.0574], excludes_zero=False; degenerate draws 0"
"Audio Flamingo 2 E-DAIC conflict set paired delta, conflict minus agreement",paired speaker bootstrap of the AUC difference,-0.0669,-0.1931,0.0574,390,74,speaker,2000,edaic_conflict_new/af2/af2_edaic_conflict_30s.csv,"PART10b; excludes_zero=False; conflict 0.5022 vs agreement 0.5690; 20 Sep rerun, 30 s window"
Qwen2.5-Omni [paper source] E-DAIC conflict set conflict arm,zero shot answer,0.2974,0.2277,0.3740,195,74,speaker,2000,/Users/chaitanyaparwatkar/Desktop/af2_run/speech-health/results/health/paradox/omni_clip_scores.csv,"PART10b; col p_dep, the file the Table 2 0.31/0.85 cells trace to; paired delta conflict minus agreement -0.5703 [-0.6788, -0.4430], excludes_zero=True; degenerate draws 0"
Qwen2.5-Omni [paper source] E-DAIC conflict set agreement arm,zero shot answer,0.8677,0.7584,0.9532,195,74,speaker,2000,/Users/chaitanyaparwatkar/Desktop/af2_run/speech-health/results/health/paradox/omni_clip_scores.csv,"PART10b; col p_dep, the file the Table 2 0.31/0.85 cells trace to; paired delta conflict minus agreement -0.5703 [-0.6788, -0.4430], excludes_zero=True; degenerate draws 0"
"Qwen2.5-Omni [paper source] E-DAIC conflict set paired delta, conflict minus agreement",paired speaker bootstrap of the AUC difference,-0.5703,-0.6788,-0.4430,390,74,speaker,2000,/Users/chaitanyaparwatkar/Desktop/af2_run/speech-health/results/health/paradox/omni_clip_scores.csv,"PART10b; excludes_zero=True; conflict 0.2974 vs agreement 0.8677; col p_dep, the file the Table 2 0.31/0.85 cells trace to"
Qwen2.5-Omni Pitt conflict set conflict arm,zero shot answer,0.4444,0.3294,0.5745,146,228,speaker,2000,/Volumes/G-Drive Pro/DementiaBank/ad_scores_omni.csv,"PART10b; paper's own source, col p_main; paired delta conflict minus agreement -0.3220 [-0.4396, -0.1890], excludes_zero=True; degenerate draws 0"
Qwen2.5-Omni Pitt conflict set agreement arm,zero shot answer,0.7664,0.7103,0.8197,322,228,speaker,2000,/Volumes/G-Drive Pro/DementiaBank/ad_scores_omni.csv,"PART10b; paper's own source, col p_main; paired delta conflict minus agreement -0.3220 [-0.4396, -0.1890], excludes_zero=True; degenerate draws 0"
"Qwen2.5-Omni Pitt conflict set paired delta, conflict minus agreement",paired speaker bootstrap of the AUC difference,-0.3220,-0.4396,-0.1890,468,228,speaker,2000,/Volumes/G-Drive Pro/DementiaBank/ad_scores_omni.csv,"PART10b; excludes_zero=True; conflict 0.4444 vs agreement 0.7664; paper's own source, col p_main"
Qwen2.5-Omni [rerun] Pitt conflict set conflict arm,zero shot answer,0.5322,0.4208,0.6596,146,228,speaker,2000,overnight2/part10/o25_pitt_zeroshot_scores.csv,"PART10b; 18 Sep rerun (canonical omni_final copy is out of scope here); paired delta conflict minus agreement -0.1731 [-0.2958, -0.0392], excludes_zero=True; degenerate draws 0"
Qwen2.5-Omni [rerun] Pitt conflict set agreement arm,zero shot answer,0.7054,0.6474,0.7637,322,228,speaker,2000,overnight2/part10/o25_pitt_zeroshot_scores.csv,"PART10b; 18 Sep rerun (canonical omni_final copy is out of scope here); paired delta conflict minus agreement -0.1731 [-0.2958, -0.0392], excludes_zero=True; degenerate draws 0"
"Qwen2.5-Omni [rerun] Pitt conflict set paired delta, conflict minus agreement",paired speaker bootstrap of the AUC difference,-0.1731,-0.2958,-0.0392,468,228,speaker,2000,overnight2/part10/o25_pitt_zeroshot_scores.csv,PART10b; excludes_zero=True; conflict 0.5322 vs agreement 0.7054; 18 Sep rerun (canonical omni_final copy is out of scope here)
Qwen2-Audio Pitt conflict set conflict arm,zero shot answer,0.4132,0.3056,0.5412,146,228,speaker,2000,/Volumes/G-Drive Pro/paper1_local_runs/probe2/pitt_zeroshot_scores.csv,"PART10b; master_lookup source; paired delta conflict minus agreement -0.2853 [-0.3950, -0.1485], excludes_zero=True; degenerate draws 0"
Qwen2-Audio Pitt conflict set agreement arm,zero shot answer,0.6985,0.6370,0.7581,322,228,speaker,2000,/Volumes/G-Drive Pro/paper1_local_runs/probe2/pitt_zeroshot_scores.csv,"PART10b; master_lookup source; paired delta conflict minus agreement -0.2853 [-0.3950, -0.1485], excludes_zero=True; degenerate draws 0"
"Qwen2-Audio Pitt conflict set paired delta, conflict minus agreement",paired speaker bootstrap of the AUC difference,-0.2853,-0.3950,-0.1485,468,228,speaker,2000,/Volumes/G-Drive Pro/paper1_local_runs/probe2/pitt_zeroshot_scores.csv,PART10b; excludes_zero=True; conflict 0.4132 vs agreement 0.6985; master_lookup source
Qwen2-Audio [paper src] Pitt conflict set conflict arm,zero shot answer,0.4125,0.3046,0.5401,146,228,speaker,2000,/Volumes/G-Drive Pro/DementiaBank/ad_scores_qwen2audio.csv,"PART10b; paper's own source, col p_main; paired delta conflict minus agreement -0.2865 [-0.3965, -0.1504], excludes_zero=True; degenerate draws 0"
Qwen2-Audio [paper src] Pitt conflict set agreement arm,zero shot answer,0.6991,0.6369,0.7584,322,228,speaker,2000,/Volumes/G-Drive Pro/DementiaBank/ad_scores_qwen2audio.csv,"PART10b; paper's own source, col p_main; paired delta conflict minus agreement -0.2865 [-0.3965, -0.1504], excludes_zero=True; degenerate draws 0"
"Qwen2-Audio [paper src] Pitt conflict set paired delta, conflict minus agreement",paired speaker bootstrap of the AUC difference,-0.2865,-0.3965,-0.1504,468,228,speaker,2000,/Volumes/G-Drive Pro/DementiaBank/ad_scores_qwen2audio.csv,"PART10b; excludes_zero=True; conflict 0.4125 vs agreement 0.6991; paper's own source, col p_main"
Qwen3-Omni-30B-A3B Pitt conflict set conflict arm,zero shot answer,0.6066,0.5008,0.7154,146,228,speaker,2000,overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv,"PART10b; master_lookup source; paired delta conflict minus agreement -0.2165 [-0.3242, -0.1052], excludes_zero=True; degenerate draws 0"
Qwen3-Omni-30B-A3B Pitt conflict set agreement arm,zero shot answer,0.8231,0.7684,0.8693,322,228,speaker,2000,overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv,"PART10b; master_lookup source; paired delta conflict minus agreement -0.2165 [-0.3242, -0.1052], excludes_zero=True; degenerate draws 0"
"Qwen3-Omni-30B-A3B Pitt conflict set paired delta, conflict minus agreement",paired speaker bootstrap of the AUC difference,-0.2165,-0.3242,-0.1052,468,228,speaker,2000,overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv,PART10b; excludes_zero=True; conflict 0.6066 vs agreement 0.8231; master_lookup source
Audio Flamingo 3 Pitt conflict set conflict arm,zero shot answer,0.6169,0.5185,0.7176,146,228,speaker,2000,overnight2/part3/af3_pitt.csv,"PART10b; master_lookup source; paired delta conflict minus agreement 0.0347 [-0.0698, 0.1474], excludes_zero=False; degenerate draws 0"
Audio Flamingo 3 Pitt conflict set agreement arm,zero shot answer,0.5822,0.5104,0.6495,322,228,speaker,2000,overnight2/part3/af3_pitt.csv,"PART10b; master_lookup source; paired delta conflict minus agreement 0.0347 [-0.0698, 0.1474], excludes_zero=False; degenerate draws 0"
"Audio Flamingo 3 Pitt conflict set paired delta, conflict minus agreement",paired speaker bootstrap of the AUC difference,0.0347,-0.0698,0.1474,468,228,speaker,2000,overnight2/part3/af3_pitt.csv,PART10b; excludes_zero=False; conflict 0.6169 vs agreement 0.5822; master_lookup source
Kimi-Audio Pitt conflict set conflict arm,zero shot answer,0.7197,0.6153,0.8159,146,228,speaker,2000,overnight2/part3/kimi_pitt_zeroshot_scores.csv,"PART10b; master_lookup source; paired delta conflict minus agreement -0.0030 [-0.1134, 0.1065], excludes_zero=False; degenerate draws 0"
Kimi-Audio Pitt conflict set agreement arm,zero shot answer,0.7227,0.6519,0.7875,322,228,speaker,2000,overnight2/part3/kimi_pitt_zeroshot_scores.csv,"PART10b; master_lookup source; paired delta conflict minus agreement -0.0030 [-0.1134, 0.1065], excludes_zero=False; degenerate draws 0"
"Kimi-Audio Pitt conflict set paired delta, conflict minus agreement",paired speaker bootstrap of the AUC difference,-0.0030,-0.1134,0.1065,468,228,speaker,2000,overnight2/part3/kimi_pitt_zeroshot_scores.csv,PART10b; excludes_zero=False; conflict 0.7197 vs agreement 0.7227; master_lookup source
Audio Flamingo 2 Pitt conflict set conflict arm,zero shot answer,0.6310,0.5300,0.7283,146,228,speaker,2000,/Volumes/G-Drive Pro/paper1_local_runs/af2_results/af2_pitt468.csv,"PART10b; master_lookup source; paired delta conflict minus agreement 0.0766 [-0.0307, 0.1869], excludes_zero=False; degenerate draws 0"
Audio Flamingo 2 Pitt conflict set agreement arm,zero shot answer,0.5544,0.4757,0.6348,322,228,speaker,2000,/Volumes/G-Drive Pro/paper1_local_runs/af2_results/af2_pitt468.csv,"PART10b; master_lookup source; paired delta conflict minus agreement 0.0766 [-0.0307, 0.1869], excludes_zero=False; degenerate draws 0"
"Audio Flamingo 2 Pitt conflict set paired delta, conflict minus agreement",paired speaker bootstrap of the AUC difference,0.0766,-0.0307,0.1869,468,228,speaker,2000,/Volumes/G-Drive Pro/paper1_local_runs/af2_results/af2_pitt468.csv,PART10b; excludes_zero=False; conflict 0.6310 vs agreement 0.5544; master_lookup source
Qwen2.5-Omni E-DAIC conflict-vs-agreement conflict,zero shot answer,0.2218,0.1829,0.2632,483,138,speaker,2000,edaic_rerun/part14/p14_o25_zeroshot_scores.csv,PART14 new 483-pair set; conflict arm; degenerate draws 0
Qwen2.5-Omni E-DAIC conflict-vs-agreement agreement,zero shot answer,0.9482,0.9039,0.9828,483,138,speaker,2000,edaic_rerun/part14/p14_o25_zeroshot_scores.csv,PART14 new 483-pair set; agreement arm; degenerate draws 0
Qwen2.5-Omni E-DAIC conflict-vs-agreement pooled,zero shot answer,0.6343,0.596,0.672,966,138,speaker,2000,edaic_rerun/part14/p14_o25_zeroshot_scores.csv,PART14 new 483-pair set; pooled arm; degenerate draws 0
Qwen2.5-Omni E-DAIC conflict minus agreement paired delta,zero shot answer,-0.7264,-0.7786,-0.6655,966,138,speaker,2000,edaic_rerun/part14/p14_o25_zeroshot_scores.csv,"PART14 new 483-pair set; 'auc' column holds the PAIRED conflict-minus-agreement AUC DELTA, not an AUC; conflict 0.2218 agreement 0.9482; excludes zero True; degenerate draws 0"
Qwen2-Audio E-DAIC conflict-vs-agreement conflict,zero shot answer,0.228,0.1816,0.2782,483,138,speaker,2000,edaic_rerun/part14/p14_q2a_zeroshot_scores.csv,PART14 new 483-pair set; conflict arm; degenerate draws 0
Qwen2-Audio E-DAIC conflict-vs-agreement agreement,zero shot answer,0.9478,0.9128,0.9762,483,138,speaker,2000,edaic_rerun/part14/p14_q2a_zeroshot_scores.csv,PART14 new 483-pair set; agreement arm; degenerate draws 0
Qwen2-Audio E-DAIC conflict-vs-agreement pooled,zero shot answer,0.6277,0.5876,0.67,966,138,speaker,2000,edaic_rerun/part14/p14_q2a_zeroshot_scores.csv,PART14 new 483-pair set; pooled arm; degenerate draws 0
Qwen2-Audio E-DAIC conflict minus agreement paired delta,zero shot answer,-0.7198,-0.7689,-0.6679,966,138,speaker,2000,edaic_rerun/part14/p14_q2a_zeroshot_scores.csv,"PART14 new 483-pair set; 'auc' column holds the PAIRED conflict-minus-agreement AUC DELTA, not an AUC; conflict 0.2280 agreement 0.9478; excludes zero True; degenerate draws 0"
Qwen3-Omni-30B E-DAIC conflict-vs-agreement conflict,zero shot answer,0.3008,0.2454,0.3641,483,138,speaker,2000,edaic_rerun/part14/p14_q3o_zeroshot_scores.csv,PART14 new 483-pair set; conflict arm; degenerate draws 0
Qwen3-Omni-30B E-DAIC conflict-vs-agreement agreement,zero shot answer,0.9638,0.9336,0.9864,483,138,speaker,2000,edaic_rerun/part14/p14_q3o_zeroshot_scores.csv,PART14 new 483-pair set; agreement arm; degenerate draws 0
Qwen3-Omni-30B E-DAIC conflict-vs-agreement pooled,zero shot answer,0.6867,0.6464,0.7287,966,138,speaker,2000,edaic_rerun/part14/p14_q3o_zeroshot_scores.csv,PART14 new 483-pair set; pooled arm; degenerate draws 0
Qwen3-Omni-30B E-DAIC conflict minus agreement paired delta,zero shot answer,-0.663,-0.7192,-0.603,966,138,speaker,2000,edaic_rerun/part14/p14_q3o_zeroshot_scores.csv,"PART14 new 483-pair set; 'auc' column holds the PAIRED conflict-minus-agreement AUC DELTA, not an AUC; conflict 0.3008 agreement 0.9638; excludes zero True; degenerate draws 0"
Audio Flamingo 3 E-DAIC conflict-vs-agreement conflict,zero shot answer,0.4235,0.3606,0.488,483,138,speaker,2000,edaic_rerun/part14/p14_af3.csv,PART14 new 483-pair set; conflict arm; degenerate draws 0
