row,seg_uid,clip,speaker,arm,pair_id,fold,p_yes,answer_mass,p_yes_sft,p_yes_rule3_literal,answer_mass_rule3_literal,prompt
10,c000162,conflict_307_c000162.wav,307,conflict,10,3,0.5633245236,0.9946534634,0.2877678275,0.5633244620,0.9946553707,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
11,c000176,conflict_307_c000176.wav,307,conflict,11,3,0.8177477641,0.9961342067,0.6442251205,0.8177476572,0.9961355031,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
12,c000181,conflict_308_c000181.wav,308,conflict,12,2,0.2021460413,0.9963060617,0.1259227693,0.2021459639,0.9963086545,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
13,c000182,conflict_308_c000182.wav,308,conflict,13,2,0.0804169372,0.9936869070,0.0467249602,0.0804169683,0.9936892092,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
14,c000185,conflict_308_c000185.wav,308,conflict,14,2,0.1921453872,0.9939372838,0.0913821086,0.1921453851,0.9939385355,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
15,c000186,conflict_308_c000186.wav,308,conflict,15,2,0.0716425607,0.9969308823,0.0408457182,0.0716425983,0.9969323352,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
16,c000187,conflict_308_c000187.wav,308,conflict,16,2,0.3928197046,0.9974659383,0.2628418505,0.3928194966,0.9974677563,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
17,c000251,conflict_311_c000251.wav,311,conflict,17,1,0.7665312083,0.9973351508,0.6150878668,0.7665311313,0.9973364174,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
18,c000260,conflict_312_c000260.wav,312,conflict,18,0,0.0637351019,0.9969577491,0.0378924236,0.0637351331,0.9969585463,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
19,c000291,conflict_314_c000291.wav,314,conflict,19,1,0.2019452002,0.9967199713,0.1143685207,0.2019452101,0.9967210293,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
20,c000293,conflict_314_c000293.wav,314,conflict,20,1,0.6654976546,0.9971905649,0.4455295503,0.6654975359,0.9971912801,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
21,c000296,conflict_314_c000296.wav,314,conflict,21,1,0.0244278094,0.9961184170,0.0153063545,0.0244278342,0.9961195420,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
22,c000312,conflict_314_c000312.wav,314,conflict,22,1,0.7774094956,0.9941510856,0.5621765256,0.7774094309,0.9941519350,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
23,c000325,conflict_314_c000325.wav,314,conflict,23,1,0.7882380669,0.9964826256,0.6926419735,0.7882380583,0.9964839220,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
24,c000333,conflict_315_c000333.wav,315,conflict,24,0,0.0716503543,0.9979848936,0.0408457182,0.0716503951,0.9979860932,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
25,c000335,conflict_315_c000335.wav,315,conflict,25,0,0.0446999380,0.9977634698,0.0251788422,0.0446999630,0.9977644943,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
26,c000337,conflict_315_c000337.wav,315,conflict,26,0,0.0275891003,0.9983007163,0.0166570395,0.0275891110,0.9983013403,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
27,c000344,conflict_315_c000344.wav,315,conflict,27,0,0.2816528285,0.9954136014,0.1688569635,0.2816527661,0.9954150915,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
28,c000345,conflict_315_c000345.wav,315,conflict,28,0,0.0351582703,0.9979433268,0.0216153339,0.0351583000,0.9979442842,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
29,c000389,conflict_318_c000389.wav,318,conflict,29,4,0.0229725123,0.9979008287,0.0130204894,0.0229725291,0.9979021270,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
30,c000428,conflict_321_c000428.wav,321,conflict,30,4,0.9951111258,0.9996872572,0.9924227595,0.9951111220,0.9996876204,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
31,c000434,conflict_321_c000434.wav,321,conflict,31,4,0.9983040045,0.9998304402,0.9974090457,0.9983040032,0.9998307400,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
32,c000441,conflict_321_c000441.wav,321,conflict,32,4,0.9809411012,0.9996658210,0.9579122663,0.9809410923,0.9996661339,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
33,c000475,conflict_323_c000475.wav,323,conflict,33,2,0.9247503708,0.9939564094,0.8902942538,0.9247502000,0.9939605892,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
34,c000480,conflict_323_c000480.wav,323,conflict,34,2,0.1260912795,0.9979258031,0.0967057943,0.1260912759,0.9979273677,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
35,c000548,conflict_327_c000548.wav,327,conflict,35,3,0.9904680704,0.9991332069,0.9845753908,0.9904680612,0.9991339985,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
36,c000562,conflict_328_c000562.wav,328,conflict,36,3,0.0019284672,0.9987591603,0.0011879054,0.0019284730,0.9987594647,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
37,c000563,conflict_328_c000563.wav,328,conflict,37,3,0.0097477057,0.9969578898,0.0049054059,0.0097477356,0.9969589431,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
38,c000564,conflict_328_c000564.wav,328,conflict,38,3,0.2034466201,0.9964947402,0.1403362453,0.2034466875,0.9964960217,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
39,c000589,conflict_329_c000589.wav,329,conflict,39,2,0.0567916453,0.9904229417,0.0280075204,0.0567917856,0.9904257432,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
40,c000642,conflict_332_c000642.wav,332,conflict,40,4,0.9966407519,0.9996112539,0.9959927201,0.9966407500,0.9996116743,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
41,c000644,conflict_332_c000644.wav,332,conflict,41,4,0.9951245307,0.9995655576,0.9938070178,0.9951245248,0.9995661625,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
42,c000649,conflict_332_c000649.wav,332,conflict,42,4,0.9968371631,0.9996762525,0.9958011508,0.9968371613,0.9996766131,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
43,c000654,conflict_332_c000654.wav,332,conflict,43,4,0.1920247773,0.9977561384,0.0875638500,0.1920247718,0.9977569431,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
44,c000656,conflict_332_c000656.wav,332,conflict,44,4,0.0954772779,0.9989249632,0.0675466955,0.0954773108,0.9989257902,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
45,c000810,conflict_338_c000810.wav,338,conflict,45,4,0.9831015883,0.9995961674,0.9626730680,0.9831015787,0.9995964803,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
46,c000820,conflict_338_c000820.wav,338,conflict,46,4,0.9808957636,0.9997449610,0.9658995867,0.9808957536,0.9997452144,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
47,c000821,conflict_338_c000821.wav,338,conflict,47,4,0.6515176394,0.9973277748,0.4148988128,0.6515175335,0.9973286688,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
48,c000822,conflict_338_c000822.wav,338,conflict,48,4,0.0675617967,0.9984746501,0.0346188396,0.0675618260,0.9984753206,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
49,c000824,conflict_338_c000824.wav,338,conflict,49,4,0.9850693125,0.9994484913,0.9719924927,0.9850692957,0.9994490528,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
50,c000825,conflict_338_c000825.wav,338,conflict,50,4,0.9241918944,0.9995003641,0.8633915782,0.9241918757,0.9995007068,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
51,c000847,conflict_340_c000847.wav,340,conflict,51,1,0.2341608692,0.9934012890,0.1623800248,0.2341610349,0.9934034497,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
52,c000931,conflict_345_c000931.wav,345,conflict,52,1,0.0534921210,0.9968247563,0.0341004282,0.0534921681,0.9968263172,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
53,c000932,conflict_345_c000932.wav,345,conflict,53,1,0.4380833094,0.9977332354,0.3073580265,0.4380832378,0.9977344871,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
54,c000935,conflict_345_c000935.wav,345,conflict,54,1,0.0954054478,0.9946759939,0.0481367707,0.0954054908,0.9946770296,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
55,c000939,conflict_345_c000939.wav,345,conflict,55,1,0.5313732176,0.9965166152,0.3345894516,0.5313730809,0.9965181053,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
56,c000940,conflict_345_c000940.wav,345,conflict,56,1,0.2228801135,0.9970906228,0.1403362453,0.2228800927,0.9970920533,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
57,c000941,conflict_345_c000941.wav,345,conflict,57,1,0.0804032866,0.9951683059,0.0474258736,0.0804033376,0.9951695278,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
58,c000942,conflict_345_c000942.wav,345,conflict,58,1,0.1733879917,0.9961224943,0.0967057943,0.1733880216,0.9961236119,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
59,c000947,conflict_345_c000947.wav,345,conflict,59,1,0.8671599708,0.9963627160,0.7090191245,0.8671598716,0.9963636547,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
60,c000948,conflict_345_c000948.wav,345,conflict,60,1,0.0474501402,0.9937494583,0.0251788422,0.0474501682,0.9937503636,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
61,c000949,conflict_345_c000949.wav,345,conflict,61,1,0.7775793460,0.9976654500,0.6150878668,0.7775791868,0.9976663440,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
62,c000952,conflict_345_c000952.wav,345,conflict,62,1,0.9707832643,0.9978235755,0.9496693611,0.9707832290,0.9978244100,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
63,c000953,conflict_345_c000953.wav,345,conflict,63,1,0.0534581537,0.9963959828,0.0335895047,0.0534581939,0.9963969067,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
64,c000954,conflict_346_c000954.wav,346,conflict,64,4,0.7061027096,0.9989258647,0.5926666260,0.7061025268,0.9989269674,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
65,c000956,conflict_346_c000956.wav,346,conflict,65,4,0.2690638346,0.9988785088,0.1602660269,0.2690638037,0.9988789558,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
66,c000957,conflict_346_c000957.wav,346,conflict,66,4,0.9649367632,0.9995665252,0.9465966821,0.9649367470,0.9995669127,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
67,c000971,conflict_346_c000971.wav,346,conflict,67,4,0.7550282161,0.9986386597,0.5312094092,0.7550281281,0.9986390918,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
68,c000972,conflict_346_c000972.wav,346,conflict,68,4,0.9770623059,0.9994581416,0.9539660811,0.9770622904,0.9994585235,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
69,c000974,conflict_346_c000974.wav,346,conflict,69,4,0.3489468477,0.9977325201,0.2173375189,0.3489468365,0.9977332354,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
70,c000982,conflict_346_c000982.wav,346,conflict,70,4,0.7313613389,0.9990898967,0.5698526502,0.7313612721,0.9990903139,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
71,c000983,conflict_346_c000983.wav,346,conflict,71,4,0.0851341265,0.9981214702,0.0510827377,0.0851341322,0.9981224537,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
72,c000984,conflict_346_c000984.wav,346,conflict,72,4,0.9914308179,0.9998080386,0.9867772460,0.9914308152,0.9998081615,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
73,c000985,conflict_346_c000985.wav,346,conflict,73,4,0.1192781709,0.9979907796,0.0705595985,0.1192782038,0.9979916289,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
74,c000986,conflict_346_c000986.wav,346,conflict,74,4,0.9961875043,0.9997734770,0.9936116338,0.9961875027,0.9997737180,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
75,c000988,conflict_347_c000988.wav,347,conflict,75,2,0.9500633200,0.9969502315,0.9019206762,0.9500631270,0.9969529435,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
76,c000990,conflict_347_c000990.wav,347,conflict,76,2,0.1179848244,0.9931939617,0.0566524267,0.1179848874,0.9931983575,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
77,c000993,conflict_347_c000993.wav,347,conflict,77,2,0.8374483382,0.9808790982,0.7549149990,0.8374475799,0.9808884561,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
78,c000995,conflict_347_c000995.wav,347,conflict,78,2,0.2584307434,0.9904607236,0.1623800248,0.2584307041,0.9904644489,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
79,c001000,conflict_348_c001000.wav,348,conflict,79,0,0.6798313113,0.9980964959,0.5234203935,0.6798310930,0.9980979562,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
80,c001001,conflict_348_c001001.wav,348,conflict,80,0,0.1067465147,0.9987223893,0.0637149960,0.1067465379,0.9987231493,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
81,c001005,conflict_348_c001005.wav,348,conflict,81,0,0.0474350814,0.9986076057,0.0297600944,0.0474350950,0.9986081831,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
82,c001006,conflict_348_c001006.wav,348,conflict,82,0,0.3209868275,0.9990505874,0.2018132210,0.3209867789,0.9990514815,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
83,c001007,conflict_348_c001007.wav,348,conflict,83,0,0.0330990394,0.9990612529,0.0247981604,0.0330990540,0.9990618229,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
84,c001013,conflict_348_c001013.wav,348,conflict,84,0,0.0637316735,0.9981313348,0.0367694646,0.0637316951,0.9981319308,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
85,c001014,conflict_348_c001014.wav,348,conflict,85,0,0.0953889828,0.9988938794,0.0600866452,0.0953890043,0.9988948256,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
86,c001129,conflict_354_c001129.wav,354,conflict,86,2,0.0312243409,0.9922249615,0.0149570871,0.0312243811,0.9922268484,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
87,c001131,conflict_354_c001131.wav,354,conflict,87,2,0.2360398466,0.9928389937,0.1422318816,0.2360400183,0.9928418696,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
88,c001137,conflict_354_c001137.wav,354,conflict,88,2,0.1831937188,0.9967619479,0.1208532304,0.1831936617,0.9967649430,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
89,c001260,conflict_362_c001260.wav,362,conflict,89,0,0.8991043807,0.9984702542,0.8221890926,0.8991042899,0.9984713495,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
90,c001263,conflict_362_c001263.wav,362,conflict,90,0,0.9920529911,0.9986751704,0.9891815782,0.9920529763,0.9986775285,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
91,c001265,conflict_362_c001265.wav,362,conflict,91,0,0.9933288664,0.9994302560,0.9873750210,0.9933288597,0.9994309228,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
92,c001266,conflict_362_c001266.wav,362,conflict,92,0,0.8597685551,0.9985899180,0.7490872145,0.8597685145,0.9985907972,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
93,c001268,conflict_362_c001268.wav,362,conflict,93,0,0.9897199351,0.9981661187,0.9883127809,0.9897199224,0.9981678780,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
94,c001271,conflict_362_c001271.wav,362,conflict,94,0,0.9903858267,0.9992300794,0.9890130758,0.9903858144,0.9992314158,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
95,c001278,conflict_363_c001278.wav,363,conflict,95,3,0.3492028773,0.9968296289,0.1919327974,0.3492026543,0.9968311191,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
96,c001284,conflict_363_c001284.wav,363,conflict,96,3,0.9531112266,0.9967174418,0.8991213441,0.9531110878,0.9967193380,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
97,c001285,conflict_363_c001285.wav,363,conflict,97,3,0.3395819212,0.9924969375,0.2173375189,0.3395821803,0.9925003052,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
98,c001288,conflict_363_c001288.wav,363,conflict,98,3,0.9607152565,0.9988322854,0.9343951344,0.9607152168,0.9988326989,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
99,c001290,conflict_363_c001290.wav,363,conflict,99,3,0.9945104819,0.9991377844,0.9907320142,0.9945104612,0.9991391837,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
100,c001295,conflict_363_c001295.wav,363,conflict,100,3,0.9851190902,0.9975176752,0.9752018452,0.9851190585,0.9975186149,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
101,c001296,conflict_363_c001296.wav,363,conflict,101,3,0.9404674681,0.9978266619,0.8872045875,0.9404673635,0.9978277870,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
102,c001302,conflict_364_c001302.wav,364,conflict,102,1,0.1260141111,0.9953020662,0.0758581758,0.1260141530,0.9953032732,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
103,c001308,conflict_364_c001308.wav,364,conflict,103,1,0.0331005257,0.9982638061,0.0263553541,0.0331005472,0.9982645065,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
104,c001309,conflict_364_c001309.wav,364,conflict,104,1,0.0116901257,0.9979050690,0.0084456280,0.0116901342,0.9979058616,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
105,c001310,conflict_364_c001310.wav,364,conflict,105,1,0.2691194491,0.9962788820,0.1778108627,0.2691194481,0.9962801039,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
106,c001416,conflict_366_c001416.wav,366,conflict,106,3,0.0681132125,0.9937350005,0.0408457182,0.0681132029,0.9937367812,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
107,c001417,conflict_366_c001417.wav,366,conflict,107,3,0.1076166347,0.9962792173,0.0715911984,0.1076165898,0.9962815717,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
108,c001423,conflict_366_c001423.wav,366,conflict,108,3,0.1129505817,0.9939739034,0.0488577783,0.1129507056,0.9939753190,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
109,c001429,conflict_366_c001429.wav,366,conflict,109,3,0.0091534110,0.9932357054,0.0062899017,0.0091534221,0.9932370400,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
110,c001430,conflict_366_c001430.wav,366,conflict,110,3,0.0536472067,0.9900201187,0.0362200588,0.0536471545,0.9900223315,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
111,c001447,conflict_367_c001447.wav,367,conflict,111,3,0.9929197973,0.9991736370,0.9890130758,0.9929197872,0.9991742475,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
112,c001473,conflict_367_c001473.wav,367,conflict,112,3,0.9629255749,0.9990709275,0.9263036847,0.9629254962,0.9990721233,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
113,c001474,conflict_367_c001474.wav,367,conflict,113,3,0.9469852111,0.9987291843,0.9124361873,0.9469851663,0.9987302385,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
114,c001475,conflict_367_c001475.wav,367,conflict,114,3,0.9904254359,0.9973532781,0.9854964614,0.9904254215,0.9973552786,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
115,c001477,conflict_367_c001477.wav,367,conflict,115,3,0.9328973452,0.9952172861,0.8872045875,0.9328970846,0.9952194169,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
116,c001478,conflict_367_c001478.wav,367,conflict,116,3,0.9841380268,0.9985443577,0.9658995867,0.9841379722,0.9985452611,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
117,c001515,conflict_369_c001515.wav,369,conflict,117,1,0.0637429669,0.9973651618,0.0390482917,0.0637429987,0.9973658323,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
118,c001522,conflict_369_c001522.wav,369,conflict,118,1,0.0759003662,0.9967582077,0.0518454723,0.0759004134,0.9967593551,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
119,c001551,conflict_370_c001551.wav,370,conflict,119,1,0.0601194225,0.9940311387,0.0321007073,0.0601194669,0.9940322004,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
120,c001553,conflict_370_c001553.wav,370,conflict,120,1,0.0804059772,0.9937195927,0.0408457182,0.0804059979,0.9937209114,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
121,c001561,conflict_370_c001561.wav,370,conflict,121,1,0.0149621207,0.9972879859,0.0094857141,0.0149621357,0.9972888483,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
122,c001666,conflict_374_c001666.wav,374,conflict,122,2,0.4851373647,0.9949774444,0.3557748795,0.4851372515,0.9949798882,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
123,c001668,conflict_374_c001668.wav,374,conflict,123,2,0.0331278127,0.9963895567,0.0197191257,0.0331278631,0.9963909648,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
124,c001669,conflict_374_c001669.wav,374,conflict,124,2,0.5322154912,0.9777075648,0.3073580265,0.5322154899,0.9777099192,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
125,c001670,conflict_374_c001670.wav,374,conflict,125,2,0.5947486764,0.9922069311,0.4301473200,0.5947486386,0.9922100008,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
126,c001673,conflict_374_c001673.wav,374,conflict,126,2,0.9852584996,0.9957791828,0.9759464264,0.9852584681,0.9957824210,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
127,c001676,conflict_374_c001676.wav,374,conflict,127,2,0.7449420124,0.9896068573,0.6001883149,0.7449417602,0.9896105528,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
128,c001684,conflict_374_c001684.wav,374,conflict,128,2,0.0140756016,0.9919709777,0.0055119335,0.0140756196,0.9919720236,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
129,c001732,conflict_377_c001732.wav,377,conflict,129,3,0.9883776422,0.9991577612,0.9763104916,0.9883776119,0.9991587568,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
130,c001737,conflict_377_c001737.wav,377,conflict,130,3,0.9947778182,0.9990266198,0.9899863601,0.9947778025,0.9990278939,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
