id	what	value	lo	hi	n	n_spk	file
3a_pitt_ans_nested	Q3O Pitt ANSWER STATE nested probe AUC (5-repeat mean, stage chosen inside the training folds)	0.8237	0.7827	0.8641	468	228	scores/part16/POD3/q3o_pitt_ans_perlayer.csv
3a_pitt_ans_best_stage	Q3O Pitt ANSWER STATE best single stage = thinker layer 26 (descriptive max, oracle-selected)	0.8485	0.8069	0.8882	468	228	scores/part16/POD3/q3o_pitt_ans_perlayer.csv
3a_pcgita_zeroshot_pod	Q3O PC-GITA zero-shot answer AUC, THIS pod (re-extracted from original audio)	0.6015			1100	100	scores/part16/POD3/q3o_pcgita_zeroshot_scores.csv
3a_pcgita_zeroshot_shipped	Q3O PC-GITA zero-shot answer AUC, SHIPPED file recomputed here	0.5967			1100	100	<local data dir>/Desktop/release/overnight2/q3o_new/q3o_pcgita_zeroshot_scores.csv
3a_attn_sdpa	Q3O Pitt zero-shot AUC, sdpa attention kernel (mechanism test, all else fixed)	0.7673			468	228	scores/part16/POD3/q3o_pitt_attn_backend.csv
3a_attn_eager	Q3O Pitt zero-shot AUC, eager attention kernel (mechanism test, all else fixed)	0.7679			468	228	scores/part16/POD3/q3o_pitt_attn_backend.csv
3a_pcgita_enc_nested	Q3O PC-GITA ENCODER nested probe AUC (5-repeat mean, layer chosen inside the training folds)	0.8969	0.8322	0.9454	1100	100	scores/part16/POD3/q3o_pcgita_encoder_perlayer.csv
3a_pcgita_enc_best_stage	Q3O PC-GITA ENCODER best single stage = audio encoder layer 14 (descriptive max, oracle-selected)	0.9133	0.8519	0.9604	1100	100	scores/part16/POD3/q3o_pcgita_encoder_perlayer.csv
3a_pcgita_proj_nested	Q3O PC-GITA PROJECTOR probe AUC (single point, no layer choice; 0.8872 in memory, see DISCREPANCIES LOW)	0.8873	0.8156	0.9431	1100	100	scores/part16/POD3/q3o_pcgita_proj_perlayer.csv
3a_pcgita_llm_nested	Q3O PC-GITA LANGUAGE MODEL nested probe AUC (5-repeat mean, layer chosen inside the training folds)	0.8772	0.8117	0.9309	1100	100	scores/part16/POD3/q3o_pcgita_llm_perlayer.csv
3a_pcgita_llm_best_stage	Q3O PC-GITA LANGUAGE MODEL best single stage = thinker layer 14 (descriptive max, oracle-selected)	0.8960	0.8341	0.9463	1100	100	scores/part16/POD3/q3o_pcgita_llm_perlayer.csv
3a_pcgita_ans_nested	Q3O PC-GITA ANSWER STATE nested probe AUC (5-repeat mean, stage chosen inside the training folds)	0.8814	0.8171	0.9330	1100	100	scores/part16/POD3/q3o_pcgita_ans_perlayer.csv
3a_pcgita_ans_best_stage	Q3O PC-GITA ANSWER STATE best single stage = thinker layer 15 (descriptive max, oracle-selected)	0.8962	0.8327	0.9452	1100	100	scores/part16/POD3/q3o_pcgita_ans_perlayer.csv
