id,speaker,arm,p_yes,answer_mass,prompt
conflict_314_c000291,314,conflict,0.1646350717,0.9944400787,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_314_c000312,314,conflict,0.7775323345,0.9969728291,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_315_c000333,315,conflict,0.2338562831,0.9951702356,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_315_c000335,315,conflict,0.1825850440,0.9944236130,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_315_c000337,315,conflict,0.3347761292,0.9958234727,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_315_c000344,315,conflict,0.5625022316,0.9940944016,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_315_c000345,315,conflict,0.3632267315,0.9947108328,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_321_c000428,321,conflict,0.0804309329,0.9976887926,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_321_c000434,321,conflict,0.0901496489,0.9977129102,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_321_c000441,321,conflict,0.2815888127,0.9956147075,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_328_c000562,328,conflict,0.1128983397,0.9969263002,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_328_c000563,328,conflict,0.5313417783,0.9965677261,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_328_c000564,328,conflict,0.1404087546,0.9953433573,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_329_c000589,329,conflict,0.0901684959,0.9957356006,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_332_c000642,332,conflict,0.3211562280,0.9971499443,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_332_c000644,332,conflict,0.0804199016,0.9979587793,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_332_c000649,332,conflict,0.9784270053,0.9988666531,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_332_c000654,332,conflict,0.1404228334,0.9960279763,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_332_c000656,332,conflict,0.0534569245,0.9963833541,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_340_c000847,340,conflict,0.1921382054,0.9960407168,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000931,345,conflict,0.0601479693,0.9970084839,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000932,345,conflict,0.1009626522,0.9956635758,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000935,345,conflict,0.3347742413,0.9955287278,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000939,345,conflict,0.1404323205,0.9968944490,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000940,345,conflict,0.0675818528,0.9982322454,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000941,345,conflict,0.1192791775,0.9962380677,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000942,345,conflict,0.0716233631,0.9978473112,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000947,345,conflict,0.8933970095,0.9967130870,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000948,345,conflict,0.1128508637,0.9969247505,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000949,345,conflict,0.2943882133,0.9944805503,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000952,345,conflict,0.8873477783,0.9973188192,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_345_c000953,345,conflict,0.0804013526,0.9969949946,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_346_c000954,346,conflict,0.1009702648,0.9955091104,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_346_c000956,346,conflict,0.2121938549,0.9952246398,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_346_c000957,346,conflict,0.1825620934,0.9961747080,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_346_c000971,346,conflict,0.1920644458,0.9976512343,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_346_c000972,346,conflict,0.4380723364,0.9949108064,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_346_c000982,346,conflict,0.2453061589,0.9958226979,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_346_c000983,346,conflict,0.4533899740,0.9968570769,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_346_c000984,346,conflict,0.1646190156,0.9956249297,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_346_c000986,346,conflict,0.1193222870,0.9975762814,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_348_c001000,348,conflict,0.1129369207,0.9957886711,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_348_c001001,348,conflict,0.1404531727,0.9968741834,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_348_c001005,348,conflict,0.0637557904,0.9982659742,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_348_c001013,348,conflict,0.0503553991,0.9984170869,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_348_c001014,348,conflict,0.2691569505,0.9967297912,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_362_c001260,362,conflict,0.1482180669,0.9956778735,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_362_c001263,362,conflict,0.2570178784,0.9916631281,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_362_c001265,362,conflict,0.2228264806,0.9971480519,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_362_c001268,362,conflict,0.3631180525,0.9933981001,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_363_c001284,363,conflict,0.1128800059,0.9960456789,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_363_c001288,363,conflict,0.5158570497,0.9948789179,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_363_c001290,363,conflict,0.5624633953,0.9958277345,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_363_c001295,363,conflict,0.8873090511,0.9979688674,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_364_c001302,364,conflict,0.1921059835,0.9953411222,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_366_c001423,366,conflict,0.2690572239,0.9974336326,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_366_c001429,366,conflict,0.2122109008,0.9955496490,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_367_c001447,367,conflict,0.0804115555,0.9982677773,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_367_c001473,367,conflict,0.3209797871,0.9965737760,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_367_c001474,367,conflict,0.2569747936,0.9973722398,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_367_c001475,367,conflict,0.1330467305,0.9975186586,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_367_c001477,367,conflict,0.1192717979,0.9973321036,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_370_c001551,370,conflict,0.2018861949,0.9950987995,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_370_c001553,370,conflict,0.3777621850,0.9958253205,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_374_c001666,374,conflict,0.1404564418,0.9956726283,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_374_c001668,374,conflict,0.4534586568,0.9961417317,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_374_c001676,374,conflict,0.4076568337,0.9961026609,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_374_c001684,374,conflict,0.1481701864,0.9962176532,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_377_c001738,377,conflict,0.1067671813,0.9973876923,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_377_c001739,377,conflict,0.1734267827,0.9975972474,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_377_c001742,377,conflict,0.1192680484,0.9977223426,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_377_c001747,377,conflict,0.1192757963,0.9970846027,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_377_c001754,377,conflict,0.1330628911,0.9961612970,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_377_c001763,377,conflict,0.7188567568,0.9980960786,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_377_c001766,377,conflict,0.1825821961,0.9972881675,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_378_c001777,378,conflict,0.2944267192,0.9949485064,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_381_c001881,381,conflict,0.5315004362,0.9965124726,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_381_c001894,381,conflict,0.1920741234,0.9978451133,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_381_c001895,381,conflict,0.1009510785,0.9975754395,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_381_c001896,381,conflict,0.1192697891,0.9975922778,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_381_c001897,381,conflict,0.0474500009,0.9984794520,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_381_c001898,381,conflict,0.2020273898,0.9969025552,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_381_c001900,381,conflict,0.2569954339,0.9973509312,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_381_c001901,381,conflict,0.2452769283,0.9956312329,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_381_c001905,381,conflict,0.1193202264,0.9979097769,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_384_c001964,384,conflict,0.0759349737,0.9962573275,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_384_c001965,384,conflict,0.2019751750,0.9958495498,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_384_c001966,384,conflict,0.1009483473,0.9975549728,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_384_c001984,384,conflict,0.8082049664,0.9972983897,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_384_c001985,384,conflict,0.1330510077,0.9967793375,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_387_c002031,387,conflict,0.3347945938,0.9954771101,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_392_c002122,392,conflict,0.4689776647,0.9954955578,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_403_c002308,403,conflict,0.0851683251,0.9943964183,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_404_c002331,404,conflict,0.1562508292,0.9956554025,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_405_c002350,405,conflict,0.1128820213,0.9970961586,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_405_c002351,405,conflict,0.1404975545,0.9973484725,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_405_c002354,405,conflict,0.1067550186,0.9975158423,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_405_c002356,405,conflict,0.2019694430,0.9957638234,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_405_c002357,405,conflict,0.1825772928,0.9959654361,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_405_c002382,405,conflict,0.2944496047,0.9974277318,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_405_c002386,405,conflict,0.0804044067,0.9982255995,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_405_c002387,405,conflict,0.3925524806,0.9960852563,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_405_c002388,405,conflict,0.1192843791,0.9967619553,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_414_c002579,414,conflict,0.0804200176,0.9955118597,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_414_c002581,414,conflict,0.1646277245,0.9977179021,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_414_c002582,414,conflict,0.0373524446,0.9985198043,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_414_c002583,414,conflict,0.1259941193,0.9971169382,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_414_c002584,414,conflict,0.1192900926,0.9965433925,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_414_c002601,414,conflict,0.2815886095,0.9970042109,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_415_c002616,415,conflict,0.7776221553,0.9971080869,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_415_c002617,415,conflict,0.3778440173,0.9963375032,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_416_c002633,416,conflict,0.3488227688,0.9947501719,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_416_c002642,416,conflict,0.3076253760,0.9961946309,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_419_c002704,419,conflict,0.1562592907,0.9928462952,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_419_c002705,419,conflict,0.2121838237,0.9965440035,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_420_c002726,420,conflict,0.6227654990,0.9976004362,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_420_c002727,420,conflict,0.5470455686,0.9957757592,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_420_c002728,420,conflict,0.7060995545,0.9959862232,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_424_c002834,424,conflict,0.5469759866,0.9966984689,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_424_c002844,424,conflict,0.7664518257,0.9961645454,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_426_c002897,426,conflict,0.2019828489,0.9945565909,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_426_c002898,426,conflict,0.1920714882,0.9962655157,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_426_c002900,426,conflict,0.1260045281,0.9965828210,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_430_c002959,430,conflict,0.2019795090,0.9954758286,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_431_c002992,431,conflict,0.3488307208,0.9942474365,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_432_c003002,432,conflict,0.4848142021,0.9965443611,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_434_c003045,434,conflict,0.2122445688,0.9948577285,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_434_c003046,434,conflict,0.3210148027,0.9948792160,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_434_c003060,434,conflict,0.6793468925,0.9963215292,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_437_c003113,437,conflict,0.3488484413,0.9965463579,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_437_c003122,437,conflict,0.7433109749,0.9973381758,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_438_c003148,438,conflict,0.2019995212,0.9914804697,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_439_c003170,439,conflict,0.4534691555,0.9971690178,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_440_c003182,440,conflict,0.1404955907,0.9973393977,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_440_c003184,440,conflict,0.0901644456,0.9979054928,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_440_c003187,440,conflict,0.1330553819,0.9964040965,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_440_c003208,440,conflict,0.4229503011,0.9942072332,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_441_c003216,441,conflict,0.0566873054,0.9982336946,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_441_c003217,441,conflict,0.2228189473,0.9973894805,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_441_c003232,441,conflict,0.4380042624,0.9969273806,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_445_c003308,445,conflict,0.8934359409,0.9979698434,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_445_c003318,445,conflict,0.2451901562,0.9952068329,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_446_c003330,446,conflict,0.3490193887,0.9962571263,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_448_c003365,448,conflict,0.0954364906,0.9946913496,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_448_c003369,448,conflict,0.1646220652,0.9962936938,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_448_c003378,448,conflict,0.5929351606,0.9967515171,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_448_c003388,448,conflict,0.0804069381,0.9978279769,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_448_c003397,448,conflict,0.1259917564,0.9972708225,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_449_c003413,449,conflict,0.2453003893,0.9952977002,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_451_c003469,451,conflict,0.0901606758,0.9966837019,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_451_c003471,451,conflict,0.3778285223,0.9955922663,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_451_c003475,451,conflict,0.3781009558,0.9964170456,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_452_c003491,452,conflict,0.3213333521,0.9944239259,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_454_c003533,454,conflict,0.2944813264,0.9958355427,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_454_c003538,454,conflict,0.1331212859,0.9968754798,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_457_c003591,457,conflict,0.3927008657,0.9965527058,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_457_c003593,457,conflict,0.4227591849,0.9968050122,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_461_c003661,461,conflict,0.0276019402,0.9982403424,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_461_c003670,461,conflict,0.1646180924,0.9975911677,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_463_c003708,463,conflict,0.7984640016,0.9975096285,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_465_c003761,465,conflict,0.1192917708,0.9959001839,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_465_c003766,465,conflict,0.8176756030,0.9974128604,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_465_c003768,465,conflict,0.6079248855,0.9970703721,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_467_c003828,467,conflict,0.5625039917,0.9957903028,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_468_c003835,468,conflict,0.3777820399,0.9969615042,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_468_c003844,468,conflict,0.3347700780,0.9954126477,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_469_c003874,469,conflict,0.3777226413,0.9945796728,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_469_c003878,469,conflict,0.3924989612,0.9952565432,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_469_c003882,469,conflict,0.5929472326,0.9959628284,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_469_c003883,469,conflict,0.2452876563,0.9959729016,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_470_c003911,470,conflict,0.7313174933,0.9965972006,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_470_c003914,470,conflict,0.2019866006,0.9947005659,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_471_c003927,471,conflict,0.8872722421,0.9963806793,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_471_c003929,471,conflict,0.7433366004,0.9955505431,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_471_c003932,471,conflict,0.2569934829,0.9943798184,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_474_c003971,474,conflict,0.4535024976,0.9953446388,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_474_c003972,474,conflict,0.1920547558,0.9965755343,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_474_c003974,474,conflict,0.5159203006,0.9965272248,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_476_c004000,476,conflict,0.6226307912,0.9969517291,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_477_c004028,477,conflict,0.3778135161,0.9941999614,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_478_c004044,478,conflict,0.2122286242,0.9957708120,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_478_c004055,478,conflict,0.4227120959,0.9952188432,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
conflict_478_c004058,478,conflict,0.8671379359,0.9973921478,"Based only on how this person's voice sounds, does this speaker show signs of depression? Answer with one word, Yes or No."
