file	kind	columns_dropped	rows
scores/part25/C/pod/p25C-2/q2a_kcl_enc_rep5_oof.csv	csv	label	37
scores/part25/C/pod/p25C-2/q2a_pcgita_enc_rep5_oof.csv	csv	label	1100
scores/part25/C/pod/p25C-3/q2a_adresso_enc_rep5_oof.csv	csv	label	237
scores/part25/C/pod/p25C-3/q2a_neurovoz_enc_rep5_oof.csv	csv	label	1270
scores/part25/C/pod/p25C-4/q2a_edaic_enc_rep5_oof.csv	csv	label	275
scores/part25/C/pod/p25C-4/q2a_pitt_enc_rep5_oof.csv	csv	label	468
scores/part25/C/pod/p25C-4/q3o_adress2020_enc_rep5_oof.csv	csv	label	156
scores/part25/C/pod/p25C-4/q3o_adresso_enc_rep5_oof.csv	csv	label	237
scores/part25/C/pod/p25C-4/q3o_kcl_enc_rep5_oof.csv	csv	label	37
scores/part25/C/pod/p25C-5/kimi_adress2020_llm_rep5_oof.csv	csv	label	156
scores/part25/C/pod/p25C-5/kimi_kcl_llm_rep5_oof.csv	csv	label	37
scores/part25/C/pod/p25C-5/q3o_neurovoz_enc_rep5_oof.csv	csv	label	1270
scores/part25/C/pod/p25C-6/kimi_adresso_llm_rep5_oof.csv	csv	label	237
scores/part25/C/pod/p25C-6/kimi_neurovoz_llm_rep5_oof.csv	csv	label	1270
scores/part25/C/pod/p25C-7/kimi_pcgita_llm_rep5_oof.csv	csv	label	1100
scores/part25/C/pod/p25C-8/kimi_edaic_llm_rep5_oof.csv	csv	label	275
scores/part25/C/pod/p25C-8/kimi_pitt_llm_rep5_oof.csv	csv	label	468
scores/part25/C/r2/kimi_enc/perclip/C_r2_kimi_adresso_enc_part26_perclip.csv	csv	label	237
scores/part25/C/r2/kimi_enc/perclip/C_r2_kimi_edaic_enc_part26_perclip.csv	csv	label	275
scores/part25/C/r2/kimi_enc/perclip/C_r2_kimi_kcl_enc_part26_perclip.csv	csv	label	37
scores/part25/C/r2/kimi_enc/perclip/C_r2_kimi_neurovoz_enc_part26_perclip.csv	csv	label	1270
scores/part25/C/r2/kimi_enc/perclip/C_r2_kimi_pcgita_enc_part26_perclip.csv	csv	label	1100
scores/part25/C/r2/kimi_enc/perclip/C_r2_kimi_pitt_enc_part26_perclip.csv	csv	label	468
scores/part25/C/r2/perclip/C_r2_kimi_adress2020_llm_perclip.csv	csv	label	156
scores/part25/C/r2/perclip/C_r2_kimi_adresso_llm_perclip.csv	csv	label	237
scores/part25/C/r2/perclip/C_r2_kimi_edaic_llm_perclip.csv	csv	label	275
scores/part25/C/r2/perclip/C_r2_kimi_kcl_llm_perclip.csv	csv	label	37
scores/part25/C/r2/perclip/C_r2_kimi_neurovoz_llm_perclip.csv	csv	label	1270
scores/part25/C/r2/perclip/C_r2_kimi_pcgita_llm_perclip.csv	csv	label	1100
scores/part25/C/r2/perclip/C_r2_kimi_pitt_llm_perclip.csv	csv	label	468
scores/part25/C/r2/perclip/C_r2_q2a_adress2020_enc_perclip.csv	csv	label	156
scores/part25/C/r2/perclip/C_r2_q2a_adresso_enc_perclip.csv	csv	label	237
scores/part25/C/r2/perclip/C_r2_q2a_edaic_enc_perclip.csv	csv	label	275
scores/part25/C/r2/perclip/C_r2_q2a_kcl_enc_perclip.csv	csv	label	37
scores/part25/C/r2/perclip/C_r2_q2a_neurovoz_enc_perclip.csv	csv	label	1270
scores/part25/C/r2/perclip/C_r2_q2a_pcgita_enc_perclip.csv	csv	label	1100
scores/part25/C/r2/perclip/C_r2_q2a_pitt_enc_perclip.csv	csv	label	468
scores/part25/C/r2/perclip/C_r2_q3o_adress2020_enc_perclip.csv	csv	label	156
scores/part25/C/r2/perclip/C_r2_q3o_adresso_enc_perclip.csv	csv	label	237
scores/part25/C/r2/perclip/C_r2_q3o_edaic_enc_perclip.csv	csv	label	275
scores/part25/C/r2/perclip/C_r2_q3o_kcl_enc_perclip.csv	csv	label	37
scores/part25/C/r2/perclip/C_r2_q3o_neurovoz_enc_perclip.csv	csv	label	1270
scores/part25/C/r2/perclip/C_r2_q3o_pcgita_enc_perclip.csv	csv	label	1100
scores/part25/C/r2/perclip/C_r2_q3o_pitt_enc_perclip.csv	csv	label	468
scores/part25/T5/perclip/T5_perclip_adress2020.csv	csv	label	156
scores/part25/T5/perclip/T5_perclip_adresso.csv	csv	label	237
scores/part25/T5/perclip/T5_perclip_edaic_first30.csv	csv	label	275
scores/part25/T5/perclip/T5_perclip_edaic_full_o25.csv	csv	label	275
scores/part25/T5/perclip/T5_perclip_edaic_full_statesrun.csv	csv	label	275
scores/part25/T5/perclip/T5_perclip_edaic_lifted_p22.csv	csv	label	275
scores/part25/T5/perclip/T5_perclip_edaic_whole_p23.csv	csv	label	275
scores/part25/T5/perclip/T5_perclip_kcl.csv	csv	label	37
scores/part25/T5/perclip/T5_perclip_neurovoz.csv	csv	label	1270
scores/part25/T5/perclip/T5_perclip_pcgita.csv	csv	label	1100
scores/part25/T5/perclip/T5_perclip_pitt.csv	csv	label	468
