model	dataset	condition	master_json	tsv_probe_master	json_probe_mean	json_per_repeat	json_mean_matches_tsv	tsv_zs_master	zs_recomputed	zs_matches	zs_n	zs_file	tsv_diff_lo	tsv_diff_hi	tsv_point	tsv_probe_source	probe_file	probe_md5	kind	n_probe	n_joined	n_spk	labels_agree	per_repeat_recomputed	probe_recomputed	per_repeat_matches_json	probe_mean_matches_master	point_diff	key	diff_lo	diff_hi	boot_usable	excludes_zero	probe_above_answer
Qwen2-Audio	E-DAIC	MDD	<local data dir>/paper1_local_runs/omni_final/q2a_edaic_nested_repeats.json	0.5673	0.5673	[0.513, 0.6021, 0.5555, 0.5558, 0.6098]	yes	0.6464	0.6464	yes	275	<local data dir>/paper1_local_runs/probe2/edaic_zeroshot_scores.csv	-0.1586	0.0476	-0.0527	<local data dir>/paper1_local_runs/probe2/edaic_enc_nested_oof.csv	scores/part25/C/pull/p25C-4/out/q2a_edaic_enc_rep5_oof.csv	544100cf538c3786c34bfde4484654b1	rep5	275	275	275	yes	[0.513, 0.6021, 0.5555, 0.5558, 0.6098]	0.5673	yes	yes	-0.0791	q2a_edaic_11	-0.1664	0.012	2000	no	no
Qwen2-Audio	Pitt	AD	<local data dir>/paper1_local_runs/omni_final/q2a_pitt_nested_repeats.json	0.7846	0.7846	[0.7689, 0.7881, 0.7695, 0.8084, 0.7883]	yes	0.6173	0.6173	yes	468	<local data dir>/paper1_local_runs/probe2/pitt_zeroshot_scores.csv	0.1127	0.2609	0.1867	<local data dir>/paper1_local_runs/probe2/pitt_enc_nested_oof.csv	<local data dir>/paper1_local_runs/probe2/pitt_enc_nested_oof.csv	86a6e6029853b2672263e7f27f7e6359	single	468	468	228	yes	[0.804]	0.804		NO	0.1867	q2a_pitt_12	0.1127	0.2609	2000	yes	yes
Qwen2-Audio	Pitt	AD	<local data dir>/paper1_local_runs/omni_final/q2a_pitt_nested_repeats.json	0.7846	0.7846	[0.7689, 0.7881, 0.7695, 0.8084, 0.7883]	yes	0.6173	0.6173	yes	468	<local data dir>/paper1_local_runs/probe2/pitt_zeroshot_scores.csv	0.1127	0.2609	0.1867	<local data dir>/paper1_local_runs/probe2/pitt_enc_nested_oof.csv	<local data dir>/paper1_local_runs/probe2/pod_runs/pitt_enc_nested_oof.csv	86a6e6029853b2672263e7f27f7e6359	single	468	468	228	yes	[0.804]	0.804		NO	0.1867	q2a_pitt_13	0.1127	0.2609	2000	yes	yes
Qwen2-Audio	Pitt	AD	<local data dir>/paper1_local_runs/omni_final/q2a_pitt_nested_repeats.json	0.7846	0.7846	[0.7689, 0.7881, 0.7695, 0.8084, 0.7883]	yes	0.6173	0.6173	yes	468	<local data dir>/paper1_local_runs/probe2/pitt_zeroshot_scores.csv	0.1127	0.2609	0.1867	<local data dir>/paper1_local_runs/probe2/pitt_enc_nested_oof.csv	scores/part25/C/pull/p25C-4/out/q2a_pitt_enc_rep5_oof.csv	058f74fffe71d7a564524cbce2eaf5ca	rep5	468	468	228	yes	[0.7689, 0.7881, 0.7695, 0.8084, 0.7883]	0.7846	yes	yes	0.1673	q2a_pitt_14	0.0944	0.2432	2000	yes	yes
Qwen2-Audio	ADReSSo	AD	<local data dir>/paper1_local_runs/omni_final/q2a_adresso_nested_repeats.json	0.8537	0.8537	[0.8629, 0.8388, 0.8548, 0.8546, 0.8572]	yes	0.6649	0.6649	yes	237	<local data dir>/paper1_local_runs/probe2/adresso_zeroshot_scores.csv	0.1177	0.2763	0.1942	<local data dir>/paper1_local_runs/probe2/adresso_enc_nested_oof.csv	<local data dir>/paper1_local_runs/probe2/adresso_enc_nested_oof.csv	448ec9adb17fedad2d7fa8aa6fa94ddc	single	237	237	237	yes	[0.859]	0.859		NO	0.1942	q2a_adresso_15	0.1177	0.2763	2000	yes	yes
Qwen2-Audio	ADReSSo	AD	<local data dir>/paper1_local_runs/omni_final/q2a_adresso_nested_repeats.json	0.8537	0.8537	[0.8629, 0.8388, 0.8548, 0.8546, 0.8572]	yes	0.6649	0.6649	yes	237	<local data dir>/paper1_local_runs/probe2/adresso_zeroshot_scores.csv	0.1177	0.2763	0.1942	<local data dir>/paper1_local_runs/probe2/adresso_enc_nested_oof.csv	scores/part25/C/pull/p25C-3/out/q2a_adresso_enc_rep5_oof.csv	286f540dda87d89734834c0ea46c61a4	rep5	237	237	237	yes	[0.8629, 0.8388, 0.8548, 0.8546, 0.8572]	0.8537	yes	yes	0.1888	q2a_adresso_16	0.1154	0.2682	2000	yes	yes
Qwen2-Audio	ADReSS-2020	AD	<local data dir>/paper1_local_runs/omni_final/q2a_adress2020_nested_repeats.json	0.8315	0.8315	[0.8149, 0.82, 0.8284, 0.8659, 0.8284]	yes	0.6824	0.6824	yes	156	<local data dir>/paper1_local_runs/probe2/adress2020_zeroshot_scores.csv	0.0275	0.2276	0.1254	<local data dir>/paper1_local_runs/probe2/adress2020_enc_nested_oof.csv	<local data dir>/paper1_local_runs/probe2/adress2020_enc_nested_oof.csv	c74242572e41216caadfa4fc25e84f53	single	156	156	156	yes	[0.8079]	0.8079		NO	0.1254	q2a_adress2020_17	0.0275	0.2276	2000	yes	yes
Qwen2-Audio	ADReSS-2020	AD	<local data dir>/paper1_local_runs/omni_final/q2a_adress2020_nested_repeats.json	0.8315	0.8315	[0.8149, 0.82, 0.8284, 0.8659, 0.8284]	yes	0.6824	0.6824	yes	156	<local data dir>/paper1_local_runs/probe2/adress2020_zeroshot_scores.csv	0.0275	0.2276	0.1254	<local data dir>/paper1_local_runs/probe2/adress2020_enc_nested_oof.csv	scores/part25/C/pull/p25C-2/out/q2a_adress2020_enc_rep5_oof.csv	5bc5353e233e928fedf92583389c299b	rep5	156	156	156	yes	[0.8149, 0.82, 0.8284, 0.8659, 0.8284]	0.8315	yes	yes	0.1491	q2a_adress2020_18	0.064	0.2368	2000	yes	yes
Qwen3-Omni-30B-A3B	PC-GITA	PD	<local data dir>/release/overnight2/q3o_new/q3o_pcgita_nested_repeats.json	0.8969	0.8969	[0.9235, 0.8703, 0.8745, 0.8976, 0.9187]	yes	0.5967	0.5967	yes	1100	<local data dir>/release/overnight2/q3o_new/q3o_pcgita_zeroshot_scores.csv	0.2298	0.3695	0.3002	<local data dir>/release/edaic_rerun/part16/POD3/q3o_pcgita_encoder_nested_oof.csv	<local data dir>/release/overnight2/q3o_new/q3o_pcgita_enc_nested_oof.csv	d04a66f834f0795dbbb2c614a76caffe	single	1100	1100	100	yes	[0.9091]	0.9091		NO	0.3123	q3o_pcgita_19	0.2341	0.3894	2000	yes	yes
Qwen3-Omni-30B-A3B	PC-GITA	PD	<local data dir>/release/overnight2/q3o_new/q3o_pcgita_nested_repeats.json	0.8969	0.8969	[0.9235, 0.8703, 0.8745, 0.8976, 0.9187]	yes	0.5967	0.5967	yes	1100	<local data dir>/release/overnight2/q3o_new/q3o_pcgita_zeroshot_scores.csv	0.2298	0.3695	0.3002	<local data dir>/release/edaic_rerun/part16/POD3/q3o_pcgita_encoder_nested_oof.csv	<local data dir>/release/podD2_final/out/q3o_pcgita_enc_nested_oof.csv	d04a66f834f0795dbbb2c614a76caffe	single	1100	1100	100	yes	[0.9091]	0.9091		NO	0.3123	q3o_pcgita_20	0.2341	0.3894	2000	yes	yes
Qwen3-Omni-30B-A3B	PC-GITA	PD	<local data dir>/release/overnight2/q3o_new/q3o_pcgita_nested_repeats.json	0.8969	0.8969	[0.9235, 0.8703, 0.8745, 0.8976, 0.9187]	yes	0.5967	0.5967	yes	1100	<local data dir>/release/overnight2/q3o_new/q3o_pcgita_zeroshot_scores.csv	0.2298	0.3695	0.3002	<local data dir>/release/edaic_rerun/part16/POD3/q3o_pcgita_encoder_nested_oof.csv	<local data dir>/release/edaic_rerun/part16/POD3/q3o_pcgita_encoder_nested_oof.csv	345e3329fedf15bdd459f3d7a1251112	rep5	1100	1100	100	yes	[0.9223, 0.8697, 0.8742, 0.8988, 0.9196]	0.8969	NO	yes	0.3002	q3o_pcgita_21	0.2298	0.3695	2000	yes	yes
Qwen3-Omni-30B-A3B	PC-GITA	PD	<local data dir>/release/overnight2/q3o_new/q3o_pcgita_nested_repeats.json	0.8969	0.8969	[0.9235, 0.8703, 0.8745, 0.8976, 0.9187]	yes	0.5967	0.5967	yes	1100	<local data dir>/release/overnight2/q3o_new/q3o_pcgita_zeroshot_scores.csv	0.2298	0.3695	0.3002	<local data dir>/release/edaic_rerun/part16/POD3/q3o_pcgita_encoder_nested_oof.csv	<local data dir>/release/edaic_rerun/part16/POD3/out/q3o_pcgita_encoder_nested_oof.csv	345e3329fedf15bdd459f3d7a1251112	rep5	1100	1100	100	yes	[0.9223, 0.8697, 0.8742, 0.8988, 0.9196]	0.8969	NO	yes	0.3002	q3o_pcgita_22	0.2298	0.3695	2000	yes	yes
Qwen3-Omni-30B-A3B	NeuroVoz	PD	<local data dir>/release/overnight2/q3o_new/q3o_neurovoz_nested_repeats.json	0.9372	0.9372	[0.9329, 0.937, 0.9414, 0.9372, 0.9377]	yes	0.6393	0.6393	yes	1270	<local data dir>/release/overnight2/q3o_new/q3o_neurovoz_zeroshot_scores.csv	0.2146	0.3433	0.2803	<local data dir>/release/overnight2/q3o_new/q3o_neurovoz_enc_nested_oof.csv	<local data dir>/release/overnight2/q3o_new/q3o_neurovoz_enc_nested_oof.csv	7e2109cc083137b9ceb4e705bbcc9876	single	1270	1270	107	yes	[0.9196]	0.9196		NO	0.2803	q3o_neurovoz_23	0.2146	0.3433	2000	yes	yes
Qwen3-Omni-30B-A3B	NeuroVoz	PD	<local data dir>/release/overnight2/q3o_new/q3o_neurovoz_nested_repeats.json	0.9372	0.9372	[0.9329, 0.937, 0.9414, 0.9372, 0.9377]	yes	0.6393	0.6393	yes	1270	<local data dir>/release/overnight2/q3o_new/q3o_neurovoz_zeroshot_scores.csv	0.2146	0.3433	0.2803	<local data dir>/release/overnight2/q3o_new/q3o_neurovoz_enc_nested_oof.csv	<local data dir>/release/podD2_final/out/q3o_neurovoz_enc_nested_oof.csv	7e2109cc083137b9ceb4e705bbcc9876	single	1270	1270	107	yes	[0.9196]	0.9196		NO	0.2803	q3o_neurovoz_24	0.2146	0.3433	2000	yes	yes
Qwen3-Omni-30B-A3B	NeuroVoz	PD	<local data dir>/release/overnight2/q3o_new/q3o_neurovoz_nested_repeats.json	0.9372	0.9372	[0.9329, 0.937, 0.9414, 0.9372, 0.9377]	yes	0.6393	0.6393	yes	1270	<local data dir>/release/overnight2/q3o_new/q3o_neurovoz_zeroshot_scores.csv	0.2146	0.3433	0.2803	<local data dir>/release/overnight2/q3o_new/q3o_neurovoz_enc_nested_oof.csv	scores/part25/C/pull/p25C-5/out/q3o_neurovoz_enc_rep5_oof.csv	322cb247fdbcebbe67cb8aa1943d9051	rep5	1270	1270	107	yes	[0.9329, 0.937, 0.9414, 0.9372, 0.9377]	0.9372	yes	yes	0.298	q3o_neurovoz_25	0.236	0.3578	2000	yes	yes
Qwen3-Omni-30B-A3B	MDVR-KCL	PD	<local data dir>/release/overnight2/q3o_new/q3o_kcl_nested_repeats.json	0.7661	0.7661	[0.7946, 0.8512, 0.6815, 0.7351, 0.7679]	yes	0.7738	0.7738	yes	37	<local data dir>/release/overnight2/q3o_new/q3o_kcl_zeroshot_scores.csv	-0.13	0.1369	-0.0	<local data dir>/release/overnight2/q3o_new/q3o_kcl_enc_nested_oof.csv	<local data dir>/release/overnight2/q3o_new/q3o_kcl_enc_nested_oof.csv	db800af36637abd1fbe4cb550bb0bd76	single	37	37	37	yes	[0.7738]	0.7738		NO	-0.0	q3o_kcl_26	-0.13	0.1369	2000	no	no
Qwen3-Omni-30B-A3B	MDVR-KCL	PD	<local data dir>/release/overnight2/q3o_new/q3o_kcl_nested_repeats.json	0.7661	0.7661	[0.7946, 0.8512, 0.6815, 0.7351, 0.7679]	yes	0.7738	0.7738	yes	37	<local data dir>/release/overnight2/q3o_new/q3o_kcl_zeroshot_scores.csv	-0.13	0.1369	-0.0	<local data dir>/release/overnight2/q3o_new/q3o_kcl_enc_nested_oof.csv	<local data dir>/release/podD2_final/out/q3o_kcl_enc_nested_oof.csv	db800af36637abd1fbe4cb550bb0bd76	single	37	37	37	yes	[0.7738]	0.7738		NO	-0.0	q3o_kcl_27	-0.13	0.1369	2000	no	no
Qwen3-Omni-30B-A3B	MDVR-KCL	PD	<local data dir>/release/overnight2/q3o_new/q3o_kcl_nested_repeats.json	0.7661	0.7661	[0.7946, 0.8512, 0.6815, 0.7351, 0.7679]	yes	0.7738	0.7738	yes	37	<local data dir>/release/overnight2/q3o_new/q3o_kcl_zeroshot_scores.csv	-0.13	0.1369	-0.0	<local data dir>/release/overnight2/q3o_new/q3o_kcl_enc_nested_oof.csv	scores/part25/C/pull/p25C-4/out/q3o_kcl_enc_rep5_oof.csv	35e72ce5b2d211165175e961b6910e72	rep5	37	37	37	yes	[0.7946, 0.8512, 0.6815, 0.7351, 0.7679]	0.7661	yes	yes	-0.0077	q3o_kcl_28	-0.1618	0.1385	2000	no	no
Qwen3-Omni-30B-A3B	E-DAIC	MDD	<local data dir>/release/overnight2/final/q3o_edaic_nested_repeats.json	0.5828	0.5828	[0.538, 0.6103, 0.5941, 0.6149, 0.5567]	yes	0.629	0.629	yes	275	<local data dir>/release/overnight2/q3o_new/q3o_edaic_zeroshot_scores.csv	-0.1532	0.0656	-0.0447	<local data dir>/release/overnight2/q3o_new/q3o_edaic_enc_nested_oof.csv	<local data dir>/release/overnight2/q3o_new/q3o_edaic_enc_nested_oof.csv	24e3f67f74562dac04de565984ba3fdd	single	275	275	275	yes	[0.5844]	0.5844		NO	-0.0447	q3o_edaic_29	-0.1532	0.0656	2000	no	no
Qwen3-Omni-30B-A3B	E-DAIC	MDD	<local data dir>/release/overnight2/final/q3o_edaic_nested_repeats.json	0.5828	0.5828	[0.538, 0.6103, 0.5941, 0.6149, 0.5567]	yes	0.629	0.629	yes	275	<local data dir>/release/overnight2/q3o_new/q3o_edaic_zeroshot_scores.csv	-0.1532	0.0656	-0.0447	<local data dir>/release/overnight2/q3o_new/q3o_edaic_enc_nested_oof.csv	<local data dir>/release/podD2_final/out/q3o_edaic_enc_nested_oof.csv	24e3f67f74562dac04de565984ba3fdd	single	275	275	275	yes	[0.5844]	0.5844		NO	-0.0447	q3o_edaic_30	-0.1532	0.0656	2000	no	no
Qwen3-Omni-30B-A3B	Pitt	AD	<local data dir>/release/edaic_rerun/part16/pod_sync/q3o_pitt_nested_repeats.json	0.8122	0.8122	[0.8199, 0.8016, 0.8142, 0.8342, 0.7914]	yes	0.7619	0.7619	yes	468	<local data dir>/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv	-0.0087	0.1095	0.0503	<local data dir>/release/edaic_rerun/part16/POD3/q3o_pitt_encoder_nested_oof.csv	<local data dir>/release/overnight2/q3o_new/q3o_pitt_enc_nested_oof.csv	b9cc4506ae2801b75483f5da59d18c54	single	468	468	228	yes	[0.8442]	0.8442		NO	0.0822	q3o_pitt_31	0.0212	0.1489	2000	yes	yes
Qwen3-Omni-30B-A3B	Pitt	AD	<local data dir>/release/edaic_rerun/part16/pod_sync/q3o_pitt_nested_repeats.json	0.8122	0.8122	[0.8199, 0.8016, 0.8142, 0.8342, 0.7914]	yes	0.7619	0.7619	yes	468	<local data dir>/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv	-0.0087	0.1095	0.0503	<local data dir>/release/edaic_rerun/part16/POD3/q3o_pitt_encoder_nested_oof.csv	<local data dir>/release/podD2_final/out/q3o_pitt_enc_nested_oof.csv	b9cc4506ae2801b75483f5da59d18c54	single	468	468	228	yes	[0.8442]	0.8442		NO	0.0822	q3o_pitt_32	0.0212	0.1489	2000	yes	yes
Qwen3-Omni-30B-A3B	Pitt	AD	<local data dir>/release/edaic_rerun/part16/pod_sync/q3o_pitt_nested_repeats.json	0.8122	0.8122	[0.8199, 0.8016, 0.8142, 0.8342, 0.7914]	yes	0.7619	0.7619	yes	468	<local data dir>/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv	-0.0087	0.1095	0.0503	<local data dir>/release/edaic_rerun/part16/POD3/q3o_pitt_encoder_nested_oof.csv	<local data dir>/release/edaic_rerun/part16/POD3/q3o_pitt_encoder_nested_oof.csv	de514c97135560e22ad3e5761cc37104	rep5	468	468	228	yes	[0.8199, 0.8016, 0.8142, 0.8342, 0.7914]	0.8122	yes	yes	0.0503	q3o_pitt_33	-0.0087	0.1095	2000	no	yes
Qwen3-Omni-30B-A3B	Pitt	AD	<local data dir>/release/edaic_rerun/part16/pod_sync/q3o_pitt_nested_repeats.json	0.8122	0.8122	[0.8199, 0.8016, 0.8142, 0.8342, 0.7914]	yes	0.7619	0.7619	yes	468	<local data dir>/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv	-0.0087	0.1095	0.0503	<local data dir>/release/edaic_rerun/part16/POD3/q3o_pitt_encoder_nested_oof.csv	<local data dir>/release/edaic_rerun/part16/POD3/out/q3o_pitt_encoder_nested_oof.csv	de514c97135560e22ad3e5761cc37104	rep5	468	468	228	yes	[0.8199, 0.8016, 0.8142, 0.8342, 0.7914]	0.8122	yes	yes	0.0503	q3o_pitt_34	-0.0087	0.1095	2000	no	yes
Qwen3-Omni-30B-A3B	ADReSSo	AD	<local data dir>/release/overnight2/q3o_new/q3o_adresso_nested_repeats.json	0.875	0.875	[0.8758, 0.8657, 0.8778, 0.8721, 0.8835]	yes	0.7774	0.7774	yes	237	<local data dir>/release/overnight2/q3o_new/q3o_adresso_zeroshot_scores.csv	0.0259	0.165	0.0944	<local data dir>/release/overnight2/q3o_new/q3o_adresso_enc_nested_oof.csv	<local data dir>/release/overnight2/q3o_new/q3o_adresso_enc_nested_oof.csv	aa4a59a11eade3109ee4d86bd5d9f62c	single	237	237	237	yes	[0.8718]	0.8718		NO	0.0944	q3o_adresso_35	0.0259	0.165	2000	yes	yes
Qwen3-Omni-30B-A3B	ADReSSo	AD	<local data dir>/release/overnight2/q3o_new/q3o_adresso_nested_repeats.json	0.875	0.875	[0.8758, 0.8657, 0.8778, 0.8721, 0.8835]	yes	0.7774	0.7774	yes	237	<local data dir>/release/overnight2/q3o_new/q3o_adresso_zeroshot_scores.csv	0.0259	0.165	0.0944	<local data dir>/release/overnight2/q3o_new/q3o_adresso_enc_nested_oof.csv	<local data dir>/release/podD2_final/out/q3o_adresso_enc_nested_oof.csv	aa4a59a11eade3109ee4d86bd5d9f62c	single	237	237	237	yes	[0.8718]	0.8718		NO	0.0944	q3o_adresso_36	0.0259	0.165	2000	yes	yes
Qwen3-Omni-30B-A3B	ADReSSo	AD	<local data dir>/release/overnight2/q3o_new/q3o_adresso_nested_repeats.json	0.875	0.875	[0.8758, 0.8657, 0.8778, 0.8721, 0.8835]	yes	0.7774	0.7774	yes	237	<local data dir>/release/overnight2/q3o_new/q3o_adresso_zeroshot_scores.csv	0.0259	0.165	0.0944	<local data dir>/release/overnight2/q3o_new/q3o_adresso_enc_nested_oof.csv	scores/part25/C/pull/p25C-4/out/q3o_adresso_enc_rep5_oof.csv	4fc66efe3b3e45eb917c37dd65aca086	rep5	237	237	237	yes	[0.8758, 0.8657, 0.8778, 0.8721, 0.8835]	0.875	yes	yes	0.0976	q3o_adresso_37	0.0362	0.1616	2000	yes	yes
