key,model,dataset,stream/arm,value,lo,hi,n,n_spk,estimator,file,source_table,verified_tonight,stream,arm,status,status_note,description,is_delta,file_exists,file_as_recorded,path_rewritten,row_id,metric,level
Kimi-Audio|adress2020|zero_shot|all,Kimi-Audio,adress2020,zero_shot/all,0.7053,,,156,,"zero shot, 30 s window",<local data dir>/release/overnight2/kimi_new/kimi_adress2020_zeroshot.json,master_lookup,no,zero_shot,all,current,,Kimi-Audio adress2020 zero shot answer,no,yes,<local data dir>/release/overnight2/kimi_new/kimi_adress2020_zeroshot.json,no,master_lookup.csv:20,auc,clip
Kimi-Audio|adresso|lm_probe|all,Kimi-Audio,adresso,lm_probe/all,0.8993,,,237,,"five split nested, mean of 5 repeats",<local data dir>/release/overnight2/kimi_new/kimi_adresso_nested_repeats.json,master_lookup,no,lm_probe,all,current,,Kimi-Audio adresso LM probe,no,yes,<local data dir>/release/overnight2/kimi_new/kimi_adresso_nested_repeats.json,no,master_lookup.csv:21,auc,clip
Kimi-Audio|adresso|answer_state_probe|all,Kimi-Audio,adresso,answer_state_probe/all,0.8651,,,237,,"five split nested, mean of 5 repeats",<local data dir>/release/overnight2/kimi_new/kimi_adresso_nested_repeats.json,master_lookup,no,answer_state_probe,all,current,,Kimi-Audio adresso answer-state probe,no,yes,<local data dir>/release/overnight2/kimi_new/kimi_adresso_nested_repeats.json,no,master_lookup.csv:22,auc,clip
Kimi-Audio|adresso|zero_shot|all,Kimi-Audio,adresso,zero_shot/all,0.7531,,,237,,"zero shot, 30 s window",<local data dir>/release/overnight2/kimi_new/kimi_adresso_zeroshot.json,master_lookup,no,zero_shot,all,current,,Kimi-Audio adresso zero shot answer,no,yes,<local data dir>/release/overnight2/kimi_new/kimi_adresso_zeroshot.json,no,master_lookup.csv:23,auc,clip
Kimi-Audio|edaic|lm_probe|all,Kimi-Audio,edaic,lm_probe/all,0.484,,,275,,"five split nested, mean of 5 repeats",<local data dir>/release/overnight2/part3/kimi_edaic_nested_repeats.json,master_lookup,no,lm_probe,all,current,,Kimi-Audio edaic LM probe,no,yes,<local data dir>/release/overnight2/part3/kimi_edaic_nested_repeats.json,no,master_lookup.csv:24,auc,clip
Kimi-Audio|edaic|answer_state_probe|all,Kimi-Audio,edaic,answer_state_probe/all,0.4916,,,275,,"five split nested, mean of 5 repeats",<local data dir>/release/overnight2/part3/kimi_edaic_nested_repeats.json,master_lookup,no,answer_state_probe,all,current,,Kimi-Audio edaic answer-state probe,no,yes,<local data dir>/release/overnight2/part3/kimi_edaic_nested_repeats.json,no,master_lookup.csv:25,auc,clip
Kimi-Audio|edaic|zero_shot|all,Kimi-Audio,edaic,zero_shot/all,0.6293,,,275,,"zero shot, 30 s window",<local data dir>/release/overnight2/part3/kimi_edaic_zeroshot.json,master_lookup,no,zero_shot,all,current,,Kimi-Audio edaic zero shot answer,no,yes,<local data dir>/release/overnight2/part3/kimi_edaic_zeroshot.json,no,master_lookup.csv:26,auc,clip
Kimi-Audio|edaic_conflict_390|zero_shot|all,Kimi-Audio,edaic_conflict_390,zero_shot/all,0.6899,,,390,,"zero shot, 30 s window, voice prompt, 390 manifest rows",<local data dir>/release/edaic_conflict_new/kimi/kimi_edaic_conflict_zeroshot_scores.csv,master_lookup,no,zero_shot,all,current,,Kimi-Audio edaic_conflict zero shot answer,no,yes,<local data dir>/release/edaic_conflict_new/kimi/kimi_edaic_conflict_zeroshot_scores.csv,no,master_lookup.csv:27,auc,clip
Kimi-Audio|kcl|lm_probe|all,Kimi-Audio,kcl,lm_probe/all,0.731,,,37,,"five split nested, mean of 5 repeats",<local data dir>/release/overnight2/kimi_new/kimi_kcl_nested_repeats.json,master_lookup,no,lm_probe,all,current,,Kimi-Audio kcl LM probe,no,yes,<local data dir>/release/overnight2/kimi_new/kimi_kcl_nested_repeats.json,no,master_lookup.csv:28,auc,clip
Kimi-Audio|kcl|answer_state_probe|all,Kimi-Audio,kcl,answer_state_probe/all,0.7292,,,37,,"five split nested, mean of 5 repeats",<local data dir>/release/overnight2/kimi_new/kimi_kcl_nested_repeats.json,master_lookup,no,answer_state_probe,all,current,,Kimi-Audio kcl answer-state probe,no,yes,<local data dir>/release/overnight2/kimi_new/kimi_kcl_nested_repeats.json,no,master_lookup.csv:29,auc,clip
Kimi-Audio|kcl|zero_shot|all,Kimi-Audio,kcl,zero_shot/all,0.7113,,,37,,"zero shot, 30 s window",<local data dir>/release/overnight2/kimi_new/kimi_kcl_zeroshot.json,master_lookup,no,zero_shot,all,current,,Kimi-Audio kcl zero shot answer,no,yes,<local data dir>/release/overnight2/kimi_new/kimi_kcl_zeroshot.json,no,master_lookup.csv:30,auc,clip
Kimi-Audio|neurovoz|lm_probe|all,Kimi-Audio,neurovoz,lm_probe/all,0.9334,,,1270,,"five split nested, mean of 5 repeats",<local data dir>/release/overnight2/kimi_new/kimi_neurovoz_nested_repeats.json,master_lookup,no,lm_probe,all,current,,Kimi-Audio neurovoz LM probe,no,yes,<local data dir>/release/overnight2/kimi_new/kimi_neurovoz_nested_repeats.json,no,master_lookup.csv:31,auc,clip
Kimi-Audio|neurovoz|answer_state_probe|all,Kimi-Audio,neurovoz,answer_state_probe/all,0.9195,,,1270,,"five split nested, mean of 5 repeats",<local data dir>/release/overnight2/kimi_new/kimi_neurovoz_nested_repeats.json,master_lookup,no,answer_state_probe,all,current,,Kimi-Audio neurovoz answer-state probe,no,yes,<local data dir>/release/overnight2/kimi_new/kimi_neurovoz_nested_repeats.json,no,master_lookup.csv:32,auc,clip
Kimi-Audio|neurovoz|zero_shot|all,Kimi-Audio,neurovoz,zero_shot/all,0.6204,,,1270,,"zero shot, 30 s window",<local data dir>/release/overnight2/kimi_new/kimi_neurovoz_zeroshot.json,master_lookup,no,zero_shot,all,current,,Kimi-Audio neurovoz zero shot answer,no,yes,<local data dir>/release/overnight2/kimi_new/kimi_neurovoz_zeroshot.json,no,master_lookup.csv:33,auc,clip
Kimi-Audio|pcgita|lm_probe|all,Kimi-Audio,pcgita,lm_probe/all,0.8715,,,1100,,"five split nested, mean of 5 repeats",<local data dir>/release/overnight2/part3/kimi_pcgita_nested_repeats.json,master_lookup,no,lm_probe,all,current,,Kimi-Audio pcgita LM probe,no,yes,<local data dir>/release/overnight2/part3/kimi_pcgita_nested_repeats.json,no,master_lookup.csv:34,auc,clip
Kimi-Audio|pcgita|answer_state_probe|all,Kimi-Audio,pcgita,answer_state_probe/all,0.8616,,,1100,,"five split nested, mean of 5 repeats",<local data dir>/release/overnight2/part3/kimi_pcgita_nested_repeats.json,master_lookup,no,answer_state_probe,all,current,,Kimi-Audio pcgita answer-state probe,no,yes,<local data dir>/release/overnight2/part3/kimi_pcgita_nested_repeats.json,no,master_lookup.csv:35,auc,clip
Kimi-Audio|pcgita|zero_shot|all,Kimi-Audio,pcgita,zero_shot/all,0.6147,,,1100,,"zero shot, 30 s window",<local data dir>/release/overnight2/part3/kimi_pcgita_zeroshot.json,master_lookup,no,zero_shot,all,current,,Kimi-Audio pcgita zero shot answer,no,yes,<local data dir>/release/overnight2/part3/kimi_pcgita_zeroshot.json,no,master_lookup.csv:36,auc,clip
Kimi-Audio|pitt|lm_probe|all,Kimi-Audio,pitt,lm_probe/all,0.8374,,,468,,"five split nested, mean of 5 repeats",<local data dir>/release/overnight2/part3/kimi_pitt_nested_repeats.json,master_lookup,no,lm_probe,all,current,,Kimi-Audio pitt LM probe,no,yes,<local data dir>/release/overnight2/part3/kimi_pitt_nested_repeats.json,no,master_lookup.csv:37,auc,clip
Kimi-Audio|pitt|answer_state_probe|all,Kimi-Audio,pitt,answer_state_probe/all,0.7975,,,468,,"five split nested, mean of 5 repeats",<local data dir>/release/overnight2/part3/kimi_pitt_nested_repeats.json,master_lookup,no,answer_state_probe,all,current,,Kimi-Audio pitt answer-state probe,no,yes,<local data dir>/release/overnight2/part3/kimi_pitt_nested_repeats.json,no,master_lookup.csv:38,auc,clip
Kimi-Audio|pitt|zero_shot|all,Kimi-Audio,pitt,zero_shot/all,0.718,,,468,,"zero shot, 30 s window; canonical Kimi-Audio Pitt file (authors' decision 2026-09-23); conflict arm 0.7197 and agreement arm 0.7227 from the same file (rows pitt_conflict / pitt_agreement) [SUPERSEDES overnight/kimi/kimi_pitt_zeroshot_scores.csv: pooled 0.6964, conflict 0.7078, agreement 0.7014; source was overnight2/part3/kimi_pitt_zeroshot.json, same run, now the per-clip csv]",<local data dir>/release/overnight2/part3/kimi_pitt_zeroshot_scores.csv,master_lookup,no,zero_shot,all,current,,Kimi-Audio pitt zero shot answer,no,yes,<local data dir>/release/overnight2/part3/kimi_pitt_zeroshot_scores.csv,no,master_lookup.csv:39,auc,clip
Qwen2-Audio|adress2020|lm_probe|all,Qwen2-Audio,adress2020,lm_probe/all,0.8884,,,156,,"five split nested, mean of 5 repeats",<local data dir>/paper work/paper1_local_runs/omni_final/q2a_adress2020_nested_repeats.json,master_lookup,no,lm_probe,all,current,,Qwen2-Audio adress2020 LM probe,no,yes,<local data dir>/paper1_local_runs/omni_final/q2a_adress2020_nested_repeats.json,yes,master_lookup.csv:40,auc,clip
Qwen2-Audio|adress2020|answer_state_probe|all,Qwen2-Audio,adress2020,answer_state_probe/all,0.8695,,,156,,"five split nested, mean of 5 repeats",<local data dir>/paper work/paper1_local_runs/omni_final/q2a_adress2020_nested_repeats.json,master_lookup,no,answer_state_probe,all,current,,Qwen2-Audio adress2020 answer-state probe,no,yes,<local data dir>/paper1_local_runs/omni_final/q2a_adress2020_nested_repeats.json,yes,master_lookup.csv:41,auc,clip
Qwen2-Audio|adress2020|encoder_probe|all,Qwen2-Audio,adress2020,encoder_probe/all,0.8315,,,156,,"five split nested, mean of 5 repeats",<local data dir>/paper work/paper1_local_runs/omni_final/q2a_adress2020_nested_repeats.json,master_lookup,no,encoder_probe,all,current,,Qwen2-Audio adress2020 encoder probe,no,yes,<local data dir>/paper1_local_runs/omni_final/q2a_adress2020_nested_repeats.json,yes,master_lookup.csv:42,auc,clip
Qwen2-Audio|adress2020|transcript|all,Qwen2-Audio,adress2020,transcript/all,0.7383,,,156,,"text only, per-clip file recomputed",<local data dir>/paper work/paper1_local_runs/qwen2audio_adress2020_text.csv,master_lookup,no,transcript,all,current,,Qwen2-Audio adress2020 transcript only,no,yes,<local data dir>/paper1_local_runs/qwen2audio_adress2020_text.csv,yes,master_lookup.csv:43,auc,clip
Qwen2-Audio|adress2020|zero_shot|all,Qwen2-Audio,adress2020,zero_shot/all,0.6824,,,156,,zero shot,<local data dir>/paper work/paper1_local_runs/probe2/adress2020_zeroshot_scores.csv,master_lookup,no,zero_shot,all,current,,Qwen2-Audio adress2020 zero shot answer,no,yes,<local data dir>/paper1_local_runs/probe2/adress2020_zeroshot_scores.csv,yes,master_lookup.csv:44,auc,clip
Qwen2-Audio|adresso|lm_probe|all,Qwen2-Audio,adresso,lm_probe/all,0.8923,,,237,,"five split nested, mean of 5 repeats",<local data dir>/paper work/paper1_local_runs/omni_final/q2a_adresso_nested_repeats.json,master_lookup,no,lm_probe,all,current,,Qwen2-Audio adresso LM probe,no,yes,<local data dir>/paper1_local_runs/omni_final/q2a_adresso_nested_repeats.json,yes,master_lookup.csv:45,auc,clip
Qwen2-Audio|adresso|answer_state_probe|all,Qwen2-Audio,adresso,answer_state_probe/all,0.819,,,237,,"five split nested, mean of 5 repeats",<local data dir>/paper work/paper1_local_runs/omni_final/q2a_adresso_nested_repeats.json,master_lookup,no,answer_state_probe,all,current,,Qwen2-Audio adresso answer-state probe,no,yes,<local data dir>/paper1_local_runs/omni_final/q2a_adresso_nested_repeats.json,yes,master_lookup.csv:46,auc,clip
Qwen2-Audio|adresso|encoder_probe|all,Qwen2-Audio,adresso,encoder_probe/all,0.8537,,,237,,"five split nested, mean of 5 repeats",<local data dir>/paper work/paper1_local_runs/omni_final/q2a_adresso_nested_repeats.json,master_lookup,no,encoder_probe,all,current,,Qwen2-Audio adresso encoder probe,no,yes,<local data dir>/paper1_local_runs/omni_final/q2a_adresso_nested_repeats.json,yes,master_lookup.csv:47,auc,clip
Qwen2-Audio|adresso|transcript|all,Qwen2-Audio,adresso,transcript/all,0.6825,,,237,,"text only, per-clip file recomputed",<local data dir>/paper work/paper1_local_runs/qwen2audio_adresso_text.csv,master_lookup,no,transcript,all,current,,Qwen2-Audio adresso transcript only,no,yes,<local data dir>/paper1_local_runs/qwen2audio_adresso_text.csv,yes,master_lookup.csv:48,auc,clip
Qwen2-Audio|adresso|zero_shot|all,Qwen2-Audio,adresso,zero_shot/all,0.6649,,,237,,zero shot,<local data dir>/paper work/paper1_local_runs/probe2/adresso_zeroshot_scores.csv,master_lookup,no,zero_shot,all,current,,Qwen2-Audio adresso zero shot answer,no,yes,<local data dir>/paper1_local_runs/probe2/adresso_zeroshot_scores.csv,yes,master_lookup.csv:49,auc,clip
Qwen2-Audio|edaic_conflict_390|transcript|all,Qwen2-Audio,edaic_conflict_390,transcript/all,0.6171,,,390,,"text only, per-clip file recomputed",<local data dir>/paper work/paper1_local_runs/qwen2audio_conflict_text.csv,master_lookup,no,transcript,all,current,,Qwen2-Audio conflict transcript only,no,yes,<local data dir>/paper1_local_runs/qwen2audio_conflict_text.csv,yes,master_lookup.csv:50,auc,clip
Qwen2-Audio|edaic|lm_probe|all,Qwen2-Audio,edaic,lm_probe/all,0.5224,,,275,,"five split nested, mean of 5 repeats",<local data dir>/paper work/paper1_local_runs/omni_final/q2a_edaic_nested_repeats.json,master_lookup,no,lm_probe,all,current,,Qwen2-Audio edaic LM probe,no,yes,<local data dir>/paper1_local_runs/omni_final/q2a_edaic_nested_repeats.json,yes,master_lookup.csv:51,auc,clip
Qwen2-Audio|edaic|answer_state_probe|all,Qwen2-Audio,edaic,answer_state_probe/all,0.5958,,,275,,"five split nested, mean of 5 repeats",<local data dir>/paper work/paper1_local_runs/omni_final/q2a_edaic_nested_repeats.json,master_lookup,no,answer_state_probe,all,current,,Qwen2-Audio edaic answer-state probe,no,yes,<local data dir>/paper1_local_runs/omni_final/q2a_edaic_nested_repeats.json,yes,master_lookup.csv:52,auc,clip
Qwen2-Audio|edaic|encoder_probe|all,Qwen2-Audio,edaic,encoder_probe/all,0.5673,,,275,,"five split nested, mean of 5 repeats",<local data dir>/paper work/paper1_local_runs/omni_final/q2a_edaic_nested_repeats.json,master_lookup,no,encoder_probe,all,current,,Qwen2-Audio edaic encoder probe,no,yes,<local data dir>/paper1_local_runs/omni_final/q2a_edaic_nested_repeats.json,yes,master_lookup.csv:53,auc,clip
Qwen2-Audio|edaic|transcript|all,Qwen2-Audio,edaic,transcript/all,0.6116,,,275,,"text only, per-clip file recomputed (30 s transcript, matched to the 30 s audio window)",<local data dir>/paper work/paper1_local_runs/qwen2audio_edaic30_text.csv,master_lookup,no,transcript,all,current,,Qwen2-Audio edaic transcript only,no,yes,<local data dir>/paper1_local_runs/qwen2audio_edaic30_text.csv,yes,master_lookup.csv:54,auc,clip
Qwen2-Audio|edaic|zero_shot|all,Qwen2-Audio,edaic,zero_shot/all,0.6464,,,275,,zero shot,<local data dir>/paper work/paper1_local_runs/probe2/edaic_zeroshot_scores.csv,master_lookup,no,zero_shot,all,current,,Qwen2-Audio edaic zero shot answer,no,yes,<local data dir>/paper1_local_runs/probe2/edaic_zeroshot_scores.csv,yes,master_lookup.csv:55,auc,clip
Qwen2-Audio|edaic|transcript|all,Qwen2-Audio,edaic,transcript/all,0.6116,,,275,,"text only, per-clip file recomputed",<local data dir>/paper work/paper1_local_runs/qwen2audio_edaic30_text.csv,master_lookup,no,transcript,all,current,,Qwen2-Audio edaic30 transcript only,no,yes,<local data dir>/paper1_local_runs/qwen2audio_edaic30_text.csv,yes,master_lookup.csv:56,auc,clip
Qwen2-Audio|edaic_conflict_390|lm_probe|all,Qwen2-Audio,edaic_conflict_390,lm_probe/all,0.5878,,,390,,"nested, 390 conflict-manifest rows, 30 s window",<local data dir>/release/edaic_conflict_new/q2a_edaic_conflict_nested_repeats.json,master_lookup,no,lm_probe,all,current,,Qwen2-Audio edaic_conflict LM probe,no,yes,<local data dir>/release/edaic_conflict_new/q2a_edaic_conflict_nested_repeats.json,no,master_lookup.csv:57,auc,clip
Qwen2-Audio|edaic_conflict_390|answer_state_probe|all,Qwen2-Audio,edaic_conflict_390,answer_state_probe/all,0.5749,,,390,,"nested, 390 conflict-manifest rows, 30 s window",<local data dir>/release/edaic_conflict_new/q2a_edaic_conflict_nested_repeats.json,master_lookup,no,answer_state_probe,all,current,,Qwen2-Audio edaic_conflict answer-state probe,no,yes,<local data dir>/release/edaic_conflict_new/q2a_edaic_conflict_nested_repeats.json,no,master_lookup.csv:58,auc,clip
Qwen2-Audio|edaic_conflict_390|encoder_probe|all,Qwen2-Audio,edaic_conflict_390,encoder_probe/all,0.5563,,,390,,"nested, 390 conflict-manifest rows, 30 s window",<local data dir>/release/edaic_conflict_new/q2a_edaic_conflict_nested_repeats.json,master_lookup,no,encoder_probe,all,current,,Qwen2-Audio edaic_conflict encoder probe,no,yes,<local data dir>/release/edaic_conflict_new/q2a_edaic_conflict_nested_repeats.json,no,master_lookup.csv:59,auc,clip
Qwen2-Audio|edaic_conflict_390|projector_probe|all,Qwen2-Audio,edaic_conflict_390,projector_probe/all,0.5084,,,390,,"nested, 390 conflict-manifest rows, 30 s window",<local data dir>/release/edaic_conflict_new/q2a_edaic_conflict_nested_repeats.json,master_lookup,no,projector_probe,all,current,,Qwen2-Audio edaic_conflict projector probe,no,yes,<local data dir>/release/edaic_conflict_new/q2a_edaic_conflict_nested_repeats.json,no,master_lookup.csv:60,auc,clip
Qwen2-Audio|edaic_conflict_390|zero_shot|all,Qwen2-Audio,edaic_conflict_390,zero_shot/all,0.6568,,,390,,"zero shot, 30 s window, 390 conflict-manifest rows",<local data dir>/release/edaic_conflict_new/q2a_edaic_conflict_zeroshot.json,master_lookup,no,zero_shot,all,current,,Qwen2-Audio edaic_conflict zero shot answer,no,yes,<local data dir>/release/edaic_conflict_new/q2a_edaic_conflict_zeroshot.json,no,master_lookup.csv:61,auc,clip
Qwen2-Audio|edaic_full|transcript|all,Qwen2-Audio,edaic_full,transcript/all,0.72,,,275,,"text only, per-clip file recomputed",<local data dir>/paper work/paper1_local_runs/qwen2audio_edaicfull_text.csv,master_lookup,no,transcript,all,current,,Qwen2-Audio edaicfull transcript only,no,yes,<local data dir>/paper1_local_runs/qwen2audio_edaicfull_text.csv,yes,master_lookup.csv:62,auc,clip
Qwen2-Audio|kcl|lm_probe|all,Qwen2-Audio,kcl,lm_probe/all,0.625,,,37,,"five split nested, mean of 5 repeats",<local data dir>/paper work/paper1_local_runs/omni_final/q2a_kcl_nested_repeats.json,master_lookup,no,lm_probe,all,current,,Qwen2-Audio kcl LM probe,no,yes,<local data dir>/paper1_local_runs/omni_final/q2a_kcl_nested_repeats.json,yes,master_lookup.csv:63,auc,clip
Qwen2-Audio|kcl|answer_state_probe|all,Qwen2-Audio,kcl,answer_state_probe/all,0.7702,,,37,,"five split nested, mean of 5 repeats",<local data dir>/paper work/paper1_local_runs/omni_final/q2a_kcl_nested_repeats.json,master_lookup,no,answer_state_probe,all,current,,Qwen2-Audio kcl answer-state probe,no,yes,<local data dir>/paper1_local_runs/omni_final/q2a_kcl_nested_repeats.json,yes,master_lookup.csv:64,auc,clip
Qwen2-Audio|kcl|encoder_probe|all,Qwen2-Audio,kcl,encoder_probe/all,0.7714,,,37,,"five split nested, mean of 5 repeats",<local data dir>/paper work/paper1_local_runs/omni_final/q2a_kcl_nested_repeats.json,master_lookup,no,encoder_probe,all,current,,Qwen2-Audio kcl encoder probe,no,yes,<local data dir>/paper1_local_runs/omni_final/q2a_kcl_nested_repeats.json,yes,master_lookup.csv:65,auc,clip
Qwen2-Audio|kcl|zero_shot|all,Qwen2-Audio,kcl,zero_shot/all,0.5923,,,37,,zero shot,<local data dir>/paper work/paper1_local_runs/probe2/kcl_zeroshot_scores.csv,master_lookup,no,zero_shot,all,current,,Qwen2-Audio kcl zero shot answer,no,yes,<local data dir>/paper1_local_runs/probe2/kcl_zeroshot_scores.csv,yes,master_lookup.csv:66,auc,clip
