order_group,line,context,paper_value,file_value,file_path,estimator,status,red_span,reason,value_status,method_constant,kind,section,item_id,added_basis,tex_file
added_23sep,77,"A logistic regression on transcript word counts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on E-DAIC and 0.84 to 0.93 on the Alzheimer's sets.",0.68,0.823,<local data dir>/release/overnight2/text_new/o25_edaicfull_text.json,"text only, one documented prompt",MISMATCH,,"context [model=Qwen2.5-Omni (default); data=pcgita/neurovoz/kcl/edaic_full/edaic/edaic_mid300/edaic_mid3; stream=transcript; arm=all; dataset group + named set]; best current candidate Qwen2.5-Omni|edaic_full|transcript|all = 0.823 (text only, one documented prompt) rounds to 0.82; same-tier values: 0.6613 (edaic text only, one documented prompt (30 s t, current), 0.6613 (edaic text only, one documented prompt, current), 0.7634 (kcl MDVR-KCL Qwen2.5-Omni transcript-only an, current), 0.823 (edaic_full text only, one documented prompt, current)",current,no,point,Implementation Details,L77_350,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,77,"A logistic regression on transcript word counts, speaker-disjoint, reaches 0.43 to 0.62 on the Parkinson's sets, 0.68 on E-DAIC and 0.84 to 0.93 on the Alzheimer's sets.",0.84 to 0.93,0.5246 to 0.7634,o25_kcl_text.csv ; o25_neurovoz_text.json ; o25_pcgita_text.json,"Qwen2.5-Omni transcript, PD",MISMATCH,,"no compatible named set matches both ends; closest SET 'Qwen2.5-Omni transcript, PD' gives 0.5246 (pcgita) to 0.7634 (kcl); members: pcgita 0.5246; neurovoz 0.5371; kcl 0.7634",,no,range,Implementation Details,L77_369,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,79,"We use the following three corpora: PC-GITA (Spanish, 1100 clips) , NeuroVoz (Spanish, 1270 clips) and MDVR-KCL (English, 37 speakers) .",1100,1100,<local data dir>/release/overnight/perclip/egemaps_pcgita_oof.csv,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.8332)",MATCH,,count: 109 index rows for pcgita carry n = 1100 (e.g. handcheck_values.csv:23),current,no,integer,Implementation Details,L79_282,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,79,"We use the following three corpora: PC-GITA (Spanish, 1100 clips) , NeuroVoz (Spanish, 1270 clips) and MDVR-KCL (English, 37 speakers) .",1270,1270,<local data dir>/release/overnight/perclip/egemaps_neurovoz_oof.csv,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.8439)",MATCH,,count: 97 index rows for neurovoz carry n = 1270 (e.g. handcheck_values.csv:24),current,no,integer,Implementation Details,L79_328,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,79,"We use the following three corpora: PC-GITA (Spanish, 1100 clips) , NeuroVoz (Spanish, 1270 clips) and MDVR-KCL (English, 37 speakers) .",37,37,<local data dir>/release/overnight/perclip/egemaps_kcl_oof.csv,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.7411)",MATCH,,count: 88 index rows for kcl carry n_spk/n = 37 (e.g. handcheck_values.csv:25),current,no,integer,Implementation Details,L79_379,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,83,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 227 speakers, the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.",468,228,<local data dir>/release/omni_final/omnisft_pitt_oof.csv,"projector only fine tune, 5 fold OOF, rank AUC recomputed here",MATCH,,count: 268 index rows for pitt carry n_spk/n = 468 (e.g. handcheck_values.csv:12),current,no,integer,Implementation Details,L83_189,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,83,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 227 speakers, the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.",227,227,<local data dir>/release/edaic_rerun/pitt_all_segments.csv,"speaking rate alone, clip-level rank AUC, direction-free max(auc, 1-auc) (raw auc 0.2918), kept468 segments",MATCH,,count: 1 index rows for pitt carry n_spk/n = 227 (e.g. handcheck_values.csv:145),current,no,integer,Implementation Details,L83_207,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,83,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 227 speakers, the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.",237,237,<local data dir>/release/overnight/perclip/egemaps_adresso_oof.csv,"eGeMAPS 88 features + logistic regression, speaker-disjoint OOF, rank AUC recomputed here (summary csv says 0.6942)",MATCH,,count: 85 index rows for adresso carry n_spk/n = 237 (e.g. handcheck_values.csv:27),current,no,integer,Implementation Details,L83_357,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,83,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 227 speakers, the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.",108,108,<local data dir>/paper work/paper1_local_runs/omni_adress2020_text.csv,"text only, local run Sep 15, train split only",MATCH,,count: 1 index rows for adress2020 carry n = 108 (e.g. handcheck_values.csv:10),current,no,integer,Implementation Details,L83_491,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,83,"We use the DementiaBank Pitt cookie-theft descriptions , with 468 segments from 227 speakers, the top and bottom third of the fluency score defined under Conflict set construction below, the ADReSSo recordings from 237 speakers, as released with the ADReSS-M challenge , and the ADReSS-2020 benchmark split including 108 training and 48 test recordings.",48,48,<local data dir>/paper work/paper1_local_runs/omni_adress2020_text.csv,"text only, local run Sep 15, test split only",MATCH,,count: 1 index rows for adress2020 carry n = 48 (e.g. handcheck_values.csv:11),current,no,integer,Implementation Details,L83_508,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,87,"Folds are speaker-disjoint (GroupKFold, 5 folds), and the layer is chosen inside the training folds, with the AUC reported as the mean over five repeats of the fold assignment. %Where a layer is chosen, it is chosen inside the training folds; selecting the layer after seeing the test fold inflates AUC by +0.03 on average across 18 cells and by up to +0.14, so we quote the nested value wherever bot",5,,,,UNMATCHED,,"method/design constant, not a result; no file value indexed",,yes,integer,Implementation Details,L87_249,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,88,"Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers.",32,,,,UNMATCHED,,"method/design constant, not a result; no file value indexed",,yes,integer,Implementation Details,L88_81,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,88,"Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers.",29,,,,UNMATCHED,,"method/design constant, not a result; no file value indexed",,yes,integer,Implementation Details,L88_123,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,88,"Layer-wise probing is performed on Qwen2.5-Omni , end-to-end on 32 hidden states in its audio encoder and 29 in its language model, taken at the audio-token positions, the projected input and the outputs of its 28 layers.",28,,,,UNMATCHED,,count 28 not found as n or n_spk in index rows for (no dataset),,no,integer,Implementation Details,L88_228,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,92,"Two other wordings, listed with the release, move the Table \reftab:main answers by 0.02 on average.",0.02,0.021,<local data dir>/release/edaic_rerun/part16/POD4B/out/adress2020_no_interviewer.csv,adress2020 PAIRED zero-shot: duration-matched WITH interviewer -> interviewer removed,MATCH,,"context [model=Qwen2.5-Omni (default); data=any; stream=zero_shot; arm=all; delta]; tier current; same-tier values that round differently: -0.0054 (pcgita PC-GITA PAIRED zero-shot delta, before t, current), -0.0117 (neurovoz NeuroVoz PAIRED zero-shot delta, before , current), -0.0149 (kcl projector gain, paired, current), -0.0193 (pitt Omni zero shot pitt paired clip minus sp, current)",current,no,point,Implementation Details,L92_465,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,92,Under greedy decoding the first word is Yes or No on every conflict clip and matches the answer read from the logits on 99 percent of them. %The two score within 0.01 of each other on Pitt.,99,,,,UNMATCHED,,percentage with no indexed file value for context [model=Qwen2.5-Omni (default); data=pitt; stream=zero_shot; arm=conflict],,no,percent,Implementation Details,L92_602,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,95,A segment is counted as positive or negative if that class has a probability of at least 0.70.,0.70,,,,UNMATCHED,,"method/design constant, not a result; no file value indexed",,yes,point,Implementation Details,L95_359,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,95,"A participant with a PHQ-8 score of 15 or more speaking positively, or a healthy control with a PHQ-8 score of 4 or less speaking negatively, constitutes a conflict segment.",15,,,,UNMATCHED,,"method/design constant, not a result; no file value indexed",,yes,integer,Implementation Details,L95_401,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,95,"A participant with a PHQ-8 score of 15 or more speaking positively, or a healthy control with a PHQ-8 score of 4 or less speaking negatively, constitutes a conflict segment.",4,,,,UNMATCHED,,"method/design constant, not a result; no file value indexed",,yes,integer,Implementation Details,L95_476,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,95,"This yields a total of 488 conflicting segments, each paired with an agreement segment from the same speaker over 138 speakers.",488,488,<local data dir>/release/edaic_rerun/part16/M2_distilbert_sentiment.csv,"E-DAIC conflict segments total, pool before pairing",MATCH,,count: 1 index rows for any dataset carry n = 488 (e.g. handcheck_values.csv:148),current,no,integer,Implementation Details,L95_562,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,95,"This yields a total of 488 conflicting segments, each paired with an agreement segment from the same speaker over 138 speakers.",138,138,<local data dir>/release/edaic_rerun/part14/p14_o25_zeroshot_scores.csv,Qwen2.5-Omni | A_edaic_part14 | conflict | src=primary,MATCH,,count: 146 index rows for any dataset carry n_spk/n = 138 (e.g. part16/rows/M8.tsv:2),current,no,integer,Implementation Details,L95_653,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,101,"Intervals are 95 percent speaker-level bootstrap intervals from 2000 draws, and a difference is called significant when its interval excludes zero.",95,,,,UNMATCHED,,"percentage with no indexed file value for context [model=Qwen2.5-Omni (default); data=pitt_agematched; stream=age_gap_years; arm=all; dataset from previous sentence, stream from previous sentence]",,no,percent,Implementation Details,L101_348,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,101,"Intervals are 95 percent speaker-level bootstrap intervals from 2000 draws, and a difference is called significant when its interval excludes zero.",2000,,,,UNMATCHED,,count 2000 not found as n or n_spk in index rows for pitt_agematched,,no,integer,Implementation Details,L101_398,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,"The encoder probe, with its layer chosen inside the training folds, achieves an AUC of 0.75 to 0.92 on the Parkinson's sets and 0.77 on the Pitt dataset (Fig. \reffig:gap).",0.77,0.7706,<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz,"five split nested, mean of per-repeat AUCs recomputed here: 0.7598, 0.7725, 0.7459, 0.7903, 0.7843",MATCH,,"context [model=Qwen2.5-Omni (default); data=pitt; stream=encoder_probe; arm=all]; tier current; same-tier values that round differently: 0.0002696 (pitt pitt pitt_groupkfold5_pod_seed0..4_UNVER, current), 0.7497 (pitt Pitt arm B interviewer removed PAR-only,, current), 0.798 (pitt Pitt arm C duration-matched WITH intervi, current), 0.8083 (pitt Pitt encoder probe max auc_oof (layer 27, current)",current,no,point,Probing Results,L149_128,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,"The paired difference \Delta of Section \refsec:setup excludes zero on every Parkinson's and Alzheimer's set except MDVR-KCL, at 0.35 on PC-GITA and 0.11 on Pitt.",0.35,0.8941,<local data dir>/release/omni_final/omni_pcgita_nested_repeats.json,"five split nested, mean of 5 repeats (json field enc.mean)",MISMATCH,,"context [model=Qwen2-Audio/Qwen2.5-Omni/Qwen3-Omni/Audio Flamingo 2/Audio F; data=pcgita; stream=encoder_probe; arm=all; every model except , stream from previous sentence]; best current candidate Qwen2.5-Omni|pcgita|encoder_probe|all = 0.8941 (five split nested, mean of 5 repeats (json field enc.mean)) rounds to 0.89; same-tier values: 0.001203 (pcgita pcgita pcgita_groupkfold5_pod_seed0..4.c, current), 0.8298 (pcgita PC-GITA Omni encoder nested probe AUC, A, current), 0.8941 (pcgita five split nested, mean of 5 repeats (js, current), 0.8941 (pcgita five split nested, mean of 5 repeats, current)",current,no,point,Probing Results,L149_308,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,"The paired difference \Delta of Section \refsec:setup excludes zero on every Parkinson's and Alzheimer's set except MDVR-KCL, at 0.35 on PC-GITA and 0.11 on Pitt.",0.11,0.7846,<local data dir>/release/omni_final/q2a_pitt_nested_repeats.json,"five split nested, mean of 5 repeats (json field enc.mean)",MISMATCH,,"context [model=Qwen2-Audio/Qwen2.5-Omni/Qwen3-Omni/Audio Flamingo 2/Audio F; data=pitt; stream=encoder_probe; arm=all; every model except , stream from previous sentence]; best current candidate Qwen2-Audio|pitt|encoder_probe|all = 0.7846 (five split nested, mean of 5 repeats (json field enc.mean)) rounds to 0.78; same-tier values: 0.0002696 (pitt pitt pitt_groupkfold5_pod_seed0..4_UNVER, current), 0.7497 (pitt Pitt arm B interviewer removed PAR-only,, current), 0.7706 (pitt Qwen2.5-Omni Pitt encoder probe, 5-repea, current), 0.7706 (pitt Qwen2.5-Omni Pitt encoder probe, mean of, current)",current,no,point,Probing Results,L149_328,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,On Qwen3-Omni the encoder probe reaches 0.90 on PC-GITA and 0.81 on Pitt against zero-shot answers of 0.60 and 0.77.,0.90,0.8969,<local data dir>/release/edaic_rerun/part16/POD3/q3o_pcgita_encoder_nested_oof.csv,"mean of five per-repeat AUCs (five split nested, layer chosen inside the training folds), POD3 re-extraction; the AUC of the averaged probabilities is 0.9109 and is NOT used; same convention as the Qw",MATCH,,"context [model=Qwen3-Omni; data=pcgita; stream=encoder_probe; arm=all]; tier current; same-tier values that round differently: 0.001203 (pcgita pcgita pcgita_groupkfold5_pod_seed0..4.c, current), 0.9091 (pcgita single split nested OOF, current), 0.9109 (pcgita Qwen3-Omni PC-GITA encoder probe, AUC of, current), 0.9133 (pcgita Q3O PC-GITA ENCODER best single stage = , current)",current,no,point,Probing Results,L149_494,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,On Qwen3-Omni the encoder probe reaches 0.90 on PC-GITA and 0.81 on Pitt against zero-shot answers of 0.60 and 0.77.,0.81,0.8122,<local data dir>/release/edaic_rerun/part16/POD3/q3o_pitt_encoder_nested_oof.csv,"mean of five per-repeat AUCs (five split nested, layer chosen inside the training folds), POD3 re-extraction; the AUC of the averaged probabilities is 0.8354 and is NOT used; per-repeat AUCs also in p",MATCH,,"context [model=Qwen3-Omni; data=pitt; stream=encoder_probe; arm=all]; tier current; same-tier values that round differently: 0.8276 (pitt Q3O Pitt ENCODER best single stage = lay, current), 0.8354 (pitt Qwen3-Omni Pitt encoder probe, AUC of av, current), 0.8442 (pitt single split nested OOF, current)",current,no,point,Probing Results,L149_514,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,On Qwen3-Omni the encoder probe reaches 0.90 on PC-GITA and 0.81 on Pitt against zero-shot answers of 0.60 and 0.77.,0.60,0.7619,<local data dir>/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv,"zero shot answer, rank AUC recomputed here from per-clip p_yes",MISMATCH,,"context [model=Qwen3-Omni; data=pitt; stream=zero_shot; arm=all]; best CONTESTED candidate Qwen3-Omni|pitt|zero_shot|all = 0.7619 (zero shot answer, rank AUC recomputed here from per-clip p_y) rounds to 0.76; same-tier values: 0.7619 (pitt Q3O Pitt zero-shot answer AUC, SHIPPED f, CONTESTED), 0.7619 (pitt zero shot answer, rank AUC recomputed he, CONTESTED), 0.7619 (pitt zero shot, 30 s window, CONTESTED), 0.7619 (pitt zero shot, CONTESTED)",CONTESTED,no,point,Probing Results,L149_556,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
added_23sep,149,On Qwen3-Omni the encoder probe reaches 0.90 on PC-GITA and 0.81 on Pitt against zero-shot answers of 0.60 and 0.77.,0.77,0.7673,<local data dir>/release/edaic_rerun/part16/POD3/q3o_pitt_zeroshot_scores.csv,"Q3O Pitt zero-shot answer AUC, THIS pod (rank formula, deterministic, reproduced twice bit-exact)",MATCH,,"context [model=Qwen3-Omni; data=pitt; stream=zero_shot; arm=all]; tier CONTESTED; same-tier values that round differently: 0.7619 (pitt Q3O Pitt zero-shot answer AUC, SHIPPED f, CONTESTED), 0.7619 (pitt zero shot answer, rank AUC recomputed he, CONTESTED), 0.7619 (pitt zero shot, 30 s window, CONTESTED), 0.7619 (pitt zero shot, CONTESTED); NOTE S6: shipped 0.7619 vs 2026-09-22 rerun 0.7673 on the same 468 clips; unresolved",CONTESTED,no,point,Probing Results,L149_565,sentences in AudioLLMHealthUtilityGap.tex not in pasted_tex_dryrun.tex,<local data dir>/paper1_final/AudioLLMHealthUtilityGap.tex
