row,item_id,tex,computed,match_2dp,file,how,note
19,L149_152,0.77 to 0.88,0.7706 to 0.8752,yes,"<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz ; omni_final/omni_{adresso,adress2020}_nested_repeats.json",Pitt mean of 5 per-repeat AUCs 0.7706 (recomputed); ADReSSo json mean 0.8752 (per-repeat mean 0.8752); ADReSS-2020 0.8043 (0.8043),"ADReSSo and ADReSS-2020 read from the repeats json summary, not recomputed per clip"
21,L149_2192,0.66,0.6608,yes,<local data dir>/release/omni/readout_direction.csv (row pitt),auc_d (summary csv),
22,L149_2262,0.77,0.7709,yes,<local data dir>/release/omni/readout_direction.csv (row pitt),auc_probe (summary csv),
23,L149_2283,0.77,0.7662,yes,<local data dir>/release/omni/readout_direction.csv (row pitt),auc_probe_without_d (summary csv); cosine -0.0109,
25,L149_2463,0.62,0.6173576133281674,yes,<local data dir>/release/edaic_rerun/part17/T3_q2a_direction.csv,"AUC(label, proj_d) n=468; probe 0.8223; perp_z 0.8114; nested_oof 0.8295; nested_perp_z 0.8169",
26,L149_2643,0.74,0.7437146585471943,yes,scores/part23/pull/p23-a-probes/p23a/out/A3_edaic_whole_meanof5_perclip.csv,LM probe mean of five per-repeat AUCs (AUC of averaged p 0.7504),
27,L149_2670,0.60,0.5981151225170365,yes,scores/part23/pull/p23-a-probes/p23a/out/A3_edaic_whole_meanof5_perclip.csv,encoder probe mean of five per-repeat AUCs (AUC of averaged p 0.6058),
28,L149_2701,0.84,0.8365956212846165,yes,scores/part23/A/A2_edaic_whole_zeroshot_perclip.csv,AUC p_yes_whole n=275,
29,L149_2710,0.09,-0.09288096273742219,yes,scores/part23/pull/p23-a-probes/p23a/out/A3_edaic_whole_meanof5_perclip.csv + A2,"LM minus answer -0.0929 [-0.1609, -0.0257] paired, mean-of-five inside each draw",tex prints -0.09
30,L149_2719,0.16,-0.16093403148149316,yes,scores/part23/pull/p23-a-probes/p23a/out/A3_edaic_whole_meanof5_perclip.csv + A2,lower bound,tex prints -0.16
31,L149_2728,0.03,-0.025735708894878695,yes,scores/part23/pull/p23-a-probes/p23a/out/A3_edaic_whole_meanof5_perclip.csv + A2,upper bound,tex prints -0.03
32,L149_2741,0.24,-0.23848049876758004,yes,scores/part23/pull/p23-a-probes/p23a/out/A3_edaic_whole_meanof5_perclip.csv + A2,"encoder minus answer -0.2385 [-0.3244, -0.1505]",tex prints -0.24
33,L149_2750,0.32,-0.32436175626283104,yes,scores/part23/pull/p23-a-probes/p23a/out/A3_edaic_whole_meanof5_perclip.csv + A2,lower bound,tex prints -0.32
34,L149_2759,0.15,-0.15047018915731847,yes,scores/part23/pull/p23-a-probes/p23a/out/A3_edaic_whole_meanof5_perclip.csv + A2,upper bound,tex prints -0.15
35,L149_2821,0.84,0.8359141655792375,yes,scores/part23/pull/p23-a-probes/p23a/out/A3_edaic_whole_meanof5_perclip.csv,"answer-state probe mean of five; minus answer -0.0007 [-0.0455, +0.0436]",
36,L149_333,0.11,0.11280123982952339,yes,<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz + <local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,"mean-of-5 enc 0.7706 minus zero-shot 0.6578 = +0.1128 [+0.0455, +0.1768] n=468 spk=228",
37,L149_339,"0.05, 0.18","0.0455, 0.1768",yes,same as row 36,interval of the Pitt gap,
38,L149_362,0.33,0.33062231404958686,yes,<local data dir>/release/omni_final/omni_pcgita_nested_repeats.json + omni_pcgita_zeroshot_scores.csv,enc mean-of-5 0.8941 (per-repeat mean 0.8941) minus zero-shot 0.5635; single-split enc OOF file gives 0.9089 (gap 0.3454),point only; no five-repeat per-clip PC-GITA file for an interval
39,L149_593,0.60,0.5967206611570248,yes,<local data dir>/release/overnight2/q3o_new/q3o_pcgita_zeroshot_scores.csv,AUC n=1100,
40,L149_639,0.05,0.05031383184812077,yes,<local data dir>/release/edaic_rerun/part16/POD3/q3o_pitt_encoder_nested_oof.csv + <local data dir>/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv,Q3O Pitt enc mean-of-5 0.8122 minus zero-shot 0.7619,
41,L149_796,0.01 on MDVR-KCL to 0.18,+0.0095 (kcl) to +0.1810 (adresso),yes,<local data dir>/release/overnight/egemaps_baseline.csv,"probe minus eGeMAPS per PD/AD set: kcl +0.0095, adress2020 +0.0921, adresso +0.1810, pitt +0.1214, pcgita +0.0609, neurovoz +0.0774",eGeMAPS AUC and probe read from the summary csv
42,L149_911,0.27,0.2697223140495869,yes,<local data dir>/release/overnight/egemaps_baseline.csv + <local data dir>/release/omni_final/omni_pcgita_zeroshot_scores.csv,eGeMAPS 0.8332 minus recomputed zero-shot 0.5635,
43,L149_920,0.15,0.1488185046237368,yes,<local data dir>/release/overnight/egemaps_baseline.csv + <local data dir>/release/omni_final/omni_neurovoz_zeroshot_scores.csv,eGeMAPS 0.8439 minus recomputed zero-shot 0.6951,
48,L180_1000,0.95,0.9522946859903382,yes,<local data dir>/release/scores/part20/POD3c/p14_q3o_text.csv,"agreement, 311 distinct (flag col; dedupe gives 311): 0.9523 [0.9249, 0.9750]; all 483 rows 0.9470",
60,L180_991,0.22,0.22428496227408318,yes,<local data dir>/release/scores/part20/POD3c/p14_q3o_text.csv,"conflict n=483: 0.2243 [0.1757, 0.2742]",
49,L180_1662,0.46,0.46194420276582104,yes,<local data dir>/release/scores/part20/POD3b/sst2_pairs_o25_audio.csv,conflict n=1334 spk=162,
50,L180_1668,"0.42, 0.51","0.4165, 0.5102",yes,<local data dir>/release/scores/part20/POD3b/sst2_pairs_o25_audio.csv,conflict interval,
51,L180_1723,0.39,0.39342553232089517,yes,<local data dir>/release/scores/part20/POD3b/sst2_pairs_o25_audio.csv,agreement distinct 799 segs 0.8554 minus conflict 0.4619; all agreement rows 0.8316 (gap 0.3697),
52,L180_1824,0.20,0.1950752266143351,yes,<local data dir>/release/scores/part20/POD3b/sst2_pairs_o25_audio_diag_by_roberta_arm.csv,"conflict & first scorer conflict, n=420",n check 420: True
53,L180_1881,0.62,0.6150309658943883,yes,<local data dir>/release/scores/part20/POD3b/sst2_pairs_o25_audio_diag_by_roberta_arm.csv,"conflict & first scorer neutral, n=855",n check 855: True
54,L180_2394,0.53 to 0.61,0.5337 to 0.6075,yes,"<local data dir>/release/scores/part20/POD4c/af2_orig30_{conflict,agreement}.csv ; <local data dir>/release/overnight2/part10/af3_pitt.csv",AF2 conflict 0.5835; AF2 agreement 0.5337; AF3 conflict 0.6075; AF3 agreement 0.5855,
55,L180_2521,0.01,-0.010422316931421927,yes,<local data dir>/release/scores/part20/POD4/o25_orig_voice.csv + <local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,"voice 0.6473 minus recording 0.6578 = -0.0104 [-0.0356, +0.0155]",tex prints -0.01
56,L180_2530,0.04,-0.03562499325606624,yes,<local data dir>/release/scores/part20/POD4/o25_orig_voice.csv + <local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,lower bound,tex prints -0.04
57,L180_2536,0.02,0.015537154722843501,yes,<local data dir>/release/scores/part20/POD4/o25_orig_voice.csv + <local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,upper bound,
58,L180_931,0.15,0.14978066327425865,yes,<local data dir>/release/edaic_rerun/part16/POD1/p14_o25_1a_joined.csv,"conflict n=483: [0.1131, 0.1887]",
59,L180_952,0.96,0.9620494240059458,yes,<local data dir>/release/edaic_rerun/part16/POD1/p14_o25_1a_joined.csv,agreement distinct 311: 0.9620; all 483 rows 0.9596,
61,L226_1084,0.77,0.7695854320030996,yes,<local data dir>/release/omni_final/abl2_pitt_both_oof.csv,AUC n=468,
62,L226_1154,+0.02,0.022292301000435,yes,scores/part24/FT/FT24_whole_seed0_perclip.csv + scores/part23/A/A2_edaic_whole_zeroshot_perclip.csv,"FT seed0 0.8589 minus zero-shot 0.8366 = +0.0223 [-0.0064, +0.0547] n=275",
63,L226_1164,0.01,-0.0063755012224089355,yes,scores/part24/FT/FT24_whole_seed0_perclip.csv + A2,lower bound,tex prints -0.01
64,L226_1170,0.05,0.054672203811101744,yes,scores/part24/FT/FT24_whole_seed0_perclip.csv + A2,upper bound,
65,L226_1181,0.82,0.8183630564013339,yes,scores/part24/FT/FT24_whole_seed1all_perclip.csv,"seed1 0.8184 [0.7496, 0.8758]",
66,L226_1340,0.59,0.5931742410949289,yes,<local data dir>/release/scores/part20/POD3/p14_ft966_oof.csv,"after conflict 0.5932 [0.5087, 0.6831] n=483 (p_yes_sft col 0.5985); before 0.2218 from p14_o25_zeroshot_scores.csv n=483 (tex 0.22)",
67,L226_1379,0.67,0.6686176142697882,yes,<local data dir>/release/scores/part20/POD3/p14_ft966_oof.csv,"after agreement distinct 0.6686 [0.5727, 0.7586] n=311; before 0.9647 from T1_perclip_distinct_agreement.csv n=311 (tex 0.96)",
68,L226_469,0.74 to 0.81,0.7396 to 0.8085,yes,"<local data dir>/release/scores/part20/POD1b/std_ft_seed{1,2,3}_pitt_oof.csv","seeds 1-3 overall 0.7396, 0.8085, 0.7975",
69,L226_557,0.45 to 0.57,0.4490 to 0.5666,yes,six standard runs (see note),"conflict arm original omnisft 0.5189, seed1 0.5364, seed2 0.5636, seed3 0.5666, standard_rerun 0.4697, standard_rerun_r2 0.4490","seed0 file (not in the six) conflict 0.5282, agreement 0.8983, overall 0.7955"
70,L226_596,0.5,all contain 0.5: True,yes,all runs above,"original omnisft [0.4151, 0.6300]; seed1 [0.4306, 0.6426]; seed2 [0.4593, 0.6779]; seed3 [0.4660, 0.6746]; standard_rerun [0.3613, 0.5906]; standard_rerun_r2 [0.3385, 0.5682]; seed0 (extra) [0.4200, 0.6421]; balanced [0.3686, 0.5854]; balanced_r2 [0.3775, 0.5991]; balanced_fold3rerun [0.3936, 0.6170]","0.5 is chance, a claim about intervals"
71,L226_634,0.82 to 0.90,0.8213 to 0.9022,yes,six standard runs,"agreement arm original omnisft 0.8593, seed1 0.8213, seed2 0.9022, seed3 0.8844, standard_rerun 0.8895, standard_rerun_r2 0.8967",
72,L226_888,5.0,5.046272,yes,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_params.json,"json 5,046,272; arithmetic 5,046,272","parameter count in millions, checked at 1 dp as printed"
73,L226_924,4.6,4.591104,yes,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_params.json,"json 4,591,104; arithmetic 1280x3584+3584 = 4,591,104","parameter count in millions, checked at 1 dp as printed"
74,L226_958,0.825,0.8250000000000002,yes,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv,LoRA AUC n=468 (tex 3 dp); conflict arm 0.5520 (tex 0.55),checked at 3 dp as printed
75,L226_973,0.06,0.057719876017047866,yes,<local data dir>/release/edaic_rerun/part16/POD2/lora_pitt_oof.csv + omni_final/omnisft_pitt_oof.csv,"LoRA 0.8250 minus projector 0.7673 = +0.0577 [+0.0154, +0.1044]",
76,L226_979,"0.02, 0.10","0.0154, 0.1044",yes,as row 75,interval,
