status,line,item_id,paper_value,file_value,file_path,triage_2325Z,verified_value,verified_file,why,triage,context
MISMATCH,149,L149_1224,0.56,0.6872,<local data dir>/release/edaic_rerun/confounds/confound_auc.csv,MISPAIRING,"0.5590 (five features, PC-GITA, after)",<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_pcgita.csv,Matcher paired it with the single noise-floor feature.,UNTRIAGED (new since the 06:38 run),"Normalising loudness and noise floor brings them to 0.56 on PC-GITA, where the encoder probe falls to 0.83 (-0.07 [-0.12, -0.02]) and the answer stays at 0.57, and only to 0.60 on NeuroVoz, where the probe falls to 0.89 (-0.03 [-0.061, -0.001])."
MISMATCH,149,L149_1283,0.07,0.8941,<local data dir>/release/omni_final/omni_pcgita_nested_repeats.json,MISPAIRING,"-0.0661 [-0.1181, -0.0180] (PC-GITA probe after minus before)",<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_pcgita.csv,Paired difference.,UNTRIAGED (new since the 06:38 run),"Normalising loudness and noise floor brings them to 0.56 on PC-GITA, where the encoder probe falls to 0.83 (-0.07 [-0.12, -0.02]) and the answer stays at 0.57, and only to 0.60 on NeuroVoz, where the probe falls to 0.89 (-0.03 [-0.061, -0.001])."
MISMATCH,149,L149_1292,0.12,0.8941,<local data dir>/release/omni_final/omni_pcgita_nested_repeats.json,MISPAIRING,-0.1181 (lower bound),<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_pcgita.csv,Interval bound.,UNTRIAGED (new since the 06:38 run),"Normalising loudness and noise floor brings them to 0.56 on PC-GITA, where the encoder probe falls to 0.83 (-0.07 [-0.12, -0.02]) and the answer stays at 0.57, and only to 0.60 on NeuroVoz, where the probe falls to 0.89 (-0.03 [-0.061, -0.001])."
MISMATCH,149,L149_1301,0.02,0.8941,<local data dir>/release/omni_final/omni_pcgita_nested_repeats.json,MISPAIRING,-0.0180 (upper bound),<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_pcgita.csv,Interval bound.,UNTRIAGED (new since the 06:38 run),"Normalising loudness and noise floor brings them to 0.56 on PC-GITA, where the encoder probe falls to 0.83 (-0.07 [-0.12, -0.02]) and the answer stays at 0.57, and only to 0.60 on NeuroVoz, where the probe falls to 0.89 (-0.03 [-0.061, -0.001])."
MISMATCH,149,L149_1350,0.60,0.6951,<local data dir>/release/omni_final/omni_neurovoz_zeroshot_scores.csv,MISPAIRING,"0.6025 (five features, NeuroVoz, after)",<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_neurovoz.csv,Matcher paired it with the NeuroVoz answer.,UNTRIAGED (new since the 06:38 run),"Normalising loudness and noise floor brings them to 0.56 on PC-GITA, where the encoder probe falls to 0.83 (-0.07 [-0.12, -0.02]) and the answer stays at 0.57, and only to 0.60 on NeuroVoz, where the probe falls to 0.89 (-0.03 [-0.061, -0.001])."
MISMATCH,149,L149_1402,0.03,0.9213,<local data dir>/release/omni_final/omni_neurovoz_nested_repeats.json,MISPAIRING,-0.0308 (NeuroVoz probe after minus before),<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_neurovoz.csv,Paired difference; matcher paired it with the probe AUC.,UNTRIAGED (new since the 06:38 run),"Normalising loudness and noise floor brings them to 0.56 on PC-GITA, where the encoder probe falls to 0.83 (-0.07 [-0.12, -0.02]) and the answer stays at 0.57, and only to 0.60 on NeuroVoz, where the probe falls to 0.89 (-0.03 [-0.061, -0.001])."
MISMATCH,149,L149_1411,0.061,0.9213,<local data dir>/release/omni_final/omni_neurovoz_nested_repeats.json,MISPAIRING,"-0.0608 (lower bound, NeuroVoz after minus before)",<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_neurovoz.csv,Interval bound.,UNTRIAGED (new since the 06:38 run),"Normalising loudness and noise floor brings them to 0.56 on PC-GITA, where the encoder probe falls to 0.83 (-0.07 [-0.12, -0.02]) and the answer stays at 0.57, and only to 0.60 on NeuroVoz, where the probe falls to 0.89 (-0.03 [-0.061, -0.001])."
MISMATCH,149,L149_1421,0.001,0.9213,<local data dir>/release/omni_final/omni_neurovoz_nested_repeats.json,MISPAIRING,"-0.0308 [-0.0608, -0.0012] (NeuroVoz probe after minus before)",<local data dir>/release/edaic_rerun/part16/POD4/channel_norm_neurovoz.csv,Interval bound; matcher paired it with the NeuroVoz probe AUC.,UNTRIAGED (new since the 06:38 run),"Normalising loudness and noise floor brings them to 0.56 on PC-GITA, where the encoder probe falls to 0.83 (-0.07 [-0.12, -0.02]) and the answer stays at 0.57, and only to 0.60 on NeuroVoz, where the probe falls to 0.89 (-0.03 [-0.061, -0.001])."
MISMATCH,149,L149_1507,0.90,0.7953,<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz,MISPAIRING,"0.8986 [0.8430, 0.9428] n=907 spk=76",<local data dir>/release/scores/part20/POD6/B_neurovoz_matched/B_encprobe_nested5_nvmatched_oof.csv,Matcher used the Pitt age-matched probe (same as the 06:38 triage).,PROBABLY MISPAIRING (sentence edited; was line 149),"On 38 age and sex matched NeuroVoz pairs (907 clips) the encoder probe reads 0.90 and the answer 0.63, although the recording features still separate that subset at 0.71."
MISMATCH,149,L149_152,0.77 to 0.88,0.7768 to 0.9160,omni_kcl_enc_nested_oof.csv ; omni_neurovoz_enc_nested_oof.csv ; omni_pcgita_enc_nested_oof.csv,MISPAIRING,"Pitt 0.7706, ADReSSo 0.8752, ADReSS-2020 0.8043","<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz; paper1_local_runs/omni_final/omni_{adresso,adress2020}_nested_repeats.json",Matcher used the Parkinson's encoder files.,UNTRIAGED (new since the 06:38 run),"Size of the gap. The encoder probe, with its layer chosen inside the training folds, reaches 0.75 to 0.92 on the Parkinson's sets and 0.77 to 0.88 on the Alzheimer's sets (Fig. \reffig:gap)."
MISMATCH,149,L149_1527,0.63,0.654,<local data dir>/release/omni_final/omni_pitt_zeroshot_scores.csv,MISPAIRING,"0.6282 [0.5584, 0.6985] n=907 spk=76",<local data dir>/release/scores/part20/POD6/B_neurovoz_matched/B_zeroshot_nvmatched.csv,Matcher used the Pitt age-matched answer (same as the 06:38 triage).,PROBABLY MISPAIRING (sentence edited; was line 149),"On 38 age and sex matched NeuroVoz pairs (907 clips) the encoder probe reads 0.90 and the answer 0.63, although the recording features still separate that subset at 0.71."
MISMATCH,149,L149_2192,0.66,-0.0109,<local data dir>/release/omni/readout_direction.csv,MISPAIRING,0.6608 (auc_d),<local data dir>/release/omni/readout_direction.csv (row pitt),Matcher paired every number of the sentence with the cosine column.,UNTRIAGED (new since the 06:38 run),"Projected on the readout direction, the Yes output embedding minus the No output embedding, it separates the groups at 0.66, the level of the answer, while a probe on the same vector reads 0.77 and still reads 0.77 with that direction removed (the cosine between the two directions, 0.01, is at the level of two random directions)."
MISMATCH,149,L149_2262,0.77,-0.0109,<local data dir>/release/omni/readout_direction.csv,MISPAIRING,0.7709 (auc_probe),<local data dir>/release/omni/readout_direction.csv (row pitt),Matcher paired it with the cosine.,UNTRIAGED (new since the 06:38 run),"Projected on the readout direction, the Yes output embedding minus the No output embedding, it separates the groups at 0.66, the level of the answer, while a probe on the same vector reads 0.77 and still reads 0.77 with that direction removed (the cosine between the two directions, 0.01, is at the level of two random directions)."
MISMATCH,149,L149_2283,0.77,-0.0109,<local data dir>/release/omni/readout_direction.csv,MISPAIRING,0.7662 (auc_probe_without_d),<local data dir>/release/omni/readout_direction.csv (row pitt),Matcher paired it with the cosine.,UNTRIAGED (new since the 06:38 run),"Projected on the readout direction, the Yes output embedding minus the No output embedding, it separates the groups at 0.66, the level of the answer, while a probe on the same vector reads 0.77 and still reads 0.77 with that direction removed (the cosine between the two directions, 0.01, is at the level of two random directions)."
MISMATCH,149,L149_2356,0.01,-0.0109,<local data dir>/release/omni/readout_direction.csv,REAL (sign only),-0.0109 (cosine); random-direction cosine 0.0135,<local data dir>/release/omni/readout_direction.csv (row pitt),The paper prints 0.01 for a cosine of -0.0109. The magnitude claim holds; print -0.01 or say 0.01 in magnitude.,UNTRIAGED (new since the 06:38 run),"Projected on the readout direction, the Yes output embedding minus the No output embedding, it separates the groups at 0.66, the level of the answer, while a probe on the same vector reads 0.77 and still reads 0.77 with that direction removed (the cosine between the two directions, 0.01, is at the level of two random directions)."
MISMATCH,149,L149_2463,0.62,0.9372,<local data dir>/release/overnight2/q3o_new/q3o_neurovoz_nested_repeats.json,MISPAIRING,0.6174 (proj_d AUC),<local data dir>/release/edaic_rerun/part17/T3_q2a_direction.csv,Matcher paired it with the Qwen3-Omni NeuroVoz probe (0.9372).,UNTRIAGED (new since the 06:38 run),"On Qwen2-Audio and Qwen3-Omni the readout direction gives 0.62 and 0.77 and the probe 0.82 and 0.83, and 0.81 and 0.83 with the direction removed."
MISMATCH,149,L149_2643,0.74,0.5828,<local data dir>/release/overnight2/final/q3o_edaic_nested_repeats.json,MISPAIRING,"0.7437 (LM probe, mean of five, whole interview)",part23/pull/p23-a-probes/p23a/out/A3_edaic_whole_meanof5_perclip.csv,Matcher used the Qwen3-Omni E-DAIC file (0.5828).,UNTRIAGED (new since the 06:38 run),"\par\parDepression reverses. On E-DAIC the language model probe reaches 0.74 and the encoder probe 0.60, both below the answer of 0.84 (-0.09 [-0.16, -0.03] and -0.24 [-0.32, -0.15]), while a probe on the answer state matches the answer (0.84)."
MISMATCH,149,L149_2670,0.60,0.5828,<local data dir>/release/overnight2/final/q3o_edaic_nested_repeats.json,MISPAIRING,"0.5981 (encoder probe, mean of five, whole interview)",part23/pull/p23-a-probes/p23a/out/A3_edaic_whole_meanof5_perclip.csv,Matcher used the Qwen3-Omni E-DAIC file (0.5828).,UNTRIAGED (new since the 06:38 run),"\par\parDepression reverses. On E-DAIC the language model probe reaches 0.74 and the encoder probe 0.60, both below the answer of 0.84 (-0.09 [-0.16, -0.03] and -0.24 [-0.32, -0.15]), while a probe on the answer state matches the answer (0.84)."
MISMATCH,149,L149_2701,0.84,0.8741,<local data dir>/release/edaic_rerun/variants/q3o_full_zeroshot.json,MISPAIRING,"0.8366 (answer, whole interview)",part23/A/A2_edaic_whole_zeroshot_perclip.csv,Matcher paired it with Qwen3-Omni 0.8741.,UNTRIAGED (new since the 06:38 run),"\par\parDepression reverses. On E-DAIC the language model probe reaches 0.74 and the encoder probe 0.60, both below the answer of 0.84 (-0.09 [-0.16, -0.03] and -0.24 [-0.32, -0.15]), while a probe on the answer state matches the answer (0.84)."
MISMATCH,149,L149_2710,0.09,0.8741,<local data dir>/release/edaic_rerun/variants/q3o_full_zeroshot.json,MISPAIRING,"-0.0929 [-0.1609, -0.0257] (LM minus answer)",part23/.../A3 + A2,Interval number; matcher paired it with Qwen3-Omni 0.8741.,UNTRIAGED (new since the 06:38 run),"\par\parDepression reverses. On E-DAIC the language model probe reaches 0.74 and the encoder probe 0.60, both below the answer of 0.84 (-0.09 [-0.16, -0.03] and -0.24 [-0.32, -0.15]), while a probe on the answer state matches the answer (0.84)."
MISMATCH,149,L149_2719,0.16,0.8741,<local data dir>/release/edaic_rerun/variants/q3o_full_zeroshot.json,MISPAIRING,-0.1609 (lower bound of LM minus answer),part23/.../A3 + A2,Interval bound.,UNTRIAGED (new since the 06:38 run),"\par\parDepression reverses. On E-DAIC the language model probe reaches 0.74 and the encoder probe 0.60, both below the answer of 0.84 (-0.09 [-0.16, -0.03] and -0.24 [-0.32, -0.15]), while a probe on the answer state matches the answer (0.84)."
MISMATCH,149,L149_2728,0.03,0.8741,<local data dir>/release/edaic_rerun/variants/q3o_full_zeroshot.json,MISPAIRING,-0.0257 (upper bound of LM minus answer),part23/.../A3 + A2,Interval bound; printed with its minus sign in the tex.,UNTRIAGED (new since the 06:38 run),"\par\parDepression reverses. On E-DAIC the language model probe reaches 0.74 and the encoder probe 0.60, both below the answer of 0.84 (-0.09 [-0.16, -0.03] and -0.24 [-0.32, -0.15]), while a probe on the answer state matches the answer (0.84)."
MISMATCH,149,L149_2741,0.24,0.8741,<local data dir>/release/edaic_rerun/variants/q3o_full_zeroshot.json,MISPAIRING,"-0.2385 [-0.3244, -0.1505] (encoder minus answer)",part23/.../A3_edaic_whole_meanof5_perclip.csv + A2,Interval number; matcher paired it with Qwen3-Omni 0.8741.,UNTRIAGED (new since the 06:38 run),"\par\parDepression reverses. On E-DAIC the language model probe reaches 0.74 and the encoder probe 0.60, both below the answer of 0.84 (-0.09 [-0.16, -0.03] and -0.24 [-0.32, -0.15]), while a probe on the answer state matches the answer (0.84)."
MISMATCH,149,L149_2750,0.32,0.8741,<local data dir>/release/edaic_rerun/variants/q3o_full_zeroshot.json,MISPAIRING,-0.3244 (lower bound of encoder minus answer),part23/.../A3 + A2,Interval bound.,UNTRIAGED (new since the 06:38 run),"\par\parDepression reverses. On E-DAIC the language model probe reaches 0.74 and the encoder probe 0.60, both below the answer of 0.84 (-0.09 [-0.16, -0.03] and -0.24 [-0.32, -0.15]), while a probe on the answer state matches the answer (0.84)."
MISMATCH,149,L149_2759,0.15,0.8741,<local data dir>/release/edaic_rerun/variants/q3o_full_zeroshot.json,MISPAIRING,-0.1505 (upper bound of encoder minus answer),part23/.../A3 + A2,Interval bound.,UNTRIAGED (new since the 06:38 run),"\par\parDepression reverses. On E-DAIC the language model probe reaches 0.74 and the encoder probe 0.60, both below the answer of 0.84 (-0.09 [-0.16, -0.03] and -0.24 [-0.32, -0.15]), while a probe on the answer state matches the answer (0.84)."
MISMATCH,149,L149_2821,0.84,0.8741,<local data dir>/release/edaic_rerun/variants/q3o_full_zeroshot.json,MISPAIRING,"0.8359 (answer-state probe, mean of five); minus answer -0.0007 [-0.0455, 0.0436]",part23/pull/p23-a-probes/p23a/out/A3_edaic_whole_meanof5_perclip.csv,Matcher paired it with Qwen3-Omni 0.8741.,UNTRIAGED (new since the 06:38 run),"\par\parDepression reverses. On E-DAIC the language model probe reaches 0.74 and the encoder probe 0.60, both below the answer of 0.84 (-0.09 [-0.16, -0.03] and -0.24 [-0.32, -0.15]), while a probe on the answer state matches the answer (0.84)."
MISMATCH,149,L149_333,0.11,0.7506,<local data dir>/release/omni_final/omni_kcl_nested_repeats.json,MISPAIRING,"0.1128 [0.0455, 0.1768] n=468 spk=228",<local data dir>/release/overnight2/part10/pitt_enc_nested5_oof.npz + omni_final/omni_pitt_zeroshot_scores.csv,Matcher paired the Pitt gap with the KCL probe AUC.,UNTRIAGED (new since the 06:38 run),"The paired difference \Delta excludes zero on every Parkinson's and Alzheimer's set except MDVR-KCL (37 speakers), from 0.11 [0.05, 0.18] on Pitt to 0.33 on PC-GITA."
MISMATCH,149,L149_339,"0.05, 0.18",0.7506,<local data dir>/release/omni_final/omni_kcl_nested_repeats.json,MISPAIRING,"[0.0455, 0.1768]",same as above,Interval of the Pitt gap.,UNTRIAGED (new since the 06:38 run),"The paired difference \Delta excludes zero on every Parkinson's and Alzheimer's set except MDVR-KCL (37 speakers), from 0.11 [0.05, 0.18] on Pitt to 0.33 on PC-GITA."
MISMATCH,149,L149_362,0.33,0.8941,<local data dir>/release/omni_final/omni_pcgita_nested_repeats.json,MISPAIRING,0.3306 = 0.8941 - 0.5635 (point only),master_lookup.csv + omni_final/omni_pcgita_zeroshot_scores.csv,Matcher paired the gap with the probe AUC. No five-repeat per-clip PC-GITA file for an interval; single-split gap is 0.3454.,UNTRIAGED (new since the 06:38 run),"The paired difference \Delta excludes zero on every Parkinson's and Alzheimer's set except MDVR-KCL (37 speakers), from 0.11 [0.05, 0.18] on Pitt to 0.33 on PC-GITA."
MISMATCH,149,L149_593,0.60,0.7619,<local data dir>/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv,MISPAIRING,0.5967 shipped / 0.6015 pod rerun,<local data dir>/release/overnight2/q3o_new/q3o_pcgita_zeroshot_scores.csv,Matcher used the Pitt answer (same as the 06:38 triage).,PROBABLY MISPAIRING (sentence edited; was line 149),"On Qwen3-Omni the encoder probe reaches 0.90 on PC-GITA and 0.81 on Pitt against zero-shot answers of 0.60 and 0.76, so its Alzheimer's gap is only 0.05."
MISMATCH,149,L149_639,0.05,-0.2165,<local data dir>/release/overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv,MISPAIRING,0.0503 = 0.8122 - 0.7619,<local data dir>/release/edaic_rerun/part16/POD3/q3o_pitt_encoder_nested_oof.csv + overnight2/q3o_new/q3o_pitt_zeroshot_scores.csv,Matcher paired the Qwen3-Omni Pitt gap with its arm drop.,UNTRIAGED (new since the 06:38 run),"On Qwen3-Omni the encoder probe reaches 0.90 on PC-GITA and 0.81 on Pitt against zero-shot answers of 0.60 and 0.76, so its Alzheimer's gap is only 0.05."
MISMATCH,149,L149_796,0.01 on MDVR-KCL to 0.18,0.5916 to 0.9213,edaic_full_perclip.csv ; omni_adress2020_nested_repeats.json ; omni_adresso_nested_repeats.json ; omni_kcl_nested_repeats.json ; omni_neurovoz_nested_repeats.json ; omni_pcgita_nested_repeats.json ; pitt_enc_nested5_oof.npz,MISPAIRING,"probe minus eGeMAPS: KCL +0.0095, ADReSSo +0.1810",<local data dir>/release/overnight/egemaps_baseline.csv,Matcher paired margins with AUCs.,UNTRIAGED (new since the 06:38 run),"The encoder probe is above it on every set, by 0.01 on MDVR-KCL to 0.18 on ADReSSo, and on PC-GITA and NeuroVoz the baseline itself beats the zero-shot answer by 0.27 and 0.15."
MISMATCH,149,L149_911,0.27,-0.0997,<local data dir>/release/edaic_rerun/part16/M3_speaker_level.csv,MISPAIRING,"0.2697 (eGeMAPS 0.8332 minus answer 0.5635, PC-GITA)",<local data dir>/release/overnight/egemaps_baseline.csv + omni_final/omni_pcgita_zeroshot_scores.csv,Matcher paired it with a speaker-level difference.,UNTRIAGED (new since the 06:38 run),"The encoder probe is above it on every set, by 0.01 on MDVR-KCL to 0.18 on ADReSSo, and on PC-GITA and NeuroVoz the baseline itself beats the zero-shot answer by 0.27 and 0.15."
MISMATCH,149,L149_920,0.15,0.6951,<local data dir>/release/omni_final/omni_neurovoz_zeroshot_scores.csv,MISPAIRING,"0.1488 (eGeMAPS 0.8439 minus answer 0.6951, NeuroVoz)",<local data dir>/release/overnight/egemaps_baseline.csv + omni_final/omni_neurovoz_zeroshot_scores.csv,Matcher paired it with the answer AUC.,UNTRIAGED (new since the 06:38 run),"The encoder probe is above it on every set, by 0.01 on MDVR-KCL to 0.18 on ADReSSo, and on PC-GITA and NeuroVoz the baseline itself beats the zero-shot answer by 0.27 and 0.15."
MISMATCH,171,L171_48,0.58,0.631,<local data dir>/paper1_local_runs/af2_results/af2_pitt468.csv,WRONG COPY,"0.5835 [0.4730, 0.6913] n=146",<local data dir>/release/scores/part20/POD4c/af2_orig30_conflict.csv,"Right quantity, other run: the paper uses the AF2 run cut to the first 30 s (as every model hears); the matcher looks up af2_pitt468.csv (0.631).",UNTRIAGED (new since the 06:38 run),Audio Flamingo 2 | Alzheimer's Conflict :: Audio Flamingo 2 & 0.53 & 0.63 & 0.58 & 0.53
MISMATCH,171,L171_55,0.53,0.5544,<local data dir>/paper1_local_runs/af2_results/af2_pitt468.csv,WRONG COPY,"0.5337 [0.4574, 0.6116] n=322",<local data dir>/release/scores/part20/POD4c/af2_orig30_agreement.csv,Same as above; matcher 0.5544 from af2_pitt468.csv.,UNTRIAGED (new since the 06:38 run),Audio Flamingo 2 | Alzheimer's Agree. :: Audio Flamingo 2 & 0.53 & 0.63 & 0.58 & 0.53
MISMATCH,172,L172_48,0.61,0.6169,<local data dir>/release/overnight2/part3/af3_pitt.csv,WRONG COPY,"0.6075 [0.5063, 0.7129] (part10)",<local data dir>/release/overnight2/part10/af3_pitt.csv,Paper uses the part10 copy; matcher the part3 copy (0.6169) (same as the 06:38 triage).,PROBABLY MISPAIRING (file copy) (sentence edited; was line 172),Audio Flamingo 3 | Alzheimer's Conflict :: Audio Flamingo 3 & 0.42 & 0.84 & 0.61 & 0.59
MISMATCH,172,L172_55,0.59,0.5822,<local data dir>/release/overnight2/part3/af3_pitt.csv,WRONG COPY,"0.5855 [0.5144, 0.6554] (part10)",<local data dir>/release/overnight2/part10/af3_pitt.csv,Paper uses the part10 copy; matcher the part3 copy (0.5822) (same as the 06:38 triage).,PROBABLY MISPAIRING (file copy) (sentence edited; was line 172),Audio Flamingo 3 | Alzheimer's Agree. :: Audio Flamingo 3 & 0.42 & 0.84 & 0.61 & 0.59
MISMATCH,180,L180_1000,0.95,0.7987,<local data dir>/paper1_local_runs/omni_pitt_text.csv,MISPAIRING,0.9523 (311 distinct) / 0.9470 (483 rows),Qwen3-Omni transcript files (06:38 triage),Same as the 06:38 triage.,PROBABLY MISPAIRING (sentence edited; was line 180),"On the same pairs the transcript alone scores 0.15 on conflict and 0.96 on agreement for Qwen2.5-Omni and 0.22 and 0.95 for Qwen3-Omni, and for Qwen2.5-Omni the transcript decision matches the audio decision on 86 percent of clips."
MISMATCH,180,L180_1662,0.46,0.5189,<local data dir>/release/omni_final/omnisft_pitt_oof.csv,MISPAIRING,0.4619,<local data dir>/release/scores/part20/POD3b/sst2_pairs_o25_audio.csv,Matcher paired it with the Pitt FT file.,UNTRIAGED (new since the 06:38 run),"A second sentiment scorer (DistilBERT fine-tuned on SST-2) selects 1,334 pairs, on which the conflict arm scores 0.46 [0.42, 0.51], at chance rather than below it, and stays 0.39 below the agreement arm."
MISMATCH,180,L180_1668,"0.42, 0.51",0.5189,<local data dir>/release/omni_final/omnisft_pitt_oof.csv,MISPAIRING,"0.4619 [0.4165, 0.5102] n=1334",<local data dir>/release/scores/part20/POD3b/sst2_pairs_o25_audio.csv,Interval of the second-scorer conflict arm.,UNTRIAGED (new since the 06:38 run),"A second sentiment scorer (DistilBERT fine-tuned on SST-2) selects 1,334 pairs, on which the conflict arm scores 0.46 [0.42, 0.51], at chance rather than below it, and stays 0.39 below the agreement arm."
